school_id_a,school_id_b,confidence
445,42161,56.470588235294116
446,42161,48.93617021276596
447,434,56.33802816901409
448,44044,55.55555555555556
449,4391,44.44444444444444
450,31515,59.45945945945945
452,44044,68.29268292682926
453,44045,52.17391304347826
454,4391,45.09803921568627
455,41864,51.85185185185186
457,14187,47.36842105263158
458,4391,49.48453608247423
459,35351,52.52525252525253
460,42429,49.18032786885246
461,44044,55.319148936170215
462,43637,50.0
463,41726,51.162790697674424
464,4764,44.44444444444444
465,41877,44.21052631578948
466,41194,54.117647058823536
467,43912,52.0
468,35436,41.666666666666664
469,4391,50.0
470,42169,47.82608695652174
471,42146,57.971014492753625
472,4391,46.808510638297875
473,42429,48.97959183673469
474,43988,58.13953488372092
475,4391,47.524752475247524
476,42146,64.70588235294117
477,43227,46.808510638297875
478,42146,59.154929577464785
479,42105,50.0
480,43169,52.0
481,42146,54.117647058823536
482,43331,53.93258426966292
483,36656,40.98360655737705
484,4807,50.0
486,44044,62.65060240963856
487,3656,49.01960784313726
488,41877,50.0
489,36059,40.963855421686745
490,36448,46.51162790697675
491,43997,51.11111111111111
492,5765,59.154929577464785
493,24307,54.36893203883495
494,32696,49.056603773584904
495,52790,55.55555555555556
496,5376,44.44444444444444
497,36059,40.90909090909091
498,31695,40.74074074074075
499,3209,41.509433962264154
500,33628,61.111111111111114
501,63610,55.04587155963303
502,3215,43.01075268817204
503,36059,53.65853658536586
504,3215,43.63636363636364
505,34029,43.90243902439024
507,3215,44.067796610169495
509,35600,42.553191489361694
510,3215,48.71794871794872
511,33018,45.28301886792453
512,3209,44.89795918367348
513,3215,47.5
518,14431,50.0
519,12615,60.7843137254902
520,14756,44.44444444444444
523,1491,57.14285714285714
524,21853,54.0
525,12615,50.38167938931297
526,1491,51.764705882352935
527,21853,57.73195876288659
528,21853,55.44554455445545
529,12615,46.4
532,13282,44.44444444444444
533,21853,57.73195876288659
534,12615,49.48453608247423
535,12615,57.89473684210527
536,12615,48.0
537,12477,45.90163934426229
539,12615,58.490566037735846
540,12477,56.75675675675676
541,628,45.714285714285715
542,21502,57.74647887323944
545,13870,48.14814814814815
548,12615,56.25
549,12477,47.82608695652174
550,16360,47.82608695652174
555,12255,47.05882352941176
556,12615,53.191489361702125
557,12615,62.92134831460674
558,12477,49.122807017543856
559,12477,53.968253968253975
560,12615,46.28099173553719
561,1491,54.54545454545454
562,12520,49.504950495049506
563,12615,58.11965811965811
564,12615,50.66666666666666
566,14571,50.74626865671642
567,12615,58.26771653543308
568,12477,54.117647058823536
569,12594,50.0
570,12477,56.71641791044777
571,15615,65.78947368421053
572,15047,52.63157894736843
573,1491,48.35164835164834
574,16341,62.0
575,12128,65.82278481012658
576,12477,61.9718309859155
578,12477,54.117647058823536
579,12477,45.16129032258065
580,12615,58.94736842105264
581,1491,56.00000000000001
582,12477,49.411764705882355
583,12477,70.27027027027026
584,12615,53.608247422680414
585,12781,47.45762711864406
586,11034,62.92134831460674
587,12615,48.78048780487805
588,1812,53.333333333333336
589,14431,64.28571428571428
590,12615,58.71559633027523
591,12615,57.407407407407405
592,12615,62.745098039215684
593,12477,50.0
594,16242,58.62068965517242
595,11064,42.622950819672134
596,12477,49.18032786885246
597,12615,55.4054054054054
598,12615,59.81308411214954
599,16194,45.16129032258065
600,15505,53.57142857142857
601,1491,54.761904761904766
602,1491,56.790123456790134
603,12615,59.82905982905983
604,12477,57.53424657534247
605,14988,44.44444444444444
606,12615,55.91397849462365
607,12615,58.69565217391304
608,12477,46.42857142857143
610,12477,57.14285714285714
611,12477,56.75675675675676
612,12615,51.23966942148761
613,7901,62.7906976744186
614,12615,57.14285714285714
615,12255,46.15384615384615
616,15117,44.776119402985074
617,12615,52.63157894736843
618,15335,54.83870967741935
619,1491,52.459016393442624
620,12615,52.55474452554745
621,15888,50.0
622,12615,50.98039215686274
623,15807,61.53846153846154
624,33653,44.44444444444444
625,1298,51.72413793103448
626,1491,56.75675675675676
627,12615,62.365591397849464
628,1491,52.74725274725275
629,1491,56.33802816901409
630,12615,75.0
631,12255,48.0
