school_id,Potential_School_Name_transliterated,Assigned_District_Name
283,vijayA prA vi,khota~na
284,janatA A vi,siraha
285,ni mA viA vi,khota~na
286,rAShTiya prA vi,saptari
287,pashupati prA vi,tanahu.n
288,chandrodaya prA vi,tanahu.n
289,pa~nchakoshI mA vi,parvata
290,sarasvatI ni mA viA vi,tanahu.n
291,viShNu ni mA viA vi,tanahu.n
292,rAdhA dAmodara j~nAna jyotI saMskRRita mA vi,sya~ngaja
293,akalA A vi,tanahu.n
294,pArvatI prA vi,tanahu.n
295,kAlikA prA vi,khota~na
296,jaya sarasvatI prA vi,khota~na
297,hanumAna prasAda shAradA mA vi,siraha
298,gaMgA jamunA prA vi,khota~na
299,janatA prA vi,siraha
300,shrI janatA A vi,dhanusha
301,bhagavatI dinAnAtha mA vi,khota~na
302,Adarsha A vi,mora~na
303,mahendrodaya u mA vi,khota~na
304,jaladevI prA vi,tanahu.n
305,satyavatI prA vi,tanahu.n
306,MkumArI prA vi,doti
307,bhavAnI prA vi,doti
308,shahidarghama ni mA viA vi,tanahu.n
309,kRRiShNa prA vi,tanahu.n
310,sItApAIlA mA vi,kathamadaum
311,sahajIvana prA vi,tanahu.n
312,shrI shAntishrRRijanA prA vi,tanahu.n
313,padamA A vi,tanahu.n
314,ravichandra prA vi,tanahu.n
315,mahendra mA vi,tanahu.n
316,shrI jayagaNApati prA vi,tanahu.n
317,mIna mA vi,tanahu.n
318,kAlikA mA vi,kaski
319,nava prabhAta mA vi,kaski
320,haMsavAhinI mA vi,tanahu.n
321,shAnti vidyAgRRiha mA vi,kathamadaum
322,kAlikA mA vi,tanahu.n
323,samjhanA prA vi,tanahu.n
324,rAdhA mA vi,tanahu.n
325,janatA A vi,tanahu.n
326,janajyoti A vi,tanahu.n
327,saMgama prA vi,tanahu.n
328,tilicho A vi,mana~na
329,pAruhA~Na sharaNa prA vi,khota~na
330,shrI janatA prA vi,khota~na
331,udaya mA vi,tanahu.n
332,pa~nchakanyA mA vi,makavanapura
333,jalapAdevI prA vi,makavanapura
334,vijaya ni mA viA vi,dolakha
335,vedakAlikA prA vi,tanahu.n
336,kRRiShNagaMgA ni mA viA vi,tanahu.n
337,kAmadhenu A vi,tanahu.n
338,bramha A vi,purva navalaparasi
339,nAga prA vi,tanahu.n
340,kAmaghenu ni mA viA vi,tanahu.n
341,jayadurgA mA vi,tanahu.n
342,shAradA prA vi,tanahu.n
343,himAlayA mA vi,tanahu.n
344,jana jAgRRiti gaMgA mA vi,tanahu.n
345,siddheshvarI mA vi,tanahu.n
346,sarasvatI sadana mA vi,tanahu.n
347,udaya mA vi,tanahu.n
348,annapurNa sItApokharI A vi,kaski
349,masyA~NadI sAmudAyIka A vi,tanahu.n
350,nArAyaNI ni mA viA vi,tanahu.n
351,homarAjalohanI mA vi,tanahu.n
352,nayA jyotI prA vi,tanahu.n
353,Adarsha sarasvatI mA vi,tanahu.n
354,vindhyavAsinI mA vi,kaski
355,bhImanagara mA vi,chitavana
356,baChaulI mA vi,chitavana
357,bha.NgerI A vi,tanahu.n
358,pUrkoTa prA vi,tanahu.n
359,amara jyoti A vi,tanahu.n
360,himAlaya mA vi,gorakha
361,vishvajvatI prA vi,tanahu.n
362,kyAmina mA vi,tanahu.n
363,gu~njanagara mA vi,chitavana
364,shAradA mA vi,chitavana
365,mAhAdebatA prA vi,tanahu.n
366,buchAkhAnI ni mA viA vi,tanahu.n
367,shukra A vi,tanahu.n
368,siddha A vi,tanahu.n
369,kAlikA prA vi,tanahu.n
370,dharma A vi,tanahu.n
371,udaya prA vi,tanahu.n
372,bhairava A vi,tanahu.n
373,janajAgRRitI prA vi,tanahu.n
374,shiva mA vi,purva navalaparasi
375,satyavatI mA vi,tanahu.n
376,bhavAnI rAShTriya mA vi,kailali
377,galkoTa mA vi,sya~ngaja
378,bArAhI prA vi,tanahu.n
379,vidyA niku~nja mA vi,tanahu.n
380,sarasvatI mA vi,tanahu.n
381,dipaka prA vi,tanahu.n
382,pArvatI mA vi,tanahu.n
383,nirmala mA vi,tanahu.n
384,chaNDI devI A vi,tanahu.n
385,Adarsha shikShA pramA vi,tanahu.n
386,shahida gaMgA mA vi,tanahu.n
387,bhAShkara prA vi,tanahu.n
388,kalyANa devI prA vi,tanahu.n
389,pragatI ni mA viA vi,purva navalaparasi
390,janajyotI mA vi,purva navalaparasi
391,gaDIbha~njyA prA vi,tanahu.n
