school_id_a,school_id_b
2719,790.0
2728,71499.0
2738,74042.0
2739,73887.0
2769,55409.0
2772,55471.0
2778,51192.0
2780,52297.0
2830,5682.0
2855,51067.0
2859,5992.0
2861,55366.0
2897,51245.0
2909,52024.0
2947,388.0
2963,55816.0
2973,52317.0
3070,7600.0
3076,73966.0
3079,73966.0
3087,74042.0
3110,73887.0
3118,21495.0
3120,22452.0
3128,73887.0
3129,73887.0
3132,74265.0
3225,61969.0
3226,74042.0
3240,7626.0
3241,73887.0
3253,74042.0
3257,72089.0
3258,74042.0
3293,24667.0
3294,53841.0
3337,33149.0
3342,33883.0
3416,51528.0
3417,54293.0
3424,54878.0
3446,5682.0
3462,56181.0
3469,5682.0
3481,54055.0
3501,52223.0
3577,4911.0
3583,23765.0
3628,73887.0
3633,53585.0
3641,24455.0
3643,73887.0
3646,44044.0
3750,24403.0
3772,22460.0
3809,24455.0
3847,24455.0
3852,63178.0
3936,24455.0
3962,5384.0
4000,52369.0
4096,33883.0
4102,21613.0
4107,35919.0
4118,23765.0
4159,388.0
4269,24455.0
4304,63358.0
4412,71375.0
4421,33149.0
4439,24455.0
4466,73628.0
4507,22460.0
4607,33595.0
4684,42146.0
4709,23951.0
4727,34878.0
4758,23745.0
4800,63358.0
4832,42146.0
4869,4256.0
4935,24887.0
5013,63358.0
5082,24724.0
5087,33347.0
5089,63178.0
5091,22460.0
5115,63358.0
5143,73887.0
5178,23765.0
5184,36465.0
5252,24719.0
5273,33149.0
5395,73098.0
5396,7669.0
5421,24667.0
5427,23538.0
5517,24455.0
5533,3712.0
5544,71126.0
5618,22659.0
5702,6957.0
5703,62865.0
5822,34878.0
5826,21495.0
5913,388.0
6060,5682.0
6206,6387.0
6283,51588.0
6367,54317.0
6368,63358.0
6408,21495.0
6416,55471.0
6509,74042.0
6520,74265.0
6535,74265.0
6536,74265.0
6537,74042.0
6568,63274.0
6569,61969.0
6582,74042.0
6599,74313.0
6600,73887.0
6607,74265.0
6616,74042.0
6617,73039.0
6619,71916.0
6632,74042.0
6735,54878.0
6791,61938.0
6794,23745.0
6988,63358.0
7041,74042.0
7068,74599.0
7094,74265.0
7125,21756.0
7131,23745.0
7203,74265.0
7207,74042.0
7208,23765.0
7220,71499.0
7222,21495.0
7226,24403.0
7244,21495.0
7247,74599.0
7248,71126.0
7253,7397.0
7271,74265.0
7305,74027.0
7325,74042.0
7330,74042.0
7368,6957.0
7369,6457.0
7394,6957.0
7403,61146.0
7414,61103.0
7416,61146.0
7417,6957.0
7418,6957.0
7419,63258.0
7459,6957.0
7460,6879.0
7522,63258.0
7525,61103.0
7536,61041.0
7575,62247.0
7594,63199.0
7595,61840.0
7601,62014.0
7610,6957.0
7618,74042.0
7622,52348.0
7631,61103.0
7669,51245.0
7693,73966.0
7698,53861.0
7706,74265.0
7711,53585.0
7718,54311.0
7738,53564.0
7739,5682.0
7742,73887.0
7758,72151.0
7759,74042.0
7763,72272.0
7770,74027.0
7773,55901.0
7793,52369.0
7804,73887.0
7821,52197.0
7828,74027.0
7841,71126.0
7842,74042.0
7848,71499.0
7853,55812.0
7854,71126.0
7856,74042.0
7860,74265.0
7864,74027.0
7866,73373.0
7867,74042.0
7870,5677.0
7880,55220.0
7889,74042.0
7891,74360.0
7902,72151.0
7909,52220.0
7910,55812.0
7912,74027.0
7919,74042.0
7928,73000.0
7949,54979.0
7950,6397.0
7968,5682.0
7995,24771.0
7999,52787.0
8000,54979.0
8022,6457.0
8023,61858.0
8024,55812.0
8025,55901.0
8030,61969.0
8031,6957.0
8032,61840.0
8035,61651.0
8055,24455.0
8073,5682.0
8101,74042.0
8110,63258.0
8119,21503.0
8143,71499.0
8152,52722.0
8153,62462.0
8162,74042.0
8166,61858.0
8168,61904.0
8178,72537.0
8181,71766.0
8186,74042.0
8197,7600.0
8202,55901.0
8206,7501.0
8210,74311.0
8213,55901.0
8229,73887.0
8231,73484.0
8232,71499.0
8235,72483.0
8241,71916.0
8246,74042.0
8248,53800.0
8249,73887.0
8250,74042.0
8253,53696.0
8255,74042.0
8262,73887.0
8266,23765.0
8272,72537.0
8274,74599.0
8282,23745.0
8285,74042.0
8306,51992.0
8309,74042.0
8310,73966.0
8317,51992.0
8322,23765.0
8329,5682.0
8332,54210.0
8333,52444.0
8339,55901.0
8340,5682.0
8345,5682.0
8355,61858.0
8359,54979.0
8366,5682.0
8390,61146.0
8392,6957.0
8399,5682.0
8412,73022.0
8422,52220.0
8425,73373.0
8438,73887.0
8443,74190.0
8450,72151.0
8457,6879.0
8459,62973.0
8467,74042.0
8477,61840.0
8478,6957.0
8488,62255.0
8522,61146.0
8525,74042.0
8568,71916.0
8577,7600.0
8582,73854.0
8597,74042.0
8598,74265.0
8607,53861.0
8608,54311.0
8622,5682.0
8634,55901.0
8642,598.0
8643,51268.0
8653,61971.0
8659,62014.0
8660,6884.0
8672,62520.0
8706,62536.0
8707,62520.0
8708,6957.0
8729,5682.0
8758,6957.0
8759,61103.0
8760,6957.0
8769,61041.0
8773,6957.0
8786,63366.0
