school_id_a,school_id_b,match_score,school_name_a,school_name_b,district_id_a,district_a,district_b
27796,55899,72.0,"सिद्धार्थ आधारभूत विद्यालय, रोल्पा",Siddhartha aadharbhut vidyalaya,55,रोल्पा,rolpa
27942,54001,72.41379310344827,"मयुर नेपाल राष्ट्रिय आधारभूत विद्यालय, बर्दिया","Nepal Rastriya Adharbhut Vidyalaya, Dasrathbasti",58,बर्दिया,bardiya
27981,41084,70.12987012987013,धौलागिरी आधारभूत विद्यालय म्याग्दी,Dhawalagiri Secondary School,42,म्याग्दी,myagdi
28201,16219,72.72727272727273,"माँ भवानी आधारभूत विद्यालय, मोरङ",shree maa bhawani adharbhut vidhyalaya,6,मोरङ,morang
28262,43503,70.73170731707317,"सरस्वती आधारभूत विद्यालय, लमजुङ",Saraswati Sadan Adharbhut Vidyalaya,39,लमजुङ,lamjung
28543,55803,72.22222222222221,"सुर्योदय आधारभूत विद्यालय, रोल्पा","SHREE SURYODAYA BASIC SCHOOL, TRIVENI -6, RIJA , ROLPA",55,रोल्पा,rolpa
28740,4173,70.27027027027026,"अरुणोदय आधारभूत विद्यालय, कास्की",Arunodaya Basic School,38,कास्की,kaski
28974,12071,70.4225352112676,"अनारमनी प्राथमिक विद्यालय, झापा",Indrani prathamik  vidhyalaya,4,झापा,jhapa
29294,21763,70.88607594936708,"आधारभूत विद्यालय सनचिरैया, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
29408,73894,71.23287671232876,अरुणोदय आधारभूत विद्यालय डोटी,Shree Arunodaya Basic School,75,डोटी,doti
