amrit ma vi,0,4,amrit avi,,bahradashi rural napa
amrit ebs,0,3,amrit ebs,,chulachuli rural napa
amurt academy,0,11,,,itahari sub napa city
ananda,2,6,,,dhanapalthan rural napa
anandeshwar,1,7,anandeshwar pravi,,siddhicharan napa
ananta,2,6,,,dhanapalthan rural napa
ananta,2,6,,,katahari rural napa
ananta sikshya jyoti,2,11,,,dharan sub napa city
anantajyoti vidhya mandir ebs,0,6,,,katahari rural napa
anarmani a via,0,4,anarmani a bidhalaya,anarmani pravi,birtamod napa
anarmani liberty vi,0,4,,,birtamod napa
andheri,1,12,andheri pravi,,mikwakhola rural napa
angel academy,0,4,,,kamal rural napa
angelica academy,0,4,anjelika acadamy,,shivasatakshi napa
angels kindergarten,0,11,,,itahari sub napa city
angepa,1,12,angepa nimavi,,sidingba rural napa
annapurna academy morang,0,6,annapurna academy,,belbari napa
annapurna academy p v t ltd,0,11,,,ramdhuni napa
annapurna,1,9,annapurna pravi,,madi napa
annapurna  bhalupakwan,1,14,annapurna pravi bhalupakwan,,rautamai rural napa
annapurna  bajagara,1,14,annapurna pravi bajagara,,limchungbung rural napa
annapurna ebs,0,6,annapurna english boarding vi,annapurna english boarding vi ratuwamai morang,ratuwamai napa
annapurna ebs,0,6,annapurna ebs,,pathari shanishchare napa
annapurna ma vi,0,5,annapurna ma vi,,diktel rupakot majhuwagadhi napa
annapurna  balapipaldanda,2,14,,,limchungbung rural napa
annapurna  dandagaun,2,14,,,limchungbung rural napa
annapurna ma ebs myanglung tehrathum,0,13,,,myanglung napa
annapurna ma vi,0,14,merry brood english boarding vi jaljale,,triyuga napa
anshu academy,0,4,anshu academy,duwagadi ansu academy,mechinagar napa
anshubarma,1,3,anshubarma pravi,,suryodaya napa
antarrastriya yuwabarsha,1,7,antarrastriya yuvabarsha pravi,,siddhicharan napa
antu academy,0,3,,,suryodaya napa
antu memorial ebs,0,3,antu memorial ebs,,chulachuli rural napa
anwarul islam madrassa,0,6,,,biratnagar napa city
apex academy ebs,0,14,,,belaka napa
apple montessori vi,0,11,,,dharan sub napa city
apple tree academy,0,11,,,itahari sub napa city
araniko,1,12,ariniko pravi,,pathivara yangwarak rural napa
araniko,1,4,araniko pravi,araniko pravi,kamal rural napa
araniko ma via,0,4,araniko pravi,,mechinagar napa
araniko memorial ebs dharan,0,11,,,dharan sub napa city
araniko memorial ebs sunwarshi morang,0,6,araniko memorial ebs,,sunawarshi napa
araniko ma ebs myanglung tehrathum,0,13,,,myanglung napa
araniko ma vi,0,4,aroniko ma vi,,bhadrapur napa
arif husen aa vi madarasa,0,6,arif husen madrassa,,jahada rural napa
arihanta ebs,0,6,,,biratnagar napa city
arjundhara academy,0,4,,,birtamod napa
arjundhara sanskrit adarsha ma vi arjundhara,0,4,arjundhara sanskrit adarsha ma vi,,arjundhara napa
arjundhara sanskrit bed bidhayapith,0,4,arjun dhara sanskrit bed bidhayapith,,arjundhara napa
arjundhara ma vi arjundhara,0,4,arjundhara ma vi,,arjundhara napa
arkit academy,0,4,,,damak napa
arniko ma vi,0,6,,,biratnagar napa city
arpan ebs,0,6,,,biratnagar napa city
arpana ebs,0,4,,,kanakai napa
arubhanjyang  balakhu,1,7,,,sunkoshi rural napa
arubote bal bikash kendra,0,13,arubote bbk,,aathrai rural napa
arubote  musegaira,1,13,arubote pravi,,aathrai rural napa
arun,1,1,arun pravi,,arun rural napa
arun,1,1,arun pravi,arun pravi,hatuwagadhi rural napa
arun  batase,1,9,arun pravi batase,arun pravi,khandbari napa
arun  saldada,1,9,arun nimavi,,chainpur napa
arun besic vi bhotkhola,0,9,arun pravi,,bhotkhola rural napa
arun ganga,1,1,arun ganga pravi,,arun rural napa
arun top ebs,0,9,,,bhotkhola rural napa
arun valley ebs,0,9,arunvalley english vi,arunvalley ebs,makalu rural napa
arun valley international ebs,0,9,,,khandbari napa
