School_level_transliterated,School_name_transliterated,Potential_district_transliterated,Location_1_transliterated,Matched_District
4,shanishchare,jhapa,arjunadhara shanishchare,Jhapa
2,kalika,kailali,,Kailali
4,vidyarthi niketana,bhaktapura,,Bhaktapur
1,bhumeshvara,kaski,,Kaski
4,magaleka,doti,,Doti
2,ra,chitavana,raghapura,Chitwan
2,ra,chitavana,shantipura,Chitwan
2,gautama ra,chitavana,,Chitwan
2,muchi,jhapa,,Jhapa
2,mahadebasthana,dhadi~na,,Dhading
2,rashtiya,kailali,,Kailali
2,adarsha,tapleju~na,ambegudina,Taplejung
1,jalakanya,tapleju~na,dokhu,Taplejung
4,araniko,jhapa,bhadrapura,Jhapa
2,dha.ndakharka,dhadi~na,gamgajamuna ga pa,Dhading
4,amara simha,Bara,,Bara
4,vala premi,bhaktapura,,Bhaktapur
3,nimavi,kailali,,Kailali
3,kotatulsipura,kailali,,Kailali
2,himagiri,kaski,,Kaski
2,annapurna,kaski,lva~nghalela kalimati,Kaski
2,sayabamgala,bhaktapura,,Bhaktapur
1,katu~nje,bhaktapura,katu~nje,Bhaktapur
4,bagehini,bhaktapura,cha.ngunarayana na pa,Bhaktapur
2,janabalyana,kailali,,Kailali
2,sunaharatala,kailali,,Kailali
2,bhageshvara,kailali,,Kailali
2,samajika adarsha,jhapa,,Jhapa
4,kalika,kailali,chaumala,Kailali
3,titya,kaski,,Kaski
1,janata,kaski,machapuchchre,Kaski
1,bhulabhula,kaski,,Kaski
2,jharla~na,dhadi~na,,Dhading
2,kuvapani,dhadi~na,,Dhading
4,maharaniga~nja,jhapa,,Jhapa
4,shanishchare,jhapa,shanishchare,Jhapa
1,basneta,kailali,,Kailali
2,shiba,kailali,,Kailali
4,kedaraakhada,doti,bogatana,Doti
4,virenadra,doti,,Doti
4,malika,kailali,chaumala,Kailali
2,krrishna,jhapa,bhadrapura,Jhapa
4,kulamaya bhagavati,bhaktapura,viruva,Bhaktapur
1,pa~nchakanya,dhadi~na,,Dhading
2,tinakanya,dhadi~na,,Dhading
4,vasuki,lalitapura,lamatara,Lalitpur
4,harkapura,dhadi~na,,Dhading
4,sarasvati,bhaktapura,,Bhaktapur
3,paropakara,dhadi~na,chainapura,Dhading
2,khanigau.n,dhadi~na,,Dhading
4,araniko,bhaktapura,,Bhaktapur
1,sarasvati,kailali,,Kailali
4,simha devi,jhapa,,Jhapa
2,ratamata,dhadi~na,,Dhading
2,bauddha dharma,dhadi~na,,Dhading
4,shri pachayata,jhapa,jalathala,Jhapa
2,kaphaleshvara,doti,lataula,Doti
4,pharpi~na,kathamadau,dakshinakali,Kathmandu
4,balambu,kathamadaum,,Kathmandu
4,pahalamana simha memoriyala,kailali,,Kailali
2,bhrrikuti,kailali,,Kailali
2,bhairabi,dhadi~na,,Dhading
2,himalaya,parbata,,Parbat
4,pashupati,parvata,,Parbat
2,gauri shamkara,jhapa,,Jhapa
1,dhara,kaski,pokhara lekhanatha,Kaski
2,vindeshvari,kaski,,Kaski
2,bhumeshvara,kaski,,Kaski
4,tama~nakharka,dhadi~na,gamgajamuna ga pa,Dhading
2,bane,dhadi~na,,Dhading
4,kiranchoka karkidamda,dhadi~na,,Dhading
4,pa~nchayata,jhapa,haldivari,Jhapa
1,cha.ngu narayana,bhaktapura,,Bhaktapur
1,ghanteshvara,doti,jorayala ga pa,Doti
1,barahi devi,doti,bagaleka rikhada,Doti
4,mashtamandau,doti,adarsha lamikhala,Doti
4,sarasvati,kailali,,Kailali
4,himalaya,kailali,,Kailali
4,gaurishamkara,kaski,,Kaski
4,ganesha,bhaktapura,chali~na,Bhaktapur
2,shri,bhaktapura,,Bhaktapur
4,salyanakota,dhadi~na,,Dhading
2,balakumari,dhadi~na,,Dhading
2,janapriya,kaski,,Kaski
2,vikasajyoti,kaski,,Kaski
2,mania,arghakha.nchi,,Arghakhanchi
2,mahakali,bhaktapura,,Bhaktapur
1,chandidevi,dhadi~na,,Dhading
1,bhagavati,kailali,,Kailali
4,janapriya,kailali,masuriya,Kailali
2,thapi bhairava,bhaktapura,,Bhaktapur
4,ra,chitavana,majava~na,Chitwan
4,vishvaprakasha,chitavana,,Chitwan
1,ashapuri,bhaktapura,suryavinayaka na pa,Bhaktapur
1,bala sevaka,bhaktapura,hanumanaghata,Bhaktapur
4,medha,bhaktapura,tekhapukhu,Bhaktapur
2,ne ra,surkheta,,Surkhet
4,vidya vinoda,arghakha.nchi,,Arghakhanchi
2,balkota,arghakha.nchi,balkota,Arghakhanchi
3,bhanu,kailali,,Kailali
2,nyachopauva,bhaktapura,,Bhaktapur
3,khailababuri,parbata,,Parbat
2,sarasvati janaseva,kaski,,Kaski
4,bode,bhaktapura,,Bhaktapur
2,praja,dhadi~na,,Dhading
2,pashupati,makavanapura,,Makwanpur
1,bahrakhora,arghakha.nchi,maidana,Arghakhanchi
3,ra,kailali,ratanapura,Kailali
1,avi,mora~na,sunavarshi,Morang
1,ramajanaki,sunasari,ramadhuni ikrahi,Sunsari
3,himalaya milana,kaski,,Kaski
4,jana jyoti,kaski,pokhara,Kaski
2,masina,kaski,,Kaski
2,bhanu,arghakha.nchi,chidika,Arghakhanchi
2,kalyana,arghakha.nchi,,Arghakhanchi
1,satyadevi,arghakha.nchi,dhanachaura,Arghakhanchi
4,ajada,bhaktapura,,Bhaktapur
2,pashupati,kailali,,Kailali
4,siddha baraha,kaski,chapakota,Kaski
2,bhagavati samudayika,kaski,majhathana,Kaski
4,tilottama,palpa,tinau,Palpa
1,bhagavati,kaski,,Kaski
4,mahakali,dhadi~na,siddhaleka,Dhading
4,hari,arghakha.nchi,jukena,Arghakhanchi
4,janapriya,rupandehi,,Rupandehi
2,gautamavuddha,jhapa,,Jhapa
1,bhairavi,bhaktapura,,Bhaktapur
2,madi,samkhuvasabha,,Sankhuwasabha
2,dhimananda,kailali,,Kailali
2,amarampara,kailali,,Kailali
3,rashtiraya,kailali,,Kailali
4,pa~ncharatna,jhapa,virtamoda,Jhapa
2,gautama buddha,jhapa,,Jhapa
1,bhurtela,kaski,pokhara,Kaski
4,machapuchche,kaski,dhikurapokhari,Kaski
2,lakshmi,kaski,,Kaski
1,balajyoti,parvata,,Parbat
4,chandra,parvata,urama khorapokhara,Parbat
2,ra,chitavana,virendranagara,Chitwan
4,baudeshvara,kathamandaum,jhora,Kathmandu
4,janata,sunasari,madhesha,Sunsari
4,la va na,saptari,babhanagama katti,Saptari
4,sarasvati,sunasari,varahakshetra na pa,Sunsari
2,thanapati,arghakha.nchi,,Arghakhanchi
2,balakalyana,kaski,,Kaski
1,janaseva,kaski,,Kaski
2,prabhata,kaski,,Kaski
3,siddheshvara,dhadi~na,,Dhading
4,mahendra ratna,jhapa,kechara,Jhapa
1,nalku,kaski,madi ga pa,Kaski
2,dhamakota,kailali,mahonyala,Kailali
2,ra,chitavana,kushahana,Chitwan
2,chandi,kaski,pokhara ma na pa,Kaski
4,janata,parvata,,Parbat
2,kanyajita,parvata,bhaerle,Parbat
4,badri vishala,dhadi~na,,Dhading
2,ra,chitavana,kiranatara,Chitwan
2,janakalyana,dhadi~na,,Dhading
1,gamga,arghakha.nchi,,Arghakhanchi
1,mahavishnu,Kavrepalanchok,chaumrideurali,Kavrepalanchok
1,mahendra,bhaktapura,,Bhaktapur
2,janagau.n,dhadi~na,,Dhading
1,sadashiva,kaski,,Kaski
4,pragatishila,kaski,salyana,Kaski
1,gandi,arghakha.nchi,,Arghakhanchi
4,nepala rashtriya,gulmi,,Gulmi
1,mahendra,bhaktapura,sanothimi,Bhaktapur
4,shanti niketana,bhaktapura,ramamandira,Bhaktapur
1,jalapa,sunasari,varahakshetra,Sunsari
1,prrithvi,jhapa,,Jhapa
3,pathvi,jhapa,damaka,Jhapa
1,pranodaya,bhaktapura,madhyapura thimi na pa,Bhaktapur
1,phaidhoka,bhaktapura,,Bhaktapur
2,shishu kalyana,gulmi,,Gulmi
2,hatiya,gulmi,,Gulmi
3,durga,sunasari,tanamuna,Sunsari
2,janasahayoga,gulmi,,Gulmi
1,gautama buddha,rupandehi,ka~nchana ga pa,Rupandehi
1,parvati,arghakha.nchi,sandhikharka,Arghakhanchi
1,rashtriya,chitavana,shantibajara,Chitwan
3,nava prabhata,chitavana,,Chitwan
4,usarasvati,dhadi~na,,Dhading
4,bhuka deurali,parbata,,Parbat
4,dhaulashri,kaski,,Kaski
4,indira,gulmi,,Gulmi
4,bharse janasahayoga,gulmi,,Gulmi
3,jyoti,navalaparasi,,Nawalparasi
2,vidya mandira,gulmi,,Gulmi
4,pragati,rupandehi,,Rupandehi
2,araniko,gulmi,,Gulmi
4,mehalepaekhari,gulmi,madane ga pa,Gulmi
4,nira~njana,dhadi~na,,Dhading
4,ranipauva,dhadi~na,tripurasundari,Dhading
3,chandi devi,gulmi,narama,Gulmi
2,deurali,gulmi,,Gulmi
3,vijoshi,kalikota,,Kalikot
3,janasahayoga,gulmi,,Gulmi
4,shrrri.nga,gulmi,,Gulmi
0,adarsha vidha mandira jhapa,Parsa,,Parsa
3,kalyana,dhadi~na,,Dhading
4,chameli devi piya,chitavana,,Chitwan
1,kapare,kabhrepala~nchoka,bethanachoka kamida.nda,Kavrepalanchok
4,sarasvati,dhadi~na,nilakantha na pa dhuvakota,Dhading
1,jalakanya,dhadi~na,,Dhading
2,davi bhajyagam ra,chitavana,,Chitwan
1,loka hita,kathamadau,,Kathmandu
2,chandrodaya,dhadi~na,,Dhading
2,ra,chitavana,amrrita pani,Chitwan
1,mahakali,gulmi,gulmidaravara,Gulmi
2,pa~nchayana,gulmi,,Gulmi
2,valakalyana,gulmi,,Gulmi
1,sharada,jhapa,bhadrapura,Jhapa
4,dolabha~nya~na,dhadi~na,,Dhading
3,pindeshvari,dhadi~na,,Dhading
2,dola bha~njya~na,dhadi~na,,Dhading
2,malika,dhadi~na,,Dhading
2,sarasvati,arghakha.nchi,dirbhana,Arghakhanchi
2,kanyakumari,dirbhana,,Dhankuta
4,sudha,arghakha.nchi,jukena,Arghakhanchi
2,ghaderi,gulmi,,Gulmi
2,munnavari,gulmi,,Gulmi
4,do~nadena devi,dhadi~na,tipli~na,Dhading
1,simatara,dhadi~na,,Dhading
2,baleva,arghakha.nchi,,Arghakhanchi
3,ne ra debavani,arghakha.nchi,,Arghakhanchi
2,gopeshvara,arghakha.nchi,va~ngala,Arghakhanchi
1,rama,arghakha.nchi,keru~naga,Arghakhanchi
4,adarsha,chitavana,divyanagara,Chitwan
2,ramavadi,gulmi,,Gulmi
1,manakamana,dhadi~na,nilakantha,Dhading
1,ghuseni,dhadi~na,,Dhading
4,pragatishila,mora~na,,Morang
2,trikuteshvari,dhadi~na,,Dhading
2,jhuparikota,gulmi,,Gulmi
2,valavikasa,gulmi,,Gulmi
3,sarasvati,gorakha,namaju~na,Gorkha
1,j~nanodaya,dhadi~na,netravati dabajo~na ga pa,Dhading
2,thumkida.nda,dhadi~na,,Dhading
1,budhigandaki,dhadi~na,,Dhading
4,nepala rashtiya,parsa,odara,Parsa
2,jorapati,gulmi,,Gulmi
2,ra,chitavana,kamere,Chitwan
2,bhagavati,manakamana,gorkha,Manang
4,rameshvari,gorakha,shahida lakhana mailu~nga bu~nkota,Gorkha
2,janajyoti,dhadi~na,,Dhading
4,amara,chitavana,bharatapura,Chitwan
4,karki gau.n,dhadi~na,,Dhading
2,gorakhakali,gorakha,gorakha na pa,Gorkha
2,chamati,gorkha,phujela,Gorkha
2,ladi,parbata,,Parbat
1,janajagrriti,arghakha.nchi,malarani ga pa,Arghakhanchi
4,janata krrishna,arghakha.nchi,kimada.nda,Arghakhanchi
2,daumgha hari,gulmi,chatrakota,Gulmi
2,palukha,gulmi,,Gulmi
4,resu~nga,gulmi,tamghasa,Gulmi
2,janashakti,dhadi~na,,Dhading
4,vagishvari,bhaktapura,,Bhaktapur
1,dyola,bhaktapura,,Bhaktapur
2,chidipani,gulmi,,Gulmi
1,jagatamata,arghakha.nchi,balkota sajhabota,Arghakhanchi
2,janajagrriti,arghakha.nchi,,Arghakhanchi
4,rupandehi lilarama nyaupane,rupandehi,,Rupandehi
1,kamalanayana,arghakha.nchi,sandhikharka na pa,Arghakhanchi
1,janapremi,bhaktapura,,Bhaktapur
1,shishu syahara,bhaktapura,suryavinayaka na pa,Bhaktapur
4,mahendra shanti,bhaktapura,balakota,Bhaktapur
4,vishvaniketana,kathamadaum,,Kathmandu
2,ra,dhadi~na,,Dhading
4,janata,mahottari,sundarapura,Mahottari
1,janata,arghakhachi,shitagamga,Arghakhanchi
2,deurali,sitapura,,Lalitpur
2,torena,gorakha,shahida lakhana ga pa,Gorkha
2,khadgadevi,gulmi,,Gulmi
1,kotahi,rupandehi,siyari,Rupandehi
1,dhadi~na,dhadi~na,,Dhading
4,mahakali kisana,dhadi~na,,Dhading
1,avi,chitavana,mohanapura,Chitwan
4,pamchakanya,dhadi~na,,Dhading
4,aadarsha,dhadi~na,gajuri,Dhading
4,adarsha,dhadi~na,gajuri,Dhading
4,jibanoddhara,arghakha.nchi,,Arghakhanchi
4,jivanodvara,arghakha.nchi,va~nala,Arghakhanchi
1,saptakanya,dhadi~na,,Dhading
2,tumguna,lalitapura,,Lalitpur
4,mahamkala,lalitapura,gotikhela,Lalitpur
2,gotikhela,lalitapura,,Lalitpur
2,kharsagau.n,dhadi~na,,Dhading
3,tu~nga tolakota,gulmi,kaligandaki,Gulmi
4,mukrapa devi,dhadi~na,,Dhading
4,bhimodaya,chitavana,kalika,Chitwan
2,nera gaganapura,gulmi,,Gulmi
1,mahadeva,arghakha.nchi,,Arghakhanchi
1,varaha,arghakha.nchi,malarani,Arghakhanchi
2,mukti,arghakha.nchi,khana lugalitola,Arghakhanchi
2,janata,arghakha.nchi,bagi,Arghakhanchi
2,sharada,hamsapura,,Bhaktapur
1,setidevi,lalitapura,gotikhela,Lalitpur
1,bagamati,lalitapura,maha.nkala,Lalitpur
2,mulapani,gulmi,,Gulmi
2,himalaya,rupandehi,,Rupandehi
1,amaradipa rashtriya,chitavana,,Chitwan
1,rashtiya,chitavana,bharatapura,Chitwan
2,balashiksha,arghakha.nchi,,Arghakhanchi
1,lakshmi,arghakha.nchi,dharapani,Arghakhanchi
2,bhagavati,khachikota,,Kalikot
4,argha rajasthala,arghakha.nchi,sandhikharka,Arghakhanchi
2,kalika,palpa,virakota,Palpa
4,keravani,rupandehi,devadaha,Rupandehi
2,shanti,arghakha.nchi,sitapura,Arghakhanchi
2,shanti,arghakha.nchi,thaha,Arghakhanchi
3,janajyoti,arghakha.nchi,,Arghakhanchi
1,lala vihari,rupandehi,,Rupandehi
1,kumbheshvara,lalitapura,,Lalitpur
2,ra,chitavana,basauli,Chitwan
4,triveni varaha,chitavana,,Chitwan
2,j~nanodaya,dhadi~na,,Dhading
4,ganeshakunda,dhadi~na,,Dhading
4,nepala rashtiya,bara,phutavajabdi,Bara
2,kalika,gulmi,,Gulmi
1,bala,arghakha.nchi,,Arghakhanchi
4,suboghini,arghakha.nchi,siddhara,Arghakhanchi
4,vaseri,dhadi~na,,Dhading
2,sidva,arghakha.nchi,thaha,Arghakhanchi
4,vijaya,arghakha.nchi,,Arghakhanchi
2,samgama,arghakha.nchi,dirbhana,Arghakhanchi
2,rrishikula,gorakha,,Gorkha
1,thalivari,gorakha,barapaka sulikota ga pa,Gorkha
1,gamga dharma,gorakha,,Gorkha
2,valajyoti,gorkha,,Gorkha
1,janashakti,navalaparasi,gaimdakota,Nawalparasi
1,bhanu,arghakha.nchi,,Arghakhanchi
1,shishu,bajha~na,chavisapathibhera ga pa,Bajhang
4,virendra,nuvakota,kumari,Nuwakot
1,virendra,nuvakota,kakani,Nuwakot
0,vishamkhunarayana lalitapura,Lalitpur,,Lalitpur
4,arjai,gulmi,arjai pokharavari,Gulmi
2,sarasvati,bajha~na,,Bajhang
3,bhanujyoti,jhapa,,Jhapa
2,ghati gaura,gulmi,,Gulmi
2,dharmodaya,gulmi,,Gulmi
4,tripura sundari,dhadi~na,jvalamukhi,Dhading
2,vidya vikasha,arghakhachi,maidana,Arghakhanchi
2,pragati,arghakha.nchi,,Arghakhanchi
4,liti mahakali,dhadi~na,,Dhading
4,bhimasena adarsha,lalitapura,godavari na pa,Lalitpur
2,amara,balkota,,Kalikot
4,ra~navasa,gulmi,,Gulmi
4,chandra bhanu jyoti,jhapa,,Jhapa
2,bala shiksha sadana,Bara,,Bara
2,rigau.n,dhadi~na,,Dhading
2,da.ndabagha,bajha~na,,Bajhang
4,himalaya,gulmi,,Gulmi
1,nageshvari,dolakha,gaurishamkara ga pa,Dolakha
1,sarasvati,lalitapura,,Lalitpur
2,chandrabhanu jyoti,jhapa,,Jhapa
3,sarasvati,dhadi~na,,Dhading
3,janajagrritij~nanashila,kathamadaum,,Kathmandu
2,bagabachchala,dhadi~na,,Dhading
4,kanya saha shiksha,bhaktapura,tekhapukhu,Bhaktapur
2,bhairava,gulmi,,Gulmi
1,sarasvati,dhadi~na,,Dhading
3,goganapani,dhadi~na,goganapani,Dhading
2,nateshvari,bhaktapura,,Bhaktapur
2,malika,arghakha.nchi,,Arghakhanchi
4,pavara,arghakha.nchi,,Arghakhanchi
3,chan bhanu,jhapa,,Jhapa
2,jvaladebi,dhadi~na,,Dhading
2,mala rani,gulmi,,Gulmi
2,chanidadamda,Syangja,,Syangja
1,ranichari,Syangja,arjunachaupari,Syangja
2,pashupati,arghakha.nchi,,Arghakhanchi
4,janapriya,arghakha.nchi,asurakota,Arghakhanchi
1,jalpadevi,dhadi~na,siddhaleka ga pa,Dhading
3,kalidevi,dhadi~na,,Dhading
3,dharmodaya,arghakha.nchi,siddhara,Arghakhanchi
1,kota,arghakha.nchi,pali,Arghakhanchi
1,alamadevi,arghakha.nchi,khidima,Arghakhanchi
1,rashtriya,chitavana,kiranatara rapti na pa,Chitwan
4,sharada,palpa,cherlu~n,Palpa
1,janaseva,arghakha.nchi,,Arghakhanchi
1,sarasvati,bhaktapura,,Bhaktapur
3,chakresvara,gorkha,,Gorkha
2,jivana,gorkha,keravari,Gorkha
4,shakti,gorakha,,Gorkha
4,mavi,rautahata,jamuniya hathiyahi,Rautahat
4,lakshmi,chitavana,la~nku,Chitwan
2,yadu~nga,gulmi,rurukshetra ga pa,Gulmi
1,vidya vikasa,arghakha.nchi,,Arghakhanchi
4,kalika ne ra,arghakha.nchi,,Arghakhanchi
2,kalika,dhativa~naga,,Dhading
4,janaseva,arghakha.nchi,adaguri,Arghakhanchi
4,ba.njhakateri meghaga~nga,gulmi,madane ga pa,Gulmi
2,nevarapani,dhadi~na,,Dhading
4,kalidevi,bhaktapura,kabhresthali,Bhaktapur
2,manakamanadebi,dhadi~na,,Dhading
2,ra,chitavana,phasera paserni,Chitwan
1,rashtriya,chitavana,chaibu~na,Chitwan
2,khadga,gulmi,isma ga pa,Gulmi
4,shrrri~nga janata,gulmi,shrrri~nga,Gulmi
3,chandeshvari,bhaktapura,,Bhaktapur
2,sita,arghakha.nchi,,Arghakhanchi
2,dhativa~naga,dhativa~naga,,Dhading
4,mavi,chitavana,brahmanagara,Chitwan
4,shanti adarsha,dolakha,,Dolakha
4,jyoti,dhadi~na,,Dhading
4,nandi,kathamadaum,naksala,Kathmandu
2,ra,chitavana,deujara siddhi,Chitwan
2,chakradevi ra,chitavana,,Chitwan
4,kalidevi pra,dhadi~na,,Dhading
4,mahesha dharma,dhadi~na,dhunivesi,Dhading
4,thulochaura,dhadi~na,,Dhading
2,mahenodaya,dhadi~na,,Dhading
4,yuvasahabhagita,kathamadaum,,Kathmandu
4,jhuvani,chitavana,ra na pa,Chitwan
4,annapurna,kaski,,Kaski
2,himalaya,jhapa,,Jhapa
2,rijalachoka,dhadi~na,,Dhading
2,pamchayata,mora,,Morang
4,sarasvati,mora~na,kalyanapura baradamga,Morang
3,gadhadeva,sunasari,bhamari,Sunsari
2,krrishna,Syangja,takasara,Syangja
1,lamchi,arghakha.nchi,,Arghakhanchi
2,rama rudra,kaski,,Kaski
4,kankai,jhapa,,Jhapa
4,pa~nchamani,jhapa,bahradashi,Jhapa
1,indrayani,kaski,,Kaski
1,sarasvati ku~nja,kaski,pokhara lekhanatha ma na pa,Kaski
1,vishnupada chaupari,arghakha.nchi,,Arghakhanchi
1,lala,arghakha.nchi,,Arghakhanchi
1,siddhartha,arghakha.nchi,shitagamga na pa,Arghakhanchi
2,janamukhi,Syangja,,Syangja
2,kabhre,balkota,,Kalikot
2,narayanai,kaski,,Kaski
1,janapremi,kaski,anapurna ga pa,Kaski
2,shri tara,bhaktapura,,Bhaktapur
2,rashtriya,saptari,koriyani,Saptari
1,avi,chitavana,dhamaura,Chitwan
2,shivalaya,dhadi~na,,Dhading
2,venivajara,parbata,,Parbat
2,santeshvara,bhaktapura,,Bhaktapur
4,shanti niketana,bhaktapura,suryavinayaka na pa,Bhaktapur
4,taparicha,dolpa,phoksundo,Dolpa
2,mahabharata,arghakha.nchi,,Arghakhanchi
2,bala prabodhini,kaskikota,,Kalikot
2,baraha,kaski,,Kaski
4,mahendraratna,jhapa,topagachi samayagadha,Jhapa
4,champapura,jhapa,kanakai nagarapalika champapura,Jhapa
2,shiva,Syangja,,Syangja
4,shitala,Syangja,pauvaigaumde,Syangja
1,vala hita,Syangja,pauvaigauda,Syangja
1,vidya jyoti,kaski,,Kaski
4,lyavoretari,sunasari,dharana,Sunsari
3,ne ra shiva,Bara,,Bara
1,pragatishila,Syangja,bhirakota,Syangja
1,daha,arghakha.nchi,thada,Arghakhanchi
2,janaka,arghakha.nchi,,Arghakhanchi
1,balashiksha,arghakha.nchi,malarani hamsapura,Arghakhanchi
4,amarapura omaprasada gautama,gulmi,,Gulmi
4,kyamune bhanjya~na,parvata,,Parbat
1,chandrodaya,Syangja,kaligandaki,Syangja
4,krrishna gandaki,palpa,rambha,Palpa
2,amshuvarma,arghakha.nchi,badhidamara,Arghakhanchi
2,kalika,nuvakota,,Nuwakot
4,janajagrriti,arghakha.nchi,dhanachaura,Arghakhanchi
2,nabina shiksha niketana,tapleju~na,,Taplejung
1,halahale,parvata,,Parbat
4,kaphalachaura,parvata,kushma,Parbat
4,kalika,baitadi,thaligada,Baitadi
1,sharada,kaski,,Kaski
2,shanti,palpa,rainadevi chahara,Palpa
2,shri janapripaya,palpa,,Palpa
2,shivavani,palpa,,Palpa
4,pa~nchakanya,Syangja,arjunachaupari,Syangja
4,janata,Syangja,thuladihi,Syangja
4,kajimana haritika,Syangja,putalibajara,Syangja
4,kajimana haritika,Syangja,putalibajara,Syangja
4,mavi,baitadi,gurukhola,Baitadi
4,kedara,baitadi,pipalakota,Baitadi
2,sidhdartha,arghakha.nchi,,Arghakhanchi
4,shamkara samskrrita,baitadi,mulakhatali,Baitadi
1,kurlu~na baraha,kaski,annapurna,Kaski
4,mavi,udayapura,mayakhu katari,Udayapur
2,samgama,arghakha.nchi,bagi,Arghakhanchi
4,virendra,baitadi,shahileka,Baitadi
4,sarasvati,darchula,malikarjuna uku,Darchula
4,sarvodaya,palpa,tanasena,Palpa
0,shikhara palpa,Palpa,,Palpa
4,gramya,palpa,chirtu~ngadhara,Palpa
1,guheshvari,Syangja,vali~na na pa,Syangja
4,ghuru~nakha,Syangja,,Syangja
2,kalika balahita,Syangja,,Syangja
1,siddhakali,Syangja,,Syangja
4,darau,Syangja,arjunachaupari ga pa,Syangja
1,rama,palpa,,Palpa
2,jyota prakasha,kaski,,Kaski
1,bhavani,baitadi,,Baitadi
3,dharmadhara,baitadi,,Baitadi
2,partarpura,baitadi,seli,Baitadi
2,shudarsana,baitadi,,Baitadi
4,bhumiraja,baitadi,kaphaladhu~nga,Baitadi
4,damati,okhaladhu~nga,para sunakoshi,Okhaldhunga
0,navalapura samudayika vi navalapura okhaladhumga,Nawalpur,,Nawalpur
4,janata,sunasari,barahakshetra,Sunsari
4,siddhakali,pa.nchathara,,Panchthar
4,bhrrikuti,jhapa,,Jhapa
4,vasudeva,baitadi,liskita,Baitadi
2,shivashakti,kaski,lekhanatha,Kaski
2,janahita,Syangja,,Syangja
4,shravana,Syangja,putalibajara,Syangja
4,durga,baitadi,,Baitadi
4,janaka,makavanapura,bakaiya ga pa,Makwanpur
4,sanatana dharma,baitadi,,Baitadi
2,vidya vikasa,dirbhana,,Dhankuta
1,janakalyana,kaski,machapuchchre ga pa,Kaski
2,hemajakota,kaski,,Kaski
4,kalika,makavanapura,raksira~nga,Makwanpur
4,rashtriya,dhanusha,rupaimtha belhi,Dhanusha
1,nepala rashtriya,baitadi,,Baitadi
1,balajagrriti,makavanapura,budhichaura,Makwanpur
2,divya jyoti,makavanapura,,Makwanpur
2,kaule deurali,Syangja,,Syangja
4,pradhumna,Syangja,,Syangja
4,pradhumna paneru,Syangja,,Syangja
4,moti,jhapa,,Jhapa
1,nepala rashtriya devavani,arghakha.nchi,chatradeva,Arghakhanchi
4,sarvajanika,arghakha.nchi,chatraga~nja,Arghakhanchi
4,kedareshvara,baitadi,durgasthana,Baitadi
2,maheshvari,arghakha.nchi,,Arghakhanchi
2,samakota,arghakha.nchi,siddhara,Arghakhanchi
2,jyoti bhavana,kaski,,Kaski
4,samskrrita,kaski,pokhara,Kaski
4,shigasa,baitadi,raksauna,Baitadi
1,balajyoti,kaski,,Kaski
1,amvota,arghakha.nchi,,Arghakhanchi
2,bala jyoti,makavanapura,,Makwanpur
4,sharada,makavanapura,,Makwanpur
4,gamga,palpa,rainadevi chahara,Palpa
1,gorakhanatha,palpa,chahara,Palpa
4,prrithvi prakasha,palpa,tinau,Palpa
4,janata namuna,palpa,,Palpa
1,siddhaganesha,kaski,,Kaski
1,kalidevi,makavanapura,bhimaphedi,Makwanpur
4,sharada,makavanapura,amabha~njya~na,Makwanpur
4,janapriya,makavanapura,chisapani,Makwanpur
3,sarasvati,palpa,kachala,Palpa
4,janapriya,rupandehi,devadaha,Rupandehi
2,shri navajyoti,palpa,lore~na,Palpa
2,ramarajya,Syangja,,Syangja
1,amilithuma,Syangja,vali~na,Syangja
1,kamala,kaski,,Kaski
3,kalika,kaski,,Kaski
2,matepani,kaski,,Kaski
4,janahita,Syangja,chapakota,Syangja
4,purnamrrita bhavani,Syangja,vali~na,Syangja
1,vasanta,palpa,vaganasakali,Palpa
1,kalika,palpa,,Palpa
0,j~nanajyoti im vo skula putalibajara sya~naja,Ilam,,Ilam
2,shiva,Syangja,putalibajara,Syangja
3,pokhari bha~nya~na,kekai,,Kaski
4,bhagavati,Syangja,phaparathuma,Syangja
4,shivalaya,parvata,kushma,Parbat
4,shauleshvara,baitadi,ramaki,Baitadi
4,pa~nchodaya,kailali,,Kailali
4,shalija,parvata,shalija,Parbat
2,pa~nali~na,Syangja,,Syangja
4,shahida shukra,Syangja,banethoka,Syangja
2,manjushri,jhapa,,Jhapa
3,shobha,baitadi,deubhada,Baitadi
4,j~nanodaya,Syangja,galya~na,Syangja
2,dipendroya,Syangja,manakamana sapau.nde,Syangja
2,thuli pokhari,Syangja,,Syangja
2,shri pashupati,palpa,,Palpa
2,bhavani,palpa,somadi,Palpa
2,shri chandeshvari,palpa,,Palpa
2,amara,palpa,,Palpa
1,balakanya bhagavati,palpa,tanasena,Palpa
2,janata,arghakha.nchi,khanadaha,Arghakhanchi
4,nagachamna,baitadi,rutoli,Baitadi
4,manialeka,baitadi,gurukhola,Baitadi
2,madanadevi,palpa,jyamire,Palpa
1,bakreka,kaski,,Kaski
2,matrribhumi janaprakasha,kaski,rajasthala,Kaski
1,amarajyoti,kaski,,Kaski
2,chandra jyoti,Syangja,majhagaum,Syangja
1,chitu~na,Syangja,pidikhola,Syangja
4,kalika,Syangja,putalibajara,Syangja
4,satyashila,Syangja,,Syangja
4,dharmadhara,baitadi,salena,Baitadi
1,sarasvati,arghakhamchi,gokhu~naga pasle~nga,Arghakhanchi
