school_id,school_1,school_id_B,name,district_id,district_id,Matched_District,root_school_name,School_name_transliterated,School_level,school_levels,School_name,Fuzzy_match_score,Match_Type
55,जलकन्या आवि फाकफोकथुम गा पा इलाम,12131,jal kanya basic school,3,3,ilam,jal kanya,jalakanya,आवि,avi,जलकन्या,3.0,"District: complete, School level: complete, Root name: complete"
54,किरांतेश्वर प्रावि इलाम,13287,kumitar pra v,3,3,ilam,kumitar,kiramteshvara,प्रावि,pravi,किरांतेश्वर,2.0,"District: complete, School level: complete, Root name: partial"
57,जनकल्याण्ा प्रावि दोकानडाँडा इलाम,12395,jana kalyan pra v,3,3,ilam,jana kalyan,janakalyana,प्रावि,pravi,जनकल्याण्ा,3.0,"District: complete, School level: complete, Root name: complete"
56,आदरणीय निमावि इलाम,130,adarniya mavi,3,3,ilam,adarniya ma vi,adaraniya,निमावि,,आदरणीय,1.5,"District: complete, School level: no match, Root name: partial"
59,जनकल्याण प्रावि आम्तेक भोजपुर,12405,jana kalyan pra v,1,1,bhojpur,jana kalyan,janakalyana,प्रावि,pravi,जनकल्याण,3.0,"District: complete, School level: complete, Root name: complete"
58,मिल्लाचोक निमावि इलाम,13683,mahakali ni ma v,3,9,ilam,mahakali,millachoka,निमावि,nimavi,मिल्लाचोक,1.5,"District: no match, School level: complete, Root name: partial"
60,शिक्षाक्षमाकन्या प्रावि भोजपुर,16676,siksha kshamakanya secondary school,1,1,bhojpur,siksha kshamakanya ma vi,shikshakshamakanya,प्रावि,,शिक्षाक्षमाकन्या,2.5,"District: complete, School level: no match, Root name: complete"
61,बालमितेरी मावि भोजपुर,1427,bal shakti basic school,1,1,bhojpur,bal shakti,balamiteri,मावि,avi,बालमितेरी,1.5,"District: complete, School level: no match, Root name: partial"
62,कृष्ण प्रावि लेटाङ मोरङ,13270,krishna pra vi,6,6,morang,krishna,krrishna,प्रावि,pravi,कृष्ण,3.0,"District: complete, School level: complete, Root name: complete"
63,अकला आवि तनहुँँ,437,akala basic school,46,46,tanahun,akala,akala,आवि,avi,अकला,3.0,"District: complete, School level: complete, Root name: complete"
65,खार्तन्छा निमावि भोजपुर,13188,khartamchha pra v,1,5,bhojpur,khartamchha,khartancha,निमावि,pravi,खार्तन्छा,2.0,"District: no match, School level: no match, Root name: complete"
64,श्री मावि लंकू बाह्घरे चितवन,3710,basic school sahapur,29,29,chitwan,sahapur,shri,मावि,avi,श्री,1.5,"District: complete, School level: no match, Root name: partial"
66,धापखर्क प्रावि भोजपुर,11356,dhap kharka pra v,1,1,bhojpur,dhap kharka,dhapakharka,प्रावि,pravi,धापखर्क,3.0,"District: complete, School level: complete, Root name: complete"
67,पञ्चकन्या प्रावि पौवादुङमा गा पा भोजपुर,14464,pancha kanya pra v,1,1,bhojpur,pancha kanya,pa~nchakanya,प्रावि,pravi,पञ्चकन्या,3.0,"District: complete, School level: complete, Root name: complete"
68,अमर ज्योती प्रावि क्यामुनडाँडा झिरुबास तनहुँँ,475,amar jyoti pra v,46,46,tanahun,amar jyoti,amara jyoti,प्रावि,pravi,अमर ज्योती,3.0,"District: complete, School level: complete, Root name: complete"
69,जन कल्याण आवि लक्ष्मीपुर इलाम,12386,jana kalyan basic school,3,3,ilam,jana kalyan,jana kalyana,आवि,avi,जन कल्याण,3.0,"District: complete, School level: complete, Root name: complete"
