root_school_name,school_levels,district_id,modified_old_name1,modified_old_name2,modified_local_level
blooming buds montassori,,4,,,birtamod municipality
blooming flowers ebs,,8,blooming flowers ebs,,phidim municipality
blooming kindergarten montessori vi,,11,blooming kinder garten montessori,,itahari sub metropolitan city
blooming lotus english ma vi,,11,blooming lotus ebs,,itahari sub metropolitan city
blue bells academy,,4,,,kachankawal rural municipality
blue bells academy,,3,,,ilam municipality
blue heaven ebs,,4,,,buddhashanti rural municipality
blue heaven education foundation ebs arjundhara,,4,blue heaven education foundation english vi,,arjundhara municipality
blue line horizon ebs,,14,,,triyuga municipality
bluebell academy,,4,blue bell academy,,birtamod municipality
boarding ma vidhalaya,,11,boarding ebs,,itahari sub metropolitan city
bodhe praimary vi,,2,bodhe pravi,,chaubise rural municipality
bogal orgen choling gumba,,10,,,thulung dudhkoshi rural municipality
bohoridanda,pravi,5,,,diktel rupakot majhuwagadhi municipality
bouddha,avi,7,bouddha pravi,,chisankhugadhi rural municipality
bouddhadham ma vi,,3,bouddha dham ma vi,,suryodaya municipality
boudhamode ebs,,4,boudhamod ebs,baudhamod ebs,mechinagar municipality
bp,avi,6,bp pravi,,ratuwamai municipality
bp a,,11,bp pravi,,dewanganj rural municipality
bp,avi,11,bp nimavi,,harinagar rural municipality
bp,avi,11,bp avi,,duhabi municipality
bp a viidayalay veruwa sunawarshi,,6,bp a viidayalay veruwa sunwarshi,bp pravi,sunawarshi municipality
bp,avi,11,bp pravi,,duhabi municipality
bp  chhathar tehrathum,avi,13,bp pravi,,chhathar rural municipality
bp budhmal karma dharma,avi,11,bp budhmal karma dharma pravi,,koshi rural municipality
bp memorial,pravi,11,,,inaruwa municipality
bp,pravi,6,,,dhanapalthan rural municipality
bp,pravi,6,,,sundarharaincha municipality
bp,pravi,6,,,budhiganga rural municipality
bp,pravi,11,,,barahkshetra municipality
bp,pravi,11,,,barahkshetra municipality
bp,pravi,11,,,duhabi municipality
bp,pravi,10,,,sotang rural municipality
bp sanskrit ma vi,,10,bp sanskrit ma vi,,nechasalyan rural municipality
bp smriti adharvut v,,11,bp smriti pravi,,harinagar rural municipality
bp smriti,avi,8,bp smriti pravi,,phalgunanda rural municipality
brahma yogeshor baidik biddhyapith,avi,8,brahma yog ashram,,hilihang rural municipality
bramhadev uranw mandela smriti basic schoo,,11,bramhadev uranw mandela smriti avi,bramhadev uranw mandela smriti pravi,bhokraha narsing rural municipality
brighfuture montessori,,4,,,birtamod municipality
bright angels ma vi,,6,,,biratnagar metropolitan city
bright carrer public eng ebs,,6,,,pathari shanishchare municipality
bright ebs,,11,,,inaruwa municipality
bright future academy chaudandigadhi,,14,bright future ebs basaha,,chaudandigadhi municipality
bright future ebs,,3,,,phakphokthum rural municipality
bright future ebs,,4,,,buddhashanti rural municipality
bright future ebs,,11,,,koshi rural municipality
bright future ebs,,11,,,barju rural municipality
bright future ebs,,1,bright future ebs,,shadananda municipality
bright future ebs,,11,bright future ebs,,itahari sub metropolitan city
bright future ebs,,1,,,bhojpur municipality
bright future ebs,,6,,,jahada rural municipality
bright future montessori,,11,,,ramdhuni municipality
bright future montessori ebs,,11,,,ramdhuni municipality
bright future national ebs birendra bazar siddipur,,14,,,chaudandigadhi municipality
bright future ma vi,,6,,,sundarharaincha municipality
bright khotang academy,,5,,,jantedhunga rural municipality
bright star ebs,,4,,,bhadrapur municipality
bright star ebs,,5,,,diprung chuichumma rural municipality
bright star ebs,,8,brightstar ebs,,phalelung rural municipality
bright sunrise ebs,,6,bright sunrise boarding shanishchare,,pathari shanishchare municipality
brighter ebs,,4,brighter ebs,,arjundhara municipality
brighter star ebs,,4,brighter star ebs,bright star ebs,damak municipality
brilliand ebs,,11,,,barju rural municipality
brilliant academy,,6,,,urlabari municipality
brilliant academy udayapur,,14,,,triyuga municipality
brilliant ebs,,6,brilliant english boarding vi urlabari,briliant ebs,urlabari municipality
brilliant ebs,,11,brilliant ebs,,ramdhuni municipality
brilliant pupils' ma vi arjundhara,,4,brilliant pupils' ma vi arjundhara,brilliant pupil's ma vi,arjundhara municipality
budanilkantha,avi,8,budanilkantha pravi,,tumbewa rural municipality
budanilkantha,avi,3,budanilkantha pravi,,suryodaya municipality
buddha academy,pravi,10,,,solududhakunda municipality
buddha adarsha ebs dharan,,11,buddha adarsha boarding vi,buddha aadarsha boarding vi,dharan sub metropolitan city
buddha adarsha ma vi,,4,buddha adarsha ma vi,,buddhashanti rural municipality
buddha,avi,6,buddha avi,buddha pravi,sundarharaincha municipality
buddha,avi,12,buddha pravi,,aathrai tribeni rural municipality
buddha,avi,8,buddha nimavi,,yangwarak rural municipality
buddha,avi,3,buddha a bidyalya,buddha pravi,mai municipality
buddha,avi,4,buddha pravi,,kachankawal rural municipality
buddha,avi,13,buddha pravi,,aathrai rural municipality
buddha,avi,7,buddha avi,buddha pravi,khijidemba rural municipality
buddha,avi,7,buddha nimavi,,khijidemba rural municipality
buddha,avi,14,shree buddha avi,,katari municipality
buddha  khasre,avi,7,buddha pravi,,chisankhugadhi rural municipality
buddha ebs,,6,,,gramthan rural municipality
buddha janata,pravi,14,buddha janata pravi,,chaudandigadhi municipality
buddha jyoti,avi,1,buddha jyoti pravi,,shadananda municipality
buddha kinder garden public vi,,6,,,jahada rural municipality
buddha niketan english bording vi,,14,buddha niketan ebs sanibare,,chaudandigadhi municipality
buddha,pravi,9,,,silichong rural municipality
buddha,pravi,9,,,bhotkhola rural municipality
buddha,pravi,1,,,shadananda municipality
buddha ma vi,,8,buddha ma vi,,yangwarak rural municipality
buddha ma vi,,3,buddha ma vi,,suryodaya municipality
buddha ma vi,,6,buddha ma vi,,kerabari rural municipality
buddha ma vi,,6,buddha ma vi,,pathari shanishchare municipality
buddha smriti education foundation,,4,smriti ebs,,birtamod municipality
buddheshwari ma vi,,8,buddheshwori ma vi,,tumbewa rural municipality
buddhi bikash,avi,10,,,mapya dudhkoshi rural municipality
buddhi bikash,pravi,10,,,mapya dudhkoshi rural municipality
buddhi memorial ebs,,2,buddhi memorial es,buddhi memorial ebs,sangurigadhi rural municipality
buddhilal memorial ebs,,14,bhddhilal memorial ebs,,belaka municipality
budha subba,avi,11,budha subba aa vi,budha subba pravi,inaruwa municipality
budha subba english ma vi dharan,,11,,,dharan sub metropolitan city
budha subba,pravi,2,,,sangurigadhi rural municipality
budha vairung,pravi,5,budha vairung pravi,,jantedhunga rural municipality
budhahang,pravi,2,,,sahidbhumi rural municipality
budhani ebs,,11,,,bhokraha narsing rural municipality
budhanilakantha ma ebs,,6,,,biratnagar metropolitan city
budhi morang,avi,2,budhi morang pravi,budhi morang pravi,sangurigadhi rural municipality
budhiganga ebs,,6,,,budhiganga rural municipality
budhithan,pravi,8,,,phalelung rural municipality
budhuk ma vi,,2,budhuk uchha ma vi,,chaubise rural municipality
budhuk,pravi,8,,,phidim municipality
budurlal vidya niketan,,14,budurlal bidya niketan,,chaudandigadhi municipality
buksa,avi,10,buksa avi,,khumbu pasanglhamu rural municipality
bulapanthe ma vi,,5,,,halesi tuwachung municipality
bulbul  koshi,avi,11,bulbul avi koshi rural municipality,bulbul pravi,koshi rural municipality
bungrung,avi,12,burungh nimavi,,sidingba rural municipality
burumkhim,pravi,12,,,sidingba rural municipality
calvary ebs,,6,,,rangeli municipality
cambridge ma ebs,,4,,,shivasatakshi municipality
camellia ebs,,11,cameliya english boarding vi,cameliya ebs,dharan sub metropolitan city
canary academy,,4,canary academy ebs,,haldibari rural municipality
canvas academy udayapur,,14,canvas english boarding vi gaighat,,triyuga municipality
caprose montessory,,6,,,pathari shanishchare municipality
carmel ma vi,,11,carmel ma vi dharan,,dharan sub metropolitan city
carnation,avi,3,,,suryodaya municipality
center point ebs,,6,center point ebs,,belbari municipality
chadani,avi,11,chadani aa vi,chadani pravi,inaruwa municipality
chagenstan ma vi,,10,,,solududhakunda municipality
chainpur ebs,,9,,,chainpur municipality
chaite,pravi,13,,,myanglung municipality
chakalidevi a via,,5,chakalidevi a via,chakalidevi avi,barahapokhari rural municipality
chaksibote ma vi,,12,chaksibote ma vi,chaksibote uchha ma vi,pathivara yangwarak rural municipality
chamardhap,pravi,4,chamardhap pravi,,birtamod municipality
champa devi,pravi,10,,,solududhakunda municipality
champa devi ma sachool,,7,champa devi ma sachool salleri,champadevi ma vi,siddhicharan municipality
champa flowers english academy,,4,,,kanakai municipality
champadevi basic,,7,champadevi nimavi banse,,khijidemba rural municipality
champadevi,avi,7,champadevi avi bhogteni,champadevi pravi,champadevi rural municipality
champadevi  kakani,avi,7,champadevi nimavi,,sunkoshi rural municipality
champadevi  mahvir,avi,7,champadevi nimavi mahvir,champadevi nimavi,khijidemba rural municipality
champadevi  thumki,avi,7,champadevi avi,champadevi pravi,molung rural municipality
champadevi ebs,,7,,,molung rural municipality
champadevi,pravi,7,,,sunkoshi rural municipality
champawatee ma vi,,5,champawati ma vi,champawati ma vi,diktel rupakot majhuwagadhi municipality
champawati,avi,5,champawati avi,champawati adharvut vi,halesi tuwachung municipality
champawati,avi,5,champawati pravi,,halesi tuwachung municipality
champawati ma vi buipa,,5,champawati ma vi buipa,,diktel rupakot majhuwagadhi municipality
champe ma vi,,1,champe ma vi,,arun rural municipality
champion ma vi,,11,champion ebs,,dharan sub metropolitan city
chamunda bhagawati res ma vi,,11,chamunda bhagawati res ma vi itahari,,itahari sub metropolitan city
chanchala devi,avi,2,chanchala devi nimavi,,dhankuta municipality
chanchaladevi,avi,7,chanchaladevi pravi,,siddhicharan municipality
chanchaladevi ebs,,7,,,sunkoshi rural municipality
chandeshwari,avi,12,chandeshwori pravi,,pathivara yangwarak rural municipality
chandeshwari ebs,,7,,,champadevi rural municipality
chandeshwari ma,,7,chandeshwari ma vi,,khijidemba rural municipality
chandeshwary,pravi,1,chandeshwori pravi,,hatuwagadhi rural municipality
chandeshwori,avi,6,chandeshwori pravi,,sundarharaincha municipality
chandeshwori a vii,,5,chandeshwori avi,,khotehang rural municipality
chandeshwori basic,,7,chandeshwori pravi,,khijidemba rural municipality
chandeshwori,avi,5,chandeshwori avi,,sakela rural municipality
chandeshwori ma vi,,1,,,temkemaiyung rural municipality
chandeshwori,pravi,10,,,likhupike rural municipality
chandeshwori,pravi,5,,,jantedhunga rural municipality
chandeswor ma vi,,1,chandeswor ma vi,chandeswor ma vi balankha,aamchowk rural municipality
chandi,avi,1,chandi avi,chandi avi,bhojpur municipality
chandi bright future ebs,,14,,,chaudandigadhi municipality
chandi danda,avi,12,chandi danda pravi,chandi danda pravi,meringden rural municipality
chandika,avi,1,chandika pravi,,ramprasad rai rural municipality
chandika basic shadananda sangpang,,1,chandika pravi shadananda sangpang,chandika pravi,shadananda municipality
chandika bhawani,pravi,11,,,dharan sub metropolitan city
chandra bhanu jyoti ma vi,,4,,,bhadrapur municipality
chandra jyoti,avi,9,chandra jyoti pravi,,madi municipality
chandra jyoti,avi,3,chandra jyoti avi,chandra jyoti pravi,mai municipality
chandra jyoti,avi,9,chandra jyoti pravi,,silichong rural municipality
chandra jyoti,avi,10,chandra jyoti pravi,,nechasalyan rural municipality
chandra jyoti ebs,,4,,,kamal rural municipality
chandra jyoti ma vi,,10,,,likhupike rural municipality
chandra jyoti,pravi,10,,,solududhakunda municipality
chandra kala,avi,3,chandra kala pravi,,suryodaya municipality
chandra kala,pravi,3,,,rong rural municipality
chandra kamal ma vi,,11,chandra kamal u ma vi,,ramdhuni municipality
chandra kirateshwor ma vi,,6,chandra kiranteshwor ma vi,,pathari shanishchare municipality
chandra memorial ebs,,11,,,itahari sub metropolitan city
chandra,pravi,5,chandra pravi,,kepilasagadhi rural municipality
chandra,pravi,2,chandra pravi,,dhankuta municipality
chandra sanskrit ma vi dharan,,11,chandra sanskrit u ma vi,,dharan sub metropolitan city
chandra surya,avi,3,chandra surya a via,chandra surya pravi,mai municipality
chandra surya ebs,,6,,,jahada rural municipality
chandra surya ma,,1,chandra surya ma vi,chandra surya ma vi,shadananda municipality
chandrakanya,pravi,5,chandrakanya avi,chandra kanya pravi,ainselukharka rural municipality
chandrama,avi,6,chandma avi,chandma pravi,miklajung rural municipality
chandrawati  khartmchha,avi,1,,,shadananda municipality
chandrawati  dovane,avi,1,chandrawati avi dovane,,salpasilichho rural municipality
chandrawati ma vi lekhani,,14,chandrawati ma vi lekhani,chandrawati uchha ma vi lekhani,katari municipality
chandreshwar ma vi,,8,chandreshwor ma vi,chandreshwor ma vi,miklajung rural municipality
chandreshwor ma vi,,1,chandreshwor ma vi,,aamchowk rural municipality
chandreshwori,avi,1,chandreshwori pravi,,arun rural municipality
chandreshwori,avi,1,chandreshwori pravi,chandreshwori pravi,shadananda municipality
chandreshwori,pravi,3,,,mangsebung rural municipality
chandrodaya ma vi,,8,chandrodaya ma vi,,miklajung rural municipality
chandrodaya academy english education foundation,,3,motherland ebs,,suryodaya municipality
chandrodaya,avi,3,,,sandakpur rural municipality
chandrodaya,avi,6,chandrodaya avi,chandrodaya avi,miklajung rural municipality
chandrodaya,avi,12,chandrodaya pravi,,phaktanglung rural municipality
chandrodaya,avi,8,chandrodaya pravi,,kummayak rural municipality
chandrodaya,avi,8,chandrodaya pravi,,yangwarak rural municipality
chandrodaya,avi,3,chandrodaya pravi,,ilam municipality
chandrodaya,avi,3,chandrodaya pravi,,suryodaya municipality
chandrodaya,avi,4,chandrodaya pravi,,arjundhara municipality
chandrodaya,avi,6,chandrodaya pravi,,miklajung rural municipality
chandrodaya,avi,10,chandrodaya avi,chandrodaya pravi,mapya dudhkoshi rural municipality
chandrodaya,avi,5,chandrodaya aa bi,chandrodaya pravi,kepilasagadhi rural municipality
chandrodaya  chandrapur,avi,14,chandrodaya pravi chandrapur,,belaka municipality
chandrodaya,pravi,2,chandrodaya pravi,,sahidbhumi rural municipality
changa,pravi,12,changa pravi,,meringden rural municipality
change ma vi,,12,change uchha ma vi,,aathrai tribeni rural municipality
chanuwa ebs,,2,chanuwa ebs,,mahalaxmi municipality
chanuwa ma vi,,2,chanuwa ma vi damar,chanuwa uchha ma vi,mahalaxmi municipality
chapgugas pra,,1,,,salpasilichho rural municipality
chapramari,pravi,4,chapramari pravi,,jhapa rural municipality
chaturbhuj,pravi,2,chaturbhuj pravi,,dhankuta municipality
chature little star ebs,,8,,,hilihang rural municipality
chaurasi devi,pravi,2,chaurasi devi pravi,,pakhribas municipality
chautara ma vi dandakharka,,7,chautara ma vi,,sunkoshi rural municipality
chautare danda,pravi,5,,,khotehang rural municipality
chawakhu,avi,12,chawakhu pravi,,phaktanglung rural municipality
chepel,avi,10,chepel pravi,,sotang rural municipality
cheragula ulum madrassa,,4,,,jhapa rural municipality
cheskam,pravi,10,,,mahakulung rural municipality
chetan,avi,7,chetan pravi,,chisankhugadhi rural municipality
chhahare  koiralagaun,avi,7,chhahare pravi,,chisankhugadhi rural municipality
chhangchha hang,avi,1,chhangchha hang pravi,,temkemaiyung rural municipality
chhatedhunga ma vi,,12,chhatedhunga ma vi,,aathrai tribeni rural municipality
chhatra pragati ma vi bhadaure,,7,chhatra pragati ma vi bhadaure,chhatra pragati ma vi bhadaure,chisankhugadhi rural municipality
chhatre nagi,pravi,9,,,madi municipality
chhatreshwori,avi,9,chhatreshwori basic,chhatreshwori pravi,madi municipality
chhattar ebs,,13,chhattar ebs,,chhathar rural municipality
chhenkhama,avi,1,chhenkhama pravi,chankhama pravi,temkemaiyung rural municipality
chheskam ma vi,,10,cheskam ma vi,,mahakulung rural municipality
chhintang ma vi,,2,chhintang uchha ma vi,,sahidbhumi rural municipality
chhintang devi,pravi,2,,,sahidbhumi rural municipality
chhintangdevi,avi,1,chhintangdevi avi,chantang devi avi,ramprasad rai rural municipality
chhiruwa,avi,8,chhiruwa nimavi,,phalelung rural municipality
child garden public academy ebs,,1,,,pauwadungma rural municipality
children bright future ebs baradanga sunawarshi,,6,,,sunawarshi municipality
children environment ebs,,4,,,birtamod municipality
children garden academy,,4,,,haldibari rural municipality
children garden ebs,,3,cheldren garden ebs,,rong rural municipality
children garden english ma vi,,4,children garden ebs,,haldibari rural municipality
children heart academy,,11,,,barahkshetra municipality
children orchad ebs,,6,children orchad ebs,,miklajung rural municipality
children socity ebs,,11,children socity ebs,,itahari sub metropolitan city
children's academy,,11,children's academy ebs,childrens academy ebs,dharan sub metropolitan city
children's golden future academy,,6,,,budhiganga rural municipality
childrens house montessori,,11,,,dharan sub metropolitan city
chilhara,pravi,4,,,gauriganj rural municipality
chimadi aa vi,,11,chimdi aa vi,chimdi pravi,barju rural municipality
chimbu,avi,10,chimbu pravi,,likhupike rural municipality
chinabung,avi,12,chinabung pravi,,mikwakhola rural municipality
chinari ebs,,6,chinari ebs,,pathari shanishchare municipality
chinkhuwa,avi,9,chinkhuwa avi,,panchakhapan municipality
chintapu,pravi,8,,,phalelung rural municipality
chipling,avi,7,chipling avi,chipling nimavi,champadevi rural municipality
chisapani ma vi,,5,,,jantedhunga rural municipality
chisapani,pravi,3,,,rong rural municipality
chisopani ma vi,,3,chisopani ma vi,chisopani ma vi,mangsebung rural municipality
chitra gupta basic cshool,,10,chitra gupta pravi,,thulung dudhkoshi rural municipality
chitra gupta rajaji,avi,11,chitra gupta rajaji aa vi,chitra gupta rajaji pravi,bhokraha narsing rural municipality
chitra niketan,pravi,5,,,diprung chuichumma rural municipality
chiwang monastery sangey trust,,10,,,solududhakunda municipality
chiwang,pravi,10,,,solududhakunda municipality
chizan's palace vi,,11,kanchanjungha kindergarten montessori vi,,itahari sub metropolitan city
chochami,pravi,10,,,mapya dudhkoshi rural municipality
chokmagu,avi,8,chokmagu pravi,,phidim municipality
chokmagu ebs,pravi,8,chokmagu english boarding vi,,phidim municipality
cholung,avi,8,cholung pravi,,yangwarak rural municipality
chomalung,pravi,10,,,mapya dudhkoshi rural municipality
chomolngma,avi,5,chomolngma pravi,,halesi tuwachung municipality
chomolonma,avi,1,chomolonma pravi,,aamchowk rural municipality
chomolungma,avi,10,chomolunma avi,chomolunma pravi,mahakulung rural municipality
choubise academic ebs,,6,,,pathari shanishchare municipality
choudandi,avi,9,choudandi pravi,,panchakhapan municipality
chuhan danda,avi,3,chuhan danda aabi,chuhan danda pravi,phakphokthum rural municipality
chulachuli,avi,6,chulachuli pravi,,miklajung rural municipality
chulachuli e b s vi,,4,chulachuli english boarding ma vi,,damak municipality
chulachuli ebs,,3,,,chulachuli rural municipality
chulachuli,pravi,3,,,chulachuli rural municipality
chulachuli ma vi,,4,chulachuli avi,,damak municipality
chulachuli ma vi,,2,chulachuli ma vi,chulachuli uchha ma vi,chhathar jorpati rural municipality
chuli basic,,7,chuli nimavi,,khijidemba rural municipality
chuliban,pravi,2,chuliban pravi,,dhankuta municipality
chumakhu,avi,5,chumakhu pravi,,halesi tuwachung municipality
churiya  mohanpur,avi,14,churiya nimavi mohanpur,,triyuga municipality
churiya  chyanga,avi,14,churiya avi chyanga,churiya nimavi chyanga,katari municipality
churiyamai ebs katari,,14,,,katari municipality
chyasmitar ma vi,,5,,,halesi tuwachung municipality
chyuridanda ma vi,,7,chyuridanda ma vi,,likhu rural municipality
city montessori children house,,11,,,dharan sub metropolitan city
city montessori vi,,11,,,itahari sub metropolitan city
city ma vi ebs,,6,,,biratnagar metropolitan city
classical english ma vi,,6,classical english vi miklajung rural municipality,,miklajung rural municipality
college of business and social studies,,6,,,biratnagar metropolitan city
commoners' home for education,,4,commoners home for education,,birtamod municipality
conduit academy,,6,,,katahari rural municipality
convent ebs,,4,convent ebs,,mechinagar municipality
corban ebs,,6,korwan ebs,,budhiganga rural municipality
cornerstone children home and day care,,11,cornerston children home and day care,,itahari sub metropolitan city
cornerstone foundation,,4,,,damak municipality
cosmos children academy,,6,,,sundarharaincha municipality
creative academy,,4,,,kachankawal rural municipality
creative ebs,,4,creative ebs,,damak municipality
creative ideals academy,,4,creative international academy,,birtamod municipality
creche international academy damak,,4,creche international academy,,damak municipality
crimson academy,,11,,,itahari sub metropolitan city
crimson academy bagaha,,14,,,triyuga municipality
crimson eng ebs,,4,crimson ebs,,gauriganj rural municipality
crimson national public vi,,6,,,katahari rural municipality
crystal public academy,,6,,,belbari municipality
cunina s ebs,,9,kunina ebs,,khandbari municipality
dada bazar,pravi,2,dada bazar pravi,,sangurigadhi rural municipality
dadakharka,avi,5,dadakharka pravi,dandakharka pravi,barahapokhari rural municipality
dainiya believers ebs,,6,,,sunawarshi municipality
dalgaun,avi,1,dalgaun pravi,,ramprasad rai rural municipality
dalit,avi,11,dalit avi,,bhokraha narsing rural municipality
dalit jana jagaran,pravi,5,,,halesi tuwachung municipality
dallidanda,pravi,7,dallidanda pravi,,champadevi rural municipality
damak adarsha ebs,,4,,,damak municipality
damak multiple campus,,4,,,damak municipality
damak national vi,,4,,,damak municipality
damak technical vi,,4,,,damak municipality
dambar rudreshwor matapita,pravi,14,,,katari municipality
damli ma vi,,5,damli ma vi,damli ma vi,halesi tuwachung municipality
damodar mahasingh,pravi,5,,,halesi tuwachung municipality
damodar ma vi,,2,damodar ma vi,,chhathar jorpati rural municipality
damrabhitta ebs,,6,,,ratuwamai municipality
danawati,pravi,6,,,dhanapalthan rural municipality
danda,avi,12,danda pravi,,sirijangha rural municipality
danda,nimavi,12,,,phungling municipality
danda,pravi,12,,,pathivara yangwarak rural municipality
dandagaun,avi,8,danda gaun pravi,,hilihang rural municipality
danfe vidya sadan ebs,,6,,,ratuwamai municipality
dangihat little buddha ebs,,6,,,belbari municipality
dantakali ebs,,4,dantakali ebs,,mechinagar municipality
darpan national ebs,,6,,,biratnagar metropolitan city
darul madrassa,,4,,,kachankawal rural municipality
darul madrassa,,4,,,gauriganj rural municipality
darul uloom hidayatul islam,,11,,,inaruwa municipality
darul uloom kubbtul iman madrassa,,11,darululum kubbtul iman madrassa,,harinagar rural municipality
darul uloom mazaharul islam madrasa,,11,darul ulum majaharul islam madrassa,,bhokraha narsing rural municipality
darul uloom rajjaye madarssa,,4,,,kachankawal rural municipality
darul ulum chapramari madarsha,,4,,,gauradaha municipality
darul ulum mahamadi madrassa,avi,6,darul ulum mahamadi madrassa,,ratuwamai municipality
dawa dhechhen chhyoling  dhangle,avi,14,dawa dhechan chyolingps gumba,,rautamai rural municipality
dawan ebs,,1,,,bhojpur municipality
dawn english medium ma vi,,6,,,biratnagar metropolitan city
dawn village ebs,,4,dawn village ebs,don village ebs,gauriganj rural municipality
debata a viidayala,,6,debata avi,,sundarharaincha municipality
dedraj sewali devi todi dav kvb vi,,6,dedraj sewalidevi todi dav vi,,biratnagar metropolitan city
deep ebs,,13,,,laligurans municipality
deep english ma vi,,2,deep english ebs,,dhankuta municipality
deep jyoti,avi,8,deep jyoti pravi,,phidim municipality
deep jyoti academy,,11,,,koshi rural municipality
deep jyoti,avi,8,deep jyoti pravi,,phalelung rural municipality
deep jyoti,avi,3,deep jyoti a via,deep jyoti pravi,mai municipality
deep jyoti,avi,6,deep jyoti avi,,belbari municipality
deep jyoti,avi,9,deep jyoti pravi,,makalu rural municipality
deep jyoti,avi,10,deep jyoti pravi,,sotang rural municipality
deep jyoti ebs,,2,dip jyoti ebs,,dhankuta municipality
deep jyoti,pravi,1,,,salpasilichho rural municipality
deep jyoti,pravi,10,,,mapya dudhkoshi rural municipality
deepak,avi,4,deepak pravi,,bhadrapur municipality
deepak jana jyotibasic,,5,deepak jana jyoti pravi,,halesi tuwachung municipality
deependra  rametar,avi,14,deependra pravi rametar,,rautamai rural municipality
deependra  serke,pravi,14,,,rautamai rural municipality
deepjyoti balbikas kendra,,3,ratnamie pravi,,deumai municipality
deepjyoti,avi,3,deepjyoti a bidyalya,deepjyoti pravi,mai municipality
deepjyoti,pravi,7,,,manebhanjyang rural municipality
deepjyoti ma ebs myanglung tehrathum,,13,deep jyoti ebs,,myanglung municipality
deepshikha montessori,,6,,,urlabari municipality
dekshen kshyoling monastry,,10,,,thulung dudhkoshi rural municipality
deku,pravi,10,,,solududhakunda municipality
delhi public vi,,6,delhi public ebs,,biratnagar metropolitan city
delight model academy,,12,,,phungling municipality
delta ebs,,6,,,belbari municipality
dembahil basic,,7,dembahil pravi,,khijidemba rural municipality
depot ma vi,,11,dipot uchcha ma vi,,dharan sub metropolitan city
desh kalayan,avi,6,desh kalayan avi,,budhiganga rural municipality
deumai,avi,3,deumai pravi,daumai pravi,deumai municipality
deurali,avi,9,deurali aa bi,deurali pravi,khandbari municipality
deurali,pravi,2,deurali pravi,,sangurigadhi rural municipality
deurali ma vi,,2,deurali nimavi,,dhankuta municipality
deurali a viiddyalaya,,13,deurali pravi,,phedap rural municipality
deurali adharvut vi,,9,deurali adharvut vi,deurali pravi,chichila rural municipality
deurali,avi,12,deurali pravi,,phaktanglung rural municipality
deurali,avi,12,deurali pravi,,sidingba rural municipality
deurali,avi,3,deurali pravi,,deumai municipality
deurali,avi,3,deurali pravi,,ilam municipality
deurali,avi,13,deurali pravi,,chhathar rural municipality
deurali children academy,,11,deurali children academy dharan,,dharan sub metropolitan city
deurali ebs,,8,,,miklajung rural municipality
deurali ebs siruwani,,14,,,chaudandigadhi municipality
deurali ma vi,,5,,,rawa besi rural municipality
deurali panchakanya believers ebs dharan,,11,deurali panchakanya believers ebs,durali panchakanya believers ebs,dharan sub metropolitan city
deurali pra,avi,10,deurali pravi,,thulung dudhkoshi rural municipality
deurali,pravi,5,,,halesi tuwachung municipality
deurali ma vi,,2,deurali uchha ma vi,,dhankuta municipality
dev memorial academy,,3,,,phakphokthum rural municipality
devbhumi vidyapith ebs,,4,deb bhumi ebs,,arjundhara municipality
devi,avi,5,,,diprung chuichumma rural municipality
devi balbikas  ranagau,avi,14,devi balbikas pravi ranagau,,katari municipality
devi,avi,12,devi avi,devi nimavi,meringden rural municipality
devi,avi,12,devi nimavi,,aathrai tribeni rural municipality
devi,avi,3,devi pravi,,ilam municipality
devi,avi,7,devi pravi,,manebhanjyang rural municipality
devi darshan,pravi,9,devi darshan pravi,,dharmadevi municipality
devi pathivara english,avi,4,devi pathivara ebs arjundhara,devi pathivara ebs,arjundhara municipality
devi,pravi,3,,,sandakpur rural municipality
devi,pravi,4,,,mechinagar municipality
devi  baireni,pravi,14,,,katari municipality
devi ma vi,,4,debi uchha ma vi,,birtamod municipality
devi ma vi,,6,devi ma vi,,gramthan rural municipality
devi ma vi bhulke,,14,devi ma vi bhulke,,katari municipality
devismrity,pravi,3,,,chulachuli rural municipality
devistan,pravi,10,devistan a pravi,,mapya dudhkoshi rural municipality
devisthan,avi,3,devisthan pravi,,deumai municipality
devisthan,avi,7,devisthan nimavi,,manebhanjyang rural municipality
devithan ma vi,,1,devithan ma vi,,bhojpur municipality
devkota,avi,11,devkota pravi,,inaruwa municipality
devkota,avi,3,devkota pravi,,ilam municipality
devkota,avi,3,devkota elementary vi,devkota avi,ilam municipality
devkota,avi,4,devkota avi,devkota avi,birtamod municipality
devkota,avi,4,devkota pravi,,kanakai municipality
devkota,avi,6,devkota avi,,belbari municipality
devkota,avi,6,devkota pravi,,miklajung rural municipality
devkota education foundation,,4,jhapa kanchanjangha modern ebs,,kanakai municipality
devkota,pravi,9,,,panchakhapan municipality
devkota public ma ebs,,6,devkota public ma vi,,biratnagar metropolitan city
devkota ma vi,,4,devkota ebs,,gauriganj rural municipality
devkota ma vi,,6,devkota ma vi,,miklajung rural municipality
devkul ma vi,,4,devkul ebs,,birtamod municipality
dewasthan,avi,5,devisthan avi,devisthan avi,khotehang rural municipality
dham saraswati,avi,8,dham saraswati nimavi,,kummayak rural municipality
dhamo,avi,6,,,dhanapalthan rural municipality
dhana kanya,pravi,5,dhana kanya pravi,,ainselukharka rural municipality
dhanapokhari,avi,9,dhan pokhari pravi,,madi municipality
dhande a viiddyalaya,,13,dhande pravi,,phedap rural municipality
dhanjit,avi,11,dhan jit nimavi,,barahkshetra municipality
