school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3
1190,Aniwarya Nisulka Basic School,Kaseni,3,166,Pakhribas Municipality,2,Dhankuta,1,Koshi Province,Aniwarya Nisulka Ni Ma V,,
1191,Aniwarya Nisulka Secondary School,Simle,1,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,Aniwarya Nisulka secondary school,"Aniwarya Nisulka secondary school, sahidbhumi-1 dhankuta",Aniwarya Nisulka Ma V
1192,Annapurna Academy Morang,"Belbari-3, Morang",3,405,Belbari Municipality,6,Morang,1,Koshi Province,Annapurna Academy,,
1193,Annapurna Academy P.v.t Ltd,Ramdhuni:-3,3,725,Ramdhuni Municipality,11,Sunsari,1,Koshi Province,,,
1194,Annapurna Basic School,Umring,4,625,Madi Municipality,9,Sankhuwasabha,1,Koshi Province,Annapurna Pra V,,
1195,Annapurna Basic School Bhalupakwan,Rautamai,3,774,Rautamai Rural Municipality,14,Udayapur,1,Koshi Province,Annapurna Pra V Bhalupakwan,,
1196,"Annapurna Basic School(1-5), Bajagara",Bajgara,3,775,Limchungbung Rural Municipality,14,Udayapur,1,Koshi Province,Annapurna Pra V Bajagara,,
1197,Annapurna English  School,Itahara,9,418,Ratuwamai Municipality,6,Morang,1,Koshi Province,Annapurna English Boarding School,"Annapurna English Boarding School Ratuwamai 9, Morang",
1198,Annapurna English Boarding School,Annapurna Chowk,1,416,Pathari Shanishchare Municipality,6,Morang,1,Koshi Province,Annapurna Ebs,,
1199,Annapurna Ma Vi,Buwalung,8,360,Diktel Rupakot Majhuwagadhi Municipality,5,Khotang,1,Koshi Province,Annapurna Ma V,,
