school_id,school,school_1,School_level,School_name,Location,Matched_district,Match_percent,Location_1
43,"आधारभूत विद्यालय कट्टीटोल, लगडी गदियानी, सिरहा",आवि कट्टीटोल लगडी गदियानी सिरहा,आवि,,कट्टीटोल लगडी गदियानी सिरहा,कालीकोट,80,कट्टीटोल लगडी गदियानी सिरहा
44,"झारगाउ प्रा वि, तनहु",झारगाउ प्रावि तनहुँ,प्रावि,झारगाउ,तनहुँ,तनहुँ,100,
45,"ज्योति प्रा॰वि, भोजपुर",ज्योति प्रावि भोजपुर,प्रावि,ज्योति,भोजपुर,भोजपुर,100,
46,ज्याति प्राथमिक विधालय ठुलोदम्मा भोजपुर,ज्याति प्रावि ठुलोदम्मा भोजपुर,प्रावि,ज्याति,ठुलोदम्मा भोजपुर,भोजपुर,100,ठुलोदम्मा
47,"तिम्मा प्रा॰वि, भोजपुर",तिम्मा प्रावि भोजपुर,प्रावि,तिम्मा,भोजपुर,भोजपुर,100,
48,"पन्च कन्या प्राथमिक विधालय भलजिते, टक्सार-९",पन्च कन्या प्रावि भलजिते टक्सार,प्रावि,पन्च कन्या,भलजिते टक्सार,कास्की,73,भलजिते टक्सार
49,"पञ्चकन्या आधारभूत विद्यालय, याकु कट्टी, भोजपुर",पञ्चकन्या आवि याकु कट्टी भोजपुर,आवि,पञ्चकन्या,याकु कट्टी भोजपुर,भोजपुर,100,याकु कट्टी
50,"वाणी माध्यमिक विद्यालय, सिधराहा, मोरङ",वाणी मावि सिधराहा मोरङ,मावि,वाणी,सिधराहा मोरङ,मोरङ,100,सिधराहा
51,"छिम्केश्वरी प्रा बि, तनहु",छिम्केश्वरी प्रावि तनहुँ,प्रावि,छिम्केश्वरी,तनहुँ,तनहुँ,100,
52,"छिम्केश्वरी नि मा वि, तनहु",छिम्केश्वरी निमावि तनहुँ,निमावि,छिम्केश्वरी,तनहुँ,तनहुँ,100,
53,"राष्टि्य निम्न माध्यमिक विधालय सोयाङ, इलाम",राष्टि्य निमावि सोयाङ इलाम,निमावि,राष्टि्य,सोयाङ इलाम,इलाम,100,सोयाङ
54,"किरांतेश्वर प्रा॰वि॰, इलाम",किरांतेश्वर प्रावि इलाम,प्रावि,किरांतेश्वर,इलाम,इलाम,100,
55,"जलकन्या आधारभूत विद्यालय, फाकफोकथुम गा॰पा॰, इलाम",जलकन्या आवि फाकफोकथुम गा पा इलाम,आवि,जलकन्या,फाकफोकथुम गा पा इलाम,इलाम,100,फाकफोकथुम गा पा
56,"आदरणीय निम्न माध्यमिक विधालय, इलाम",आदरणीय निमावि इलाम,निमावि,आदरणीय,इलाम,इलाम,100,
57,"जनकल्याण्ा प्रा॰वि॰दोकानडाँडा, इलाम",जनकल्याण्ा प्रावि दोकानडाँडा इलाम,प्रावि,जनकल्याण्ा,दोकानडाँडा इलाम,इलाम,100,दोकानडाँडा
58,"मिल्लाचोक नि॰ मा॰बी, इलाम",मिल्लाचोक निमावि इलाम,निमावि,मिल्लाचोक,इलाम,इलाम,100,
59,जनकल्याण प्राथमिक विधालय आम्तेक भोजपुर,जनकल्याण प्रावि आम्तेक भोजपुर,प्रावि,जनकल्याण,आम्तेक भोजपुर,भोजपुर,100,आम्तेक
60,"शिक्षाक्षमाकन्या प्रा॰वि, भोजपुर",शिक्षाक्षमाकन्या प्रावि भोजपुर,प्रावि,शिक्षाक्षमाकन्या,भोजपुर,भोजपुर,100,
61,"बालमितेरी माध्यमिक विद्यालय, भोजपुर",बालमितेरी मावि भोजपुर,मावि,बालमितेरी,भोजपुर,भोजपुर,100,
62,"कृष्ण प्राथमिक विद्यालय लेटाङ, मोरङ",कृष्ण प्रावि लेटाङ मोरङ,प्रावि,कृष्ण,लेटाङ मोरङ,मोरङ,100,लेटाङ
63,अकला आधारभूत विद्यालय तनहुँ,अकला आवि तनहुँँ,आवि,अकला,तनहुँ,तनहुँ,100,
64,"श्री माध्यमिक विद्यालय, लंकू बाह्घरे, चितवन",श्री मावि लंकू बाह्घरे चितवन,मावि,श्री,लंकू बाह्घरे चितवन,चितवन,100,लंकू बाह्घरे
65,"खार्तन्छा नि॰मा॰वि॰, भोजपुर",खार्तन्छा निमावि भोजपुर,निमावि,खार्तन्छा,भोजपुर,भोजपुर,100,
66,"धापखर्क प्रा वि, भोजपुर",धापखर्क प्रावि भोजपुर,प्रावि,धापखर्क,भोजपुर,भोजपुर,100,
