school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
746,jalapakanya,avi,solukhumbu,
748,chaskama,mavi,solukhumbu,
749,balakanya,nimavi,khotang,
751,patkaru,nimavi,khotang,
752,valeshvara,mavi,solukhumbu,
753,pa~nchakanya,pravi,solukhumbu,
756,mahendrodaya,pravi,khotang,
758,sota~na,avi,solukhumbu,
763,dorpu,avi,solukhumbu,
764,varabota,avi,solukhumbu,
765,ma~njushri,pravi,solukhumbu,
767,sarasvati namuna,mavi,khotang,
768,jalakunda,avi,solukhumbu,
769,janaseva,pravi,solukhumbu,
771,kalika devi,mavi,solukhumbu,
772,mamgala,pravi,khotang,
773,baraha,pravi,bara,
775,shri shanti,nimavi,morang,
776,bhopu~na,pravi,solukhumbu,
780,gamga devi,pravi,khotang,
781,adarsha milana,avi,solukhumbu,
783,santati,avi,bhaktapur,
788,chogesthana,mavi,solukhumbu,
789,shisha,pravi,solukhumbu,
796,j~nana vikasa,avi,bhaktapur,
798,bageshvari,avi,solukhumbu,
800,savitra,mavi,siraha,
802,dudhakoshi,avi,solukhumbu,
804,indra,avi,solukhumbu,
805,toskhama,pravi,solukhumbu,
806,himalaya,nimavi,khotang,
809,seti gaicha,avi,solukhumbu,
817,janata,mavi,siraha,
826,balajvati,pravi,solukhumbu,
829,khumaju~na,mavi,solukhumbu,
830,himajvati,pravi,solukhumbu,
831,mamhakala,nimavi,khotang,
832,phulpuka,pravi,solukhumbu,
835,siddha,avi,solukhumbu,
836,simhakali,mavi,solukhumbu,
838,simhakali,mavi,solukhumbu,
840,,mavi,dang,
841,hulu,nimavi,solukhumbu,
842,kalika,nimavi,solukhumbu,
845,kuibhira,nimavi,solukhumbu,
848,bhumeshvara,pravi,solukhumbu,
849,vidyadatri,pravi,solukhumbu,
850,j~nana vijaya,avi,bhaktapur,
851,trivi,nimavi,solukhumbu,
852,jana jagrriti,pravi,jhapa,
853,shri hira,pravi,khotang,
857,ri~namu,avi,solukhumbu,
858,phatanje,pravi,solukhumbu,
859,ka.ngela,avi,solukhumbu,
860,radha krrishna,nimavi,khotang,
863,balakalyana namuna,mavi,rolpa,
864,siddha ratnanatha namuna,mavi,siraha,
865,janakalyana,mavi,dang,
866,shiva shakti,mavi,dang,
867,salme,avi,khotang,
868,shiddhakanya,pravi,khotang,
869,dudhakaushika,avi,solukhumbu,
870,sarasvti,mavi,solukhumbu,
871,goli,nimavi,solukhumbu,
872,vishva dasharna,pravi,solukhumbu,
874,vanadevi,nimavi,kathmandu,
876,siddheshvari,mavi,dang,
878,shahida lakshmi,pravi,jhapa,
885,katarada.ngi,nimavi,jhapa,
886,siddheshvara,mavi,jhapa,
891,doda masha,pravi,jhapa,
892,,pravi,jhapa,
893,jyoti,nimavi,jhapa,
894,shiva mai,nimavi,jhapa,
899,tribhuvana,pravi,jhapa,
900,lakshmi,mavi,jhapa,
901,mahendra,nimavi,doti,
904,balabhadra,mavi,jhapa,
907,bhagaleka,nimavi,doti,
909,lekhanatha,pravi,jhapa,
911,kalikasthana,pravi,doti,
913,janavikasa,avi,jhapa,
917,ganesha,pravi,dhanusha,
918,sitarama,mavi,doti,
919,kalika udhoga,pravi,doti,
920,sitarama,pravi,siraha,
921,bhaba,nimavi,doti,
922,siddheshvara,mavi,doti,
924,himali,pravi,jhapa,
929,navajyoti,pravi,sunsari,
935,todi,pravi,doti,
