school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
26918,6136,bala kalyana,bal kalyan,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
26967,62874,satya,satya,pravi,pravi,humla,humla,3.0,"District: complete, School level: complete, Root name: complete"
27011,5459,bala kalyana,bal kalyan,mavi,mavi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
27131,56345,uttama balahita,uttam balhit,avi,avi,nawalparasi,nawalparasi,3.0,"District: complete, School level: complete, Root name: complete"
27308,12420,janapremi,jana premi,mavi,mavi,udayapur,udayapur,3.0,"District: complete, School level: complete, Root name: complete"
27374,61938,malika,malika,pravi,pravi,mugu,mugu,3.0,"District: complete, School level: complete, Root name: complete"
27382,52699,kaule,kaule,pravi,pravi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
27539,15912,adarsha,adarsha,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
27635,15117,rosha bha~njya~na,rosha bhanjyang,pravi,pravi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
27779,35194,pra~nabo samajakalyana,prangbo samajkalyan,pravi,pravi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
27780,36475,janakalyana,jana kalyan,nimavi,nimavi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
27827,37609,ujyalo,ujyalo,pravi,pravi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
27837,36635,mahendra pratapa,mahendra pratap,mavi,mavi,sindhupalchok,sindhupalchok,3.0,"District: complete, School level: complete, Root name: complete"
27881,36226,balajyoti,bal jyoti,mavi,mavi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
27992,24424,janata,janata,pravi,pravi,siraha,siraha,3.0,"District: complete, School level: complete, Root name: complete"
28019,74654,yuvashakti,yuwa shakti,pravi,pravi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
28020,44005,nirjala,nirjala,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
28056,11038,champadevi,champadevi,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
28077,6728,dhruvatara,dhrubatara,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
28122,31593,devi,devi,mavi,mavi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
28162,63098,gaidabaja,gaidabajh,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
28220,14532,pa~nchami,panchami,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
28261,36550,kamala,kamala,avi,avi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
28303,53808,namuna,namuna,pravi,pravi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
28542,72282,krrishna,krishna,pravi,pravi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
28561,21874,loka samudayika,lok samudaik,pravi,pravi,bara,bara,3.0,"District: complete, School level: complete, Root name: complete"
28608,72111,kanya,kanya,mavi,mavi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
28785,55762,shanti,shanti,avi,avi,kapilbastu,kapilbastu,3.0,"District: complete, School level: complete, Root name: complete"
28880,16110,janaki,janaki,avi,avi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
28929,55531,khadga,khadga,pravi,pravi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
28974,1181,anaramani,anarmani,pravi,pravi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
29084,5972,buddha,buddha,pravi,pravi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
29088,5972,buddha,buddha,pravi,pravi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
29092,56193,svami paramananda,swami parmananda,pravi,pravi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
29094,71499,jagadamba,jagadamba,mavi,mavi,baitadi,baitadi,3.0,"District: complete, School level: complete, Root name: complete"
29226,73982,ghatala,ghatal,mavi,mavi,baitadi,baitadi,3.0,"District: complete, School level: complete, Root name: complete"
29244,72200,kedaranatha,kedarnath,avi,avi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
29246,71101,durga latinatha,durga latainath,avi,avi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
29296,32873,janasevi,janasebi,pravi,pravi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
29429,61850,mahadeva,mahadev,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
29430,6346,bhairavi,bhairabi,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
29437,62744,sarasvati,saraswati,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
29517,55267,adhara,adhar,pravi,pravi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
29677,42443,madarsha gausiya,madarsha gaushiya,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
29826,61008,himashikhara,himsikhar,pravi,pravi,humla,humla,3.0,"District: complete, School level: complete, Root name: complete"
 
