school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
26930,1635,bheairo,bhagawati,avi,avi,kailali,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26931,11658,sunaharatala,gaun pharka,pravi,pravi,kailali,bhojpur,1.5,"District: no match, School level: complete, Root name: partial"
26934,34451,navajyoti,navjoti,pravi,pravi,kailali,nuwakot,2.5,"District: no match, School level: complete, Root name: complete"
26933,73835,shivagauri,shiva kalankari,pravi,pravi,kailali,kailali,2.0,"District: complete, School level: complete, Root name: partial"
26935,36467,janajagrriti,jana jagriti,mavi,mavi,kailali,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
26936,11038,vasudevi,champadevi,mavi,mavi,kailali,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
26937,71292,jalava,ghodalanga,avi,avi,kailali,kailali,2.0,"District: complete, School level: complete, Root name: partial"
26938,16422,shanti,shanti,mavi,pravi,kailali,morang,2.0,"District: no match, School level: no match, Root name: complete"
26939,71088,durga bhavani,durga bhawani,mavi,pravi,kailali,darchula,2.0,"District: no match, School level: no match, Root name: complete"
26940,71711,janata janardana,janata,pravi,pravi,doti,doti,2.0,"District: complete, School level: complete, Root name: partial"
26941,2571,dipendra charapate,birendra  belgachi,mavi,mavi,kailali,mahottari,1.5,"District: no match, School level: complete, Root name: partial"
26944,14019,thekaraja,motherland,mavi,mavi,kailali,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
26946,15818,simheshvari,shiksha premi,avi,avi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
26947,15053,ra,rasuwa,mavi,mavi,kailali,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
26950,73835,shivanamuna,shiva kalankari,pravi,pravi,kailali,kailali,2.0,"District: complete, School level: complete, Root name: partial"
26957,51430,santoshimata,gahatera,pravi,pravi,gulmi,gulmi,2.0,"District: complete, School level: complete, Root name: partial"
26960,16622,siddartha,siddartha,mavi,nimavi,kapilbastu,panchthar,2.0,"District: no match, School level: no match, Root name: complete"
26959,1685,shahida shukra,bhaldhunga,mavi,mavi,syangja,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
26961,12615,janata,janatani,mavi,mavi,dhanusha,khotang,2.5,"District: no match, School level: complete, Root name: complete"
26963,55483,janaseva,janasewa,mavi,pravi,syangja,rolpa,2.0,"District: no match, School level: no match, Root name: complete"
26965,14789,myalapokhari,parvakari  pokhare,mavi,mavi,gulmi,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
26968,63197,vala vikasa,ligasaini,avi,avi,kalikot,kalikot,2.0,"District: complete, School level: complete, Root name: partial"
26969,1477,dhruvajyoti,baljyoti,mavi,mavi,syangja,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
26970,14994,ramajanaki,ram janaki,avi,avi,parsa,morang,2.5,"District: no match, School level: complete, Root name: complete"
26971,11297,sirsekota deurali,deurali,pravi,pravi,syangja,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
26975,1337,vala vikasa,bal bikash,pravi,pravi,rolpa,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
26976,1156,rambhadevi,ambar,pravi,pravi,nawalparasi,morang,1.5,"District: no match, School level: complete, Root name: partial"
26978,17249,thotne,thotne,avi,nimavi,taplejung,taplejung,2.5,"District: complete, School level: no match, Root name: complete"
26977,42991,parvati,parwati,avi,pravi,taplejung,tanahun,2.0,"District: no match, School level: no match, Root name: complete"
26979,12615,janata,janatani,mavi,mavi,taplejung,khotang,2.5,"District: no match, School level: complete, Root name: complete"
26983,14820,phale,prakash kafle,pravi,pravi,taplejung,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
26989,1181,pari,anarmani,pravi,pravi,taplejung,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26990,14364,sevalu~nga,okhaldhunga,avi,avi,taplejung,panchthar,1.5,"District: no match, School level: complete, Root name: partial"
26991,12358,vishvajyoti,jana jyoti,pravi,pravi,taplejung,taplejung,2.0,"District: complete, School level: complete, Root name: partial"
26992,1252,jasoda,arunodaya,avi,avi,taplejung,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
