school_id,school_1,school_name_transliterate,school_level_transliterate,matched_district
65,खार्तन्छा निमावि भोजपुर,khartancha,nimavi,Bhojpur
66,धापखर्क प्रावि भोजपुर,dhapakharka,pravi,Bhojpur
67,पञ्चकन्या प्रावि पौवादुङमा गा पा भोजपुर,pa~nchakanya,pravi,Bhojpur
68,अमर ज्योती प्रावि क्यामुनडाँडा झिरुबास तनहुँँ,amara jyoti,pravi,Tanahun
69,जन कल्याण आवि लक्ष्मीपुर इलाम,jana kalyana,avi,Ilam
70,विद्याधरी प्रावि रामप्रसादराई गा पा भोजपुर,vidyadhari,pravi,Bhojpur
71,देवीथान मावि आम्तेक भोजपुर,devithana,mavi,Bhojpur
72,अमरज्योति प्रावि शुक्लागन्डकी तनहुँं,amarajyoti,pravi,Tanahun
73,वरभन्ज्या निमावि इलाम,varabhanjya,nimavi,Ilam
74,नल देवी प्रावि तनहुँ,nala devi,pravi,Tanahun
75,धर्म मावि भिमाद तनहुँँ,dharma,mavi,Tanahun
76,मिक्लाचो मावि इलाम,miklacho,mavi,Ilam
77,बुद्ध मावि इलाम,buddha,mavi,Ilam
78,रत्न देवी आवि गजुरमुखी ईलाम,ratna devi,avi,Ilam
79,गजुरमुखी आवि इलाम,gajuramukhi,avi,Ilam
80,जालपा प्रावि अरुण भोजपुर,jalapa,pravi,Bhojpur
81,सिंहेश्वरी आवि इलाम,simheshvari,avi,Ilam
82,सिद्धि विनायक प्रावि सुम्बेक इलाम,siddhi vinayaka,pravi,Ilam
83,दोभान प्रावि इलाम,dobhana,pravi,Ilam
84,देवी प्रावि इलाम,devi,pravi,Ilam
85,इरौंटार आवि रोङ गा पा इलाम,iraumtara,avi,Ilam
86,विद्या प्रावि इलाम,vidya,pravi,Ilam
87,महेश्वरा प्रावि निन्दाखु साेयाक इलाम,maheshvara,pravi,Ilam
88,विक्री प्रावि इलाम,vikri,pravi,Ilam
89,भगवती मावि गोलाखर्क इलाम,bhagavati,mavi,Ilam
90,देउराली प्रावि जितपुर इलाम,deurali,pravi,Ilam
91,आदर्श प्रावि फिक्कल इलाम,adarsha,pravi,Ilam
92,आदर्श मावि इलाम,adarsha,mavi,Ilam
93,नेपालटार मावि साखेजुङ इलाम,nepalatara,mavi,Ilam
94,दृपादवी प्रावि इलाम,drripadavi,pravi,Ilam
95,पशुपति कन्या मन्दिर मावि दोलखा,pashupati kanya mandira,mavi,Dolakha
96,नव ज्योती आवि इलाम,nava jyoti,avi,Ilam
97,भगवती मावि इलाम,bhagavati,mavi,Ilam
98,भगवती मावि धुसेनी इलाम,bhagavati,mavi,Ilam
99,हिमाली मावि पृथ्वीनगर झापा,himali,mavi,Jhapa
100,महेन्द्र रत्न मावि विर्तामोड झापा,mahendra ratna,mavi,Jhapa
101,कालीका मावि बि तनहुँ,kalika,mavi,Tanahun
102,सिद्धमहाकाली मावि तनहुँँ,siddhamahakali,mavi,Tanahun
103,लक्ष्मी नारायण्ा प्रावि भोजपुर,lakshmi narayana,pravi,Bhojpur
104,रचना प्रावि भोजपुर,rachana,pravi,Bhojpur
105,जाल्पा प्रावि सानेदुम्मा भोजपुर,jalpa,pravi,Bhojpur
106,कटका मावि याङपाङ भोजपुर,kataka,mavi,Bhojpur
107,पारवती मावि तनहुँ,paravati,mavi,Tanahun
108,ज्योति प्रावि भोजपुर,jyoti,pravi,Bhojpur
109,सिंहदेवी मावि हलौछा भोजपुर,simhadevi,mavi,Bhojpur
110,लक्ष्मी मावि थुमपोखरा स्याङजा,lakshmi,mavi,Syangja
111,आनन्द आवि रातामाटे मधुवन बर्दिया,ananda,avi,Bardiya
112,जयनेपाल प्रावि तनहुँ,jayanepala,pravi,Tanahun
113,राष्ट्रिय आवि तनहुँँ,rashtriya,avi,Tanahun
114,शंकर मावि तनहुँँ,shamkara,mavi,Tanahun
115,जनक मावि गैंडाकोट व सु पूर्व नवलपरासी,janaka,mavi,Nawalparasi
116,सरस्वती आवि भानु न पा तनहुँँ,sarasvati,avi,Tanahun
117,जिवनज्याेति आवि भरतपुर चितवन,jivanajyaeti,avi,Bhaktapur
118,दुर्गा शेषकान्त अधिकारी मावि विजयनगर चितवन,durga sheshakanta adhikari,mavi,Chitwan
119,महेन्द्र ज्योती मावि तनहुँँ,mahendra jyoti,mavi,Tanahun
120,कृष्ण मावि घिरिङ तनहुँँ,krrishna,mavi,Tanahun
121,गुदी फच्याङ आवि तनहुँँ,gudi phachya~na,avi,Tanahun
122,माहेन्द्री मावि व्यास तनहुँँ,mahendri,mavi,Tanahun
123,बाराही प्रावि ऋषिङ गा पा तनहुँँ,barahi,pravi,Tanahun
124,दिपक मावि तनहुँ,dipaka,mavi,Tanahun
125,कुस्मावती प्रावि तनहुँँ,kusmavati,pravi,Tanahun
126,कृष्ण गण्डकी प्रावि बेलस्वाँरा तनहुँँ,krrishna gandaki,pravi,Tanahun
127,श्री आवि सिसावास पर्साबजार चितवन,shri,avi,Chitwan
129,अरनिको मावि मिर्लुङ तनहुँँ,araniko,mavi,Tanahun
130,मुकुन्देश्वरी प्रावि तनहुँ,mukundeshvari,pravi,Tanahun
131,जनता प्रावि व्यास तनहुँ,janata,pravi,Tanahun
132,नवदुर्गा मावि रामपुर पाल्पा,navadurga,mavi,Palpa
133,चन्द्रज्योती मावि तनहुँ,chandrajyoti,mavi,Tanahun
134,चन्द्र ज्योती मावि तनहुँँ,chandra jyoti,mavi,Tanahun
135,संगम मावि अन्पूर्ण गा पा कास्की,samgama,mavi,Kaski
136,पोखरी प्रावि इलाम,pokhari,pravi,Ilam
137,आदर्श मावि सानोठिमी भक्तपुर,adarsha,mavi,Bhaktapur
138,बालमण्डल मावि इलाम न पा इलाम,balamandala,mavi,Ilam
139,श्री कालिका देवी प्रावि आमचोक रातमाटे इलाम,shri kalika devi,pravi,Ilam
140,सुभद्रा प्रावि फाकफोक इलाम,subhadra,pravi,Ilam
141,नवीनप्रगती प्रावि इलाम,navinapragati,pravi,Ilam
142,जनशक्ति प्रावि तनहुँ,janashakti,pravi,Tanahun
143,लक्ष्मि देवी प्रावि आमचोक इलाम,lakshmi devi,pravi,Ilam
144,महेन्द्रोदय आवि इलाम,mahendrodaya,avi,Ilam
145,कालीगण्डकी आवि तनहुँँ,kaligandaki,avi,Tanahun
146,महादेव आवि देवघाट तनहुँँ,mahadeva,avi,Tanahun
148,सुम्बेक निमावि इलाम,sumbeka,nimavi,Ilam
149,सिद्देश्वरी प्रावि बरबोटे इलाम,siddeshvari,pravi,Ilam
150,आदर्श आवि इलाम न पा इलाम,adarsha,avi,Ilam
151,नारायणी नमूना मावि भरतपुर चितवन,narayani namuna,mavi,Bhaktapur
152,जन शिशु कल्याण आवि तनहुँँ,jana shishu kalyana,avi,Tanahun
153,जनप्रभात मावि काठमाडौं,janaprabhata,mavi,Kathmandu
154,पुवामाई प्रावि इलाम,puvamai,pravi,Ilam
155,नन्द मावि इलाम न पा इलाम,nanda,mavi,Ilam
156,बुद्ध आर्दश मावि झापा,buddha ardasha,mavi,Jhapa
157,वरचुली मावि देवचुली व सु पूर्व नवलपरासी,varachuli,mavi,Nawalparasi
158,महादेव प्रावि इलाम,mahadeva,pravi,Ilam
159,नर प्रावि इलाम,nara,pravi,Ilam
160,हात्तीटार आवि माईजोगमाई इलाम,hattitara,avi,Ilam
161,लक्ष्मी विद्या भवन आवि माई न पा इलाम,lakshmi vidya bhavana,avi,Ilam
162,नेपाल ज्योती आवि नामसालिङ इलाम,nepala jyoti,avi,Ilam
163,गजुरमुखी आवि जीतपुर इलाम,gajuramukhi,avi,Ilam
164,ज्ञानोदय प्रावि वढहरे इलाम,j~nanodaya,pravi,Ilam
165,सरस्वती प्रावि समालबुङ इलाम,sarasvati,pravi,Ilam
166,जनता प्रावि प्याङ्ग इलाम,janata,pravi,Ilam
167,सिद्धार्थ आवि इलाम,siddhartha,avi,Ilam
168,राष्ट्रिय आवि माइजोगमाई इलाम,rashtriya,avi,Ilam
169,हमालय निमावि चसापानी इलाम,hamalaya,nimavi,Ilam
170,पूर्णस्मारक मावि इलाम,purnasmaraka,mavi,Ilam
171,जनकल्याण प्रावि गोदक इलाम,janakalyana,pravi,Ilam
172,सरस्वती मावि वतासे इलाम,sarasvati,mavi,Ilam
173,राष्टप्रेमी मावि इलाम,rashtapremi,mavi,Ilam
174,वालकन्या निमावि इलाम,valakanya,nimavi,Ilam
175,युवावर्ष प्रावि इलाम,yuvavarsha,pravi,Ilam
176,त्रिभुवन प्रावि पञ्चकन्या इलाम,tribhuvana,pravi,Ilam
177,अमर ज्योती आवि साङरुम्बा इलाम,amara jyoti,avi,Ilam
178,महेश्वरा निमावि सोयाक इलाम,maheshvara,nimavi,Ilam
179,देउमाई आवि ईलाम,deumai,avi,Ilam
180,सूर्योदय आवि बरबोटे इलाम,suryodaya,avi,Ilam
181,बाल कल्याण आवि इलाम,bala kalyana,avi,Ilam
182,जाल्पा प्रावि इलाम,jalpa,pravi,Ilam
183,नारायण आवि गोदक इलाम,narayana,avi,Ilam
184,सरस्वती प्रावि दानाबारी इलाम,sarasvati,pravi,Ilam
185,भगवती आवि जितपुर इलाम,bhagavati,avi,Ilam
186,जालपा निमावि इलाम,jalapa,nimavi,Ilam
187,कमल देवी आवि इलाम,kamala devi,avi,Ilam
188,फलाटे मावि इलाम,phalate,mavi,Ilam
189,वालमण्डल मावि इलाम,valamandala,mavi,Ilam
190,वाल्मिकी सिंहदेवी आवि इलाम,valmiki simhadevi,avi,Ilam
191,जनता मावि माई नगरपालिका इलाम,janata,mavi,Ilam
192,थोकफेला प्रावि इलाम,thokaphela,pravi,Ilam
193,नारायण जन मावि मच्छेगाउँ काठमाडौं,narayana jana,mavi,Kathmandu
194,विणापाणी मावि इलाम,vinapani,mavi,Ilam
195,बाँझोगाउँ मावि चुलाचुली इलाम,ba.njhogau.n,mavi,Ilam
196,सिद्ध देवी प्रावि पुवामजुवा इलाम,siddha devi,pravi,Ilam
197,सिद्धदेउमाई निमावि चयैता इलाम,siddhadeumai,nimavi,Ilam
198,डम्बर देवी मावि इलाम,dambara devi,mavi,Ilam
199,माहेन्द्र मावि तनहुँँ,mahendra,mavi,Tanahun
200,नारायण्ाचौर प्रावि तनहुँ,narayanachaura,pravi,Tanahun
201,सल्लेरी प्रावि इलाम,salleri,pravi,Ilam
202,जनता प्रावि चमैता इलाम,janata,pravi,Ilam
203,सिंहदेवी मावि इलाम,simhadevi,mavi,Ilam
204,भृकुटी मावि तनहुँँ,bhrrikuti,mavi,Tanahun
205,जनसहयोगी मावि भानु न पा तनहुँँ,janasahayogi,mavi,Tanahun
206,दुल्लभ मावि मसेल गोरखा,dullabha,mavi,Gorkha
207,जीवन ज्योति मावि काफलडाँडा गोरखा,jivana jyoti,mavi,Gorkha
208,हिरामणि आवि तनहुँँ,hiramani,avi,Tanahun
209,चिसोपानी मावि माङसेबुङ इलाम,chisopani,mavi,Ilam
210,जनता जायसवाल मावि गोदार धनुषा,janata jayasavala,mavi,Dhanusha
211,मावि दिगम्बरपुर धनुषा,,mavi,Dhanusha
212,बुद्धशान्ति मावि राप्ती चितवन,buddhashanti,mavi,Chitwan
213,बशाहास्थान मावि तनहुँ,bashahasthana,mavi,Tanahun
214,आनन्दज्योति मावि पोखरा कास्की,anandajyoti,mavi,Kaski
215,लक्ष्मी निमावि तनहुँ,lakshmi,nimavi,Tanahun
216,गोरख आवि समालवुङ्ग इलाम,gorakha,avi,Gorkha
217,सिंहआदर्श प्रावि इलाम,simhaadarsha,pravi,Ilam
218,प्याङ्ग मावि प्याङ कुटीडाँडा इलाम,pya~nga,mavi,Ilam
219,ज्योति प्रावि जोगमाई इलाम,jyoti,pravi,Ilam
220,माहेन्द्री मावि तनहुँँ,mahendri,mavi,Tanahun
221,अन्नपूर्ण मावि गोरखा,annapurna,mavi,Gorkha
222,अमरकल्याण मावि माईजाेगमाई इलाम,amarakalyana,mavi,Ilam
223,कपिया मावि कुमरोज चितवन,kapiya,mavi,Chitwan
224,रत्नराज्य मावि बानेश्वर काठमाडौं,ratnarajya,mavi,Kathmandu
226,बिरेन्द्र मावि कुमरी नुवाकोट,birendra,mavi,Nuwakot
227,अमृत आवि तनहुँँ,amrrita,avi,Tanahun
228,शान्तिपुर मावि शान्तिपुर इलाम,shantipura,mavi,Ilam
229,कैलाश प्रावि इलाम,kailasha,pravi,Ilam
230,चण्िडका प्रावि तनहुँ,chanidaka,pravi,Tanahun
231,इन्द्रदेवी निमावि तनहुँ,indradevi,nimavi,Tanahun
232,रा प्रावि दिवानगर चितवन,ra,pravi,Chitwan
233,कालिगंगा मावि बैदी तनहुँँ,kaligamga,mavi,Baitadi
234,अरुणोदय आवि शान्तिपुर इलाम,arunodaya,avi,Ilam
235,बालकेश मावि देवघाट तनहुँँ,balakesha,mavi,Tanahun
236,नारायण प्रावि सिमलचौर तनहुँँ,narayana,pravi,Tanahun
237,अमर प्रावि व्यास तनहुँँ,amara,pravi,Tanahun
238,भिमसुन आवि सन्दकपुर इलाम,bhimasuna,avi,Ilam
239,शिवमाई मावि नयाँबजार इलाम,shivamai,mavi,Ilam
240,गुरुङगाउं प्रावि इलाम,guru~nagaum,pravi,Ilam
241,कन्काई मावि इलाम,kankai,mavi,Ilam
242,लालीगुराँस प्रावि खोटाङ,laligura.nsa,pravi,Khotang
243,कमल प्रावि तनहुँ,kamala,pravi,Tanahun
244,कृष्णालय आवि व्यास तनहुँँ,krrishnalaya,avi,Tanahun
245,प्रबोध मावि माबु इलाम,prabodha,mavi,Ilam
246,जनज्योती आवि जन्तेढुङ्गा गा पा खोटाङ,janajyoti,avi,Khotang
247,कामधेनु मावि काठमाडौं,kamadhenu,mavi,Kathmandu
248,आवि धनुषा,,avi,Dhanusha
249,गोर्खा कालिका आवि तनहुँँ,gorkha kalika,avi,Gorkha
250,कालिका आवि देवघाट चितवन,kalika,avi,Kalikot
251,पार्वती आवि रुपाकोट खोटाङ,parvati,avi,Khotang
253,आदर्श शिक्षा मावि तनहुँँ,adarsha shiksha,mavi,Tanahun
254,चन्र्दोदय प्रावि तनहुँ,chanrdodaya,pravi,Tanahun
255,पृथ्वी मावि खोटाङ,prrithvi,mavi,Khotang
256,महेन्द्रोदय मावि हलेसी खोटाङ,mahendrodaya,mavi,Khotang
257,सरस्वती निमावि खोटाङ,sarasvati,nimavi,Khotang
258,जन विकास प्रावि खोटाङ,jana vikasa,pravi,Khotang
259,सरस्वती खोटाङ,sarasvati khota~na,,Khotang
260,बौद्ध आवि ऐसेलुखर्क गा पा खोटाङ,bauddha,avi,Khotang
261,देउराली मावि खोटाङ,deurali,mavi,Khotang
262,जनता मावि सुखीपुर सिरहा,janata,mavi,Siraha
263,सरस्वती प्रावि शुक्लागण्डकी न पा तनहुँँ,sarasvati,pravi,Tanahun
264,शान्ति प्रावि बन्दीपुर तनहुँँ,shanti,pravi,Tanahun
265,कृष्ण मावि गजरकोट तनहुँँ,krrishna,mavi,Tanahun
266,जन कल्याण्ा प्रावि मनाङ,jana kalyana,pravi,Salyan
267,घाटवेशी आवि भिमसेन गोरखा,ghataveshi,avi,Gorkha
268,शिखर ज्योति प्रावि वयापानी हर्मी गोरखा,shikhara jyoti,pravi,Gorkha
269,चण्डिका आवि वुङकोट गाेरखा,chandika,avi,Gorkha
270,अमर निमावि तल्लो तनहुँँ,amara,nimavi,Tanahun
271,शंकर प्रावि व्यास तनहुँँ,shamkara,pravi,Tanahun
272,नयाँ ज्योति प्रावि व्यास न पा तनहुँँ,naya.n jyoti,pravi,Tanahun
273,जलदेवी मावि व्यास तनहुँँ,jaladevi,mavi,Tanahun
274,पेलुङ प्रावि निर्मलीडाँडा खोटाङ,pelu~na,pravi,Khotang
275,जनता मावि हलेसी तुवाचुङ न पा खाेटाङ,janata,mavi,Khotang
276,महेन्द्र ज्योती मावि शिशाघाट तनहुँँ,mahendra jyoti,mavi,Tanahun
277,चण्डी निकेतन प्रावि खोटाङ,chandi niketana,pravi,Khotang
278,सासु निकेतन प्रावि खामडाडा याम्खा खोटाङ,sasu niketana,pravi,Khotang
279,नव ज्योति प्रावि,nava jyoti,pravi,Doti
280,महेन्द्र मावि ढोर भुसुनापुर तनहुँँ,mahendra,mavi,Tanahun
281,जलदेवी आवि व सु पूर्व नवलपरासी,jaladevi,avi,Nawalparasi
282,रत्न ज्योती आवि तनहुँँ,ratna jyoti,avi,Tanahun
283,विजया प्रावि खोटाङ,vijaya,pravi,Khotang
284,जनता आवि महदेवा सिरहा,janata,avi,Siraha
285,निमावि खोटाङ,,nimavi,Khotang
286,राष्टि्य प्रावि सप्तरी,rashtiya,pravi,Saptari
287,पशुपति प्रावि शुक्लागण्डकी तनहुँँ,pashupati,pravi,Tanahun
288,चन्द्रोदय प्रावि भानु तनहुँँ,chandrodaya,pravi,Tanahun
289,पञ्चकोशी मावि पर्बत,pa~nchakoshi,mavi,Parbat
290,सरस्वती निमावि भिर्कोट तनहुँँ,sarasvati,nimavi,Tanahun
291,विष्णु निमावि तनहुँ,vishnu,nimavi,Tanahun
292,राधा दामोदर ज्ञान ज्योती संस्कृत मावि साँखर स्याङजा,radha damodara j~nana jyoti samskrrita,mavi,Syangja
293,अकला आवि आँबुखैरेनी तनहुँँ,akala,avi,Tanahun
294,पार्वती प्रावि तनहुँँ,parvati,pravi,Tanahun
295,कालिका प्रावि दम्खु बाक्सिला खोटाङ,kalika,pravi,Khotang
296,जय सरस्वती प्रावि खोटाङ,jaya sarasvati,pravi,Khotang
297,हनुमान प्रसाद शारदा मावि इनर्वा सिरहा,hanumana prasada sharada,mavi,Siraha
298,गंगा जमुना प्रावि खोटाङ,gamga jamuna,pravi,Khotang
299,जनता प्रावि पोखरिया सिरहा,janata,pravi,Siraha
300,श्री जनता आवि धनुषा,shri janata,avi,Dhanusha
301,भगवती दिनानाथ मावि खोटाङबजार खोटाङ,bhagavati dinanatha,mavi,Khotang
302,आदर्श आवि सुन्दरहरैंचा मोरङ,adarsha,avi,Morang
303,महेन्द्रोदय मावि डाँडागाउँ ओख्रे खोटाङ,mahendrodaya,mavi,Khotang
304,जलदेवी प्रावि जाम्दी तनहुँँ,jaladevi,pravi,Tanahun
305,सत्यवती प्रावि रुपाकोट विलाउनी तनहुँँ,satyavati,pravi,Tanahun
308,शहिदर्घम निमावि तनहुँ,shahidarghama,nimavi,Tanahun
309,कृष्ण प्रावि रतनपुर तनहुँँ,krrishna,pravi,Tanahun
310,सीतापाईला मावि सीतापाईला काठमाडौ,sitapaila,mavi,Kathmandu
311,सहजीवन प्रावि रिस्ती तनहुँ,sahajivana,pravi,Tanahun
312,श्री शान्तिश्रृजना प्रावि तनहुँ,shri shantishrrrijana,pravi,Tanahun
313,पदमा आवि वन्दिपुर तनहुँ,padama,avi,Tanahun
314,रविचन्द्र प्रावि म्याग्दे गा पा तनहुँँ,ravichandra,pravi,Myagdi
315,महेन्द्र मावि राईपुर तनहुँँ,mahendra,mavi,Tanahun
316,श्री जयगण्ापति प्रावि तनहुँ,shri jayaganapati,pravi,Tanahun
317,मीन मावि थर्पु तनहुँँ,mina,mavi,Tanahun
318,कालिका मावि भरतपोखरी कास्की,kalika,mavi,Kaski
319,नव प्रभात मावि नयाँ बजार पोखरा कास्की,nava prabhata,mavi,Kaski
320,हंसवाहिनी मावि तनहुँ,hamsavahini,mavi,Tanahun
321,शान्ति विद्यागृह मावि लैनचौर काठमाडौं,shanti vidyagrriha,mavi,Kathmandu
322,कालिका मावि भानु न पा तनहुँँ,kalika,mavi,Tanahun
323,सम्झना प्रावि तनहुँँ,samjhana,pravi,Tanahun
324,राधा मावि वि तनहुँँ,radha,mavi,Tanahun
325,जनता आवि व्यास तनहुँँ,janata,avi,Tanahun
326,जनज्योति आवि देवघाट सिञ्च्याङ्ग तनहुँ,janajyoti,avi,Tanahun
327,संगम प्रावि तनहुँ,samgama,pravi,Tanahun
328,तिलिचो आवि खाङ्सार मनाङ,tilicho,avi,Manang
329,पारुहाङ शरण प्रावि खोटाङ,paruha~na sharana,pravi,Khotang
330,श्री जनता प्रावि खोटाङ,shri janata,pravi,Khotang
331,उदय मावि व्यास तनहुँँ,udaya,mavi,Tanahun
332,पञ्चकन्या मावि मकवानपुर,pa~nchakanya,mavi,Makwanpur
333,जलपादेवी प्रावि मकवानपुर,jalapadevi,pravi,Makwanpur
334,विजय निमावि दोलखा,vijaya,nimavi,Dolakha
335,वेदकालिका प्रावि तनहुँँ,vedakalika,pravi,Tanahun
336,कृष्णगंगा निमावि राम्जाकोट तनहुँँ,krrishnagamga,nimavi,Tanahun
337,कामधेनु आवि तनुहँ,kamadhenu,avi,Kathmandu
338,ब्रम्ह आवि व सु पूर्व नवलपरासी,bramha,avi,Nawalparasi
339,नाग प्रावि ऋषिङ गा पा तनहुँँ,naga,pravi,Tanahun
340,कामघेनु निमावि तनहुँ,kamaghenu,nimavi,Tanahun
341,जयदुर्गा मावि तनहुँ,jayadurga,mavi,Tanahun
342,शारदा प्रावि भगवतीपुर तनहुँँ,sharada,pravi,Tanahun
343,हिमालया मावि तनहुँ,himalaya,mavi,Tanahun
344,जन जागृति गंगा मावि व्यास न पा तनहुँँ,jana jagrriti gamga,mavi,Tanahun
345,सिद्धेश्वरी मावि कमलाबारी तनहुँँ,siddheshvari,mavi,Tanahun
346,सरस्वती सदन मावि तनहुँ,sarasvati sadana,mavi,Tanahun
347,उदय मावि तनहुँ,udaya,mavi,Tanahun
348,अन्नपुर्ण सीतापोखरी आवि कास्की,annapurna sitapokhari,avi,Kaski
349,मस्याङदी सामुदायीक आवि तनहुँँ,masya~nadi samudayika,avi,Tanahun
350,नारायणी निमावि वरभञ्ज्याङ तनहुँँ,narayani,nimavi,Tanahun
351,होमराजलोहनी मावि तनहुँ,homarajalohani,mavi,Tanahun
352,नया ज्योती प्रावि तनहुँ,naya jyoti,pravi,Tanahun
353,आदर्श सरस्वती मावि तनहुँ,adarsha sarasvati,mavi,Tanahun
354,विन्ध्यवासिनी मावि बरपाटन कास्की,vindhyavasini,mavi,Kaski
355,भीमनगर मावि भिमनगर चितवन,bhimanagara,mavi,Chitwan
356,बछौली मावि चितवन,bachauli,mavi,Chitwan
357,भँगेरी आवि बन्दीपुर तनहुँँ,bha.ngeri,avi,Tanahun
358,पूर्कोट प्रावि तनहुँ,purkota,pravi,Tanahun
359,अमर ज्योति आवि व्यास तनहुँँ,amara jyoti,avi,Tanahun
360,हिमालय मावि अजिरकोट गोरखा,himalaya,mavi,Gorkha
361,विश्वज्वती प्रावि तनहुँ,vishvajvati,pravi,Tanahun
362,क्यामिन मावि क्यामिन तनहुँँ,kyamina,mavi,Tanahun
