school_id,district,modified_name,modified_name_school_level,modified_name_root,modified_old_name1,modified_old_name1_school_level,modified_old_name1_root,modified_old_name2,modified_old_name2_school_level,modified_old_name2_root,district
1124,sunsari,alpine english boarding school,,alpine english boarding school,,,,,,,sunsari
1125,sunsari,alpine international model mavi,mavi,alpine international model,,,,,,,sunsari
1126,sunsari,amaduwa pharma avi,avi,amaduwa pharma,amaduwa pharma pravi,pravi,amaduwa pharma,,,,sunsari
1127,panchthar,amar deep avi,avi,amar deep,amar deep avi,avi,amar deep,amar deep nimavi,nimavi,amar deep,panchthar
1128,morang,amar english mavi,mavi,amar english,shree amar english mavi,mavi,shree amar english,amar english mavi,mavi,amar english,morang
1129,panchthar,amar jyoti avi,avi,amar jyoti,amar jyoti nimavi,nimavi,amar jyoti,,,,panchthar
1130,morang,amar jyoti avi,avi,amar jyoti,amar jyoti pravi,pravi,amar jyoti,,,,morang
1131,solukhumbu,amar jyoti avi,avi,amar jyoti,amar jyoti avi,avi,amar jyoti,,,,solukhumbu
1132,dhankuta,amar jyoti pravi,pravi,amar jyoti,,,,,,,dhankuta
1133,solukhumbu,amar jyoti pravi,pravi,amar jyoti,amar jyoti avi,avi,amar jyoti,,,,solukhumbu
1134,dhankuta,amar jyoti pravi,pravi,amar jyoti,amar jyoti pravi,pravi,amar jyoti,,,,dhankuta
1135,jhapa,amar pravi,pravi,amar,,,,,,,jhapa
1136,sunsari,amar pravi,pravi,amar,amar pravi,pravi,amar,,,,sunsari
1137,dhankuta,amar pravi,pravi,amar,amar pravi,pravi,amar,,,,dhankuta
1138,sankhuwasabha,amar sahid avi,avi,amar sahid,amar sahid pravi,pravi,amar sahid,,,,sankhuwasabha
1139,khotang,amar sahid pravi,pravi,amar sahid,,,,,,,khotang
1140,jhapa,amar mavi,mavi,amar,amar mavi,mavi,amar,,,,jhapa
1141,jhapa,amar mavi,mavi,amar,amar avi,avi,amar,,,,jhapa
1142,dhankuta,amar mavi,mavi,amar,amar mavi,mavi,amar,,,,dhankuta
1143,sunsari,amar shanti srijana nimavi,nimavi,amar shanti srijana,,,,,,,sunsari
1144,tehrathum,amar singh avi,avi,amar singh,amar singh avi,avi,amar singh,amar singh avi,avi,amar singh,tehrathum
1145,jhapa,amar singh pravi,pravi,amar singh,amar singh pravi,pravi,amar singh,,,,jhapa
1146,morang,amar singh mavi,mavi,amar singh,amar singh mavi,mavi,amar singh,,,,morang
1147,morang,amaramarlaxmi i,,amaramarlaxmi i,amar laxmi pravi,pravi,amar laxmi,,,,morang
1148,morang,amardaha children public ebs,,amardaha children public ebs,,,,,,,morang
1149,morang,amarhart memorial english boarding school,,amarhart memorial english boarding school,amarhart memorial ebs,,amarhart memorial ebs,,,,morang
1150,ilam,amarjyoti avi,avi,amarjyoti,amarjyoti avi,avi,amarjyoti,,,,ilam
1151,ilam,amarkalyan mavi,mavi,amarkalyan,amarkalyan mavi,mavi,amarkalyan,amarkalyan mavi,mavi,amarkalyan,ilam
