school_id	school	velthuis	district1	confidence	all_matches	district_english	name	location	ward	local_level_id	local_level	district_id	district	province_id	province	old_name1	old_name2	old_name3	district_similarity_score	location_similarity_score	score_name_and_velthuis
1150	नेपाल ज्योती आधारभूत विद्यालय, नामसालिङ, इलाम	"nepaala jyotii aadhaarabhuuta vidyaalaya, naamasaali""na, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarjyoti Basic School	Sangrumba Kopche	12.0	245	Ilam Municipality	3	Ilam	1	Koshi Province	Amarjyoti Adhar V			1.0	0.23529411764705882	0.23529411764705882
148	सिद्धार्थ आधारभूत विद्यालय, इलाम	siddhaartha aadhaarabhuuta vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Basic School	Bhalukhop	1.0	246	Mai Municipality	3	Ilam	1	Koshi Province	Adarsha Buddha Adharbhut Bidhyalaya	Adrasha Buddha Pra V		1.0	0.2222222222222222	0.2222222222222222
149	सिद्धार्थ आधारभूत विद्यालय, इलाम	siddhaartha aadhaarabhuuta vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Pra V	Bhalukhop	9.0	246	Mai Municipality	3	Ilam	1	Koshi Province				1.0	0.24615384615384617	0.24615384615384617
130	राष्ट्रिय आधारभूत विद्यालय, माइजोगमाई, इलाम	raa.s.triya aadhaarabhuuta vidyaalaya, maaijogamaaii, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.2191780821917808	0.2191780821917808
130	हमालय निम्न माध्यमिक विधालय, चसापानी, इलाम	hamaalaya nimna maadhyamika vidhaalaya, casaapaanii, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.25	0.25
130	पूर्णस्मारक माध्यमिक विद्यालय, इलाम	puur.nasmaaraka maadhyamika vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.2711864406779661	0.2711864406779661
1151	जनकल्याण प्राथमिक विधालय गोदक, इलाम	janakalyaa.na praathamika vidhaalaya godaka, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarkalyan Secondary School	Maijogmai	1.0	247	Maijogmai Rural Municipality	3	Ilam	1	Koshi Province	Amarkalyan MA VI	Amarkalyan Ma V		1.0	0.3333333333333333	0.3333333333333333
1150	अमर ज्योती आधारभूत विद्यालय साङरुम्बा, इलाम	"amara jyotii aadhaarabhuuta vidyaalaya saa""narumbaa, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarjyoti Basic School	Sangrumba Kopche	12.0	245	Ilam Municipality	3	Ilam	1	Koshi Province	Amarjyoti Adhar V			1.0	0.2962962962962963	0.2962962962962963
130	महेश्वरा निम्न माध्यमिक विधालय, सोयाक इलाम	"mahe""svaraa nimna maadhyamika vidhaalaya, soyaaka ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 80.0, 25), ('सल्यान', 80.0, 64)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.2898550724637681	0.2898550724637681
1151	बाल कल्याण आधारभूत विद्यालय, इलाम	baala kalyaa.na aadhaarabhuuta vidyaalaya, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarkalyan Secondary School	Maijogmai	1.0	247	Maijogmai Rural Municipality	3	Ilam	1	Koshi Province	Amarkalyan MA VI	Amarkalyan Ma V		1.0	0.34210526315789475	0.34210526315789475
130	जनता माध्यमिक विद्यालय माई नगरपालिका, इलाम	janataa maadhyamika vidyaalaya maaii nagarapaalikaa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.25	0.25
148	सिद्ध देवी प्राथमिक विधालय पुवामजुवा, इलाम	siddha devii praathamika vidhaalaya puvaamajuvaa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Basic School	Bhalukhop	1.0	246	Mai Municipality	3	Ilam	1	Koshi Province	Adarsha Buddha Adharbhut Bidhyalaya	Adrasha Buddha Pra V		1.0	0.24096385542168675	0.24096385542168675
149	सिद्ध देवी प्राथमिक विधालय पुवामजुवा, इलाम	siddha devii praathamika vidhaalaya puvaamajuvaa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Pra V	Bhalukhop	9.0	246	Mai Municipality	3	Ilam	1	Koshi Province				1.0	0.23684210526315788	0.23684210526315788
130	सिद्धदेउमाई निम्न माध्यमिक विधालय चयैता, इलाम	siddhadeumaaii nimna maadhyamika vidhaalaya cayaitaa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.273972602739726	0.273972602739726
148	सिद्धदेउमाई निम्न माध्यमिक विधालय चयैता, इलाम	siddhadeumaaii nimna maadhyamika vidhaalaya cayaitaa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Basic School	Bhalukhop	1.0	246	Mai Municipality	3	Ilam	1	Koshi Province	Adarsha Buddha Adharbhut Bidhyalaya	Adrasha Buddha Pra V		1.0	0.22988505747126436	0.22988505747126436
149	सिद्धदेउमाई निम्न माध्यमिक विधालय चयैता, इलाम	siddhadeumaaii nimna maadhyamika vidhaalaya cayaitaa, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Pra V	Bhalukhop	9.0	246	Mai Municipality	3	Ilam	1	Koshi Province				1.0	0.2	0.2
1110	माध्यमिक विद्यालय दिगम्बरपुर धनुषा	maadhyamika vidyaalaya digambarapura dhanu.saa	धनुषा	100.0	[('धनुषा', 100.0, 20), ('पर्सा', 75.0, 21), ('मोरङ', 75.0, 57)]	Dhanusa	Ajambari Pra V	yogbirang	3.0	164	Sahidbhumi Rural Municipality	2	Dhankuta	1	Koshi Province				0.8	0.26666666666666666	0.26666666666666666
1203	माध्यमिक विद्यालय दिगम्बरपुर धनुषा	maadhyamika vidyaalaya digambarapura dhanu.saa	धनुषा	100.0	[('धनुषा', 100.0, 20), ('पर्सा', 75.0, 21), ('मोरङ', 75.0, 57)]	Dhanusa	Annapurna Secondary School	Andrung	7.0	165	Mahalaxmi Municipality	2	Dhankuta	1	Koshi Province	Annapurna Ma V			0.8	0.2222222222222222	0.2222222222222222
1204	माध्यमिक विद्यालय दिगम्बरपुर धनुषा	maadhyamika vidyaalaya digambarapura dhanu.saa	धनुषा	100.0	[('धनुषा', 100.0, 20), ('पर्सा', 75.0, 21), ('मोरङ', 75.0, 57)]	Dhanusa	Annapurna Secondary School	Tallosanne	1.0	166	Pakhribas Municipality	2	Dhankuta	1	Koshi Province	Annapurna Ma V	Annapurna Uchha Ma V		0.8	0.2222222222222222	0.2222222222222222
130	प्याङ्ग माध्यमिक विद्यालय प्याङ कुटीडाँडा, इलाम	"pyaa""nga maadhyamika vidyaalaya pyaa""na ku.tii.daaँ.daa, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.18421052631578946	0.18421052631578946
1150	ज्योति प्राथमिक विधालय जोगमाई, इलाम	jyoti praathamika vidhaalaya jogamaaii, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarjyoti Basic School	Sangrumba Kopche	12.0	245	Ilam Municipality	3	Ilam	1	Koshi Province	Amarjyoti Adhar V			1.0	0.2647058823529412	0.2647058823529412
130	अमरकल्याण माध्यमिक विद्यालय, माईजाेगमाई, इलाम	amarakalyaa.na maadhyamika vidyaalaya, maaiijaaegamaaii, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.23684210526315788	0.23684210526315788
1151	अमरकल्याण माध्यमिक विद्यालय, माईजाेगमाई, इलाम	amarakalyaa.na maadhyamika vidyaalaya, maaiijaaegamaaii, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Amarkalyan Secondary School	Maijogmai	1.0	247	Maijogmai Rural Municipality	3	Ilam	1	Koshi Province	Amarkalyan MA VI	Amarkalyan Ma V		1.0	0.26666666666666666	0.26666666666666666
130	शान्तिपुर माध्यमिक विद्यालय शान्तिपुर, इलाम	"""saantipura maadhyamika vidyaalaya ""saantipura, ilaama"	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.26865671641791045	0.26865671641791045
130	प्रबोध माध्यमिक विद्यालय, माबु, इलाम	prabodha maadhyamika vidyaalaya, maabu, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.23728813559322035	0.23728813559322035
148	प्रबोध माध्यमिक विद्यालय, माबु, इलाम	prabodha maadhyamika vidyaalaya, maabu, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Basic School	Bhalukhop	1.0	246	Mai Municipality	3	Ilam	1	Koshi Province	Adarsha Buddha Adharbhut Bidhyalaya	Adrasha Buddha Pra V		1.0	0.2465753424657534	0.2465753424657534
149	प्रबोध माध्यमिक विद्यालय, माबु, इलाम	prabodha maadhyamika vidyaalaya, maabu, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarsha Buddha Pra V	Bhalukhop	9.0	246	Mai Municipality	3	Ilam	1	Koshi Province				1.0	0.24242424242424243	0.24242424242424243
