school_id	school	velthuis	district1	confidence	all_matches	district_english
145	कालीगण्डकी आधारभूत विद्यालय, तनहुँ	kaaliiga.n.dakii aadhaarabhuuta vidyaalaya, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
146	महादेव आधारभूत विद्यालय देवघाट, तनहुँ	mahaadeva aadhaarabhuuta vidyaalaya devaghaa.ta, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
147	माध्यमिक विधालय उ०मा०वि	maadhyamika vidhaalaya u0maa0vi				
148	सुम्बेक नि॰मा॰वि॰, इलाम	sumbeka ni॰maa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
149	सिद्देश्वरी प्रा॰वि॰, बरबोटे, इलाम	"sidde""svarii praa॰vi॰, barabo.te, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
150	आदर्श आधारभूत विद्यालय इलाम न॰पा॰, इलाम	"aadar""sa aadhaarabhuuta vidyaalaya ilaama na॰paa॰, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
151	नारायणी नमूना माध्यमिक विद्यालय, भरतपुर-१०, चितवन	naaraaya.nii namuunaa maadhyamika vidyaalaya, bharatapura-10, citavana	चितवन	100	[('चितवन', 100.0, 62)]	Chitwan
152	जन शिशु कल्याण आधारभूत विद्यालय, तनहुँ	"jana ""si""su kalyaa.na aadhaarabhuuta vidyaalaya, tanahuँ"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
153	जनप्रभात माध्यमिक विद्यालय, काठमाडौं	janaprabhaata maadhyamika vidyaalaya, kaa.thamaa.dau.m	काठमाडौं	100	[('काठमाडौं', 100.0, 4)]	Kathmandu
154	पुवामाई प्रा॰वि॰, इलाम	puvaamaaii praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
155	नन्द माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम	nanda maadhyamika vidyaalaya, ilaama na॰paa॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
156	बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा	"buddha aarda""sa u॰ maadhyamika vidhaalaya, jhaapaa"	झापा	100	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa
157	वरचुली माध्यमिक विद्यालय देवचुली, व॰सु॰पूर्व नवलपरासी	varaculii maadhyamika vidyaalaya devaculii, va॰su॰puurva navalaparaasii	पर्सा	100	[('पर्सा', 100.0, 21), ('पूर्व नवलपरासी', 100.0, 39), ('पश्चिम नवलपरासी', 81.4814814814815, 26)]	Parsa
158	महादेव प्रा॰वि॰, इलाम	mahaadeva praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
159	नर प्रा॰वि॰, इलाम	nara praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
160	हात्तीटार आधारभूत विद्यालय, माईजोगमाई, इलाम	haattii.taara aadhaarabhuuta vidyaalaya, maaiijogamaaii, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
