school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
5831,12359,janajyoti,jana jyoti,avi,avi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5834,21507,janata,janata,mavi,mavi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
5842,71275,ghatala,ghatal,avi,avi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5843,73247,purna,purna,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5848,31683,divya jyoti,dibyajyoti,avi,avi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
5852,33075,kalika devi,kali devi,avi,avi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
5858,16585,siddhakali,siddha kali,avi,avi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5861,13486,lamukarma,lumu karma,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5864,11082,mahendra jyoti,chandra jyoti,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5865,11115,chandraedaya,chandrodaya,avi,avi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5867,15890,shivalaya,shiwalaya,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5868,1431,bala subodhini samskrrita,bal subodhini sanskrit,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5873,15398,sarasvati,saraswati,avi,avi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5874,12712,janaka,janata,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5875,74273,siddhanatha,siddhanath,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5889,12818,jari~nge,jaringe,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
