school_id_B,root_school_name_B,school_level_B,root_school_old_name1_B,root_school_old_name2_B,school_level_old_name2_B,school_level_old_name1_B,district_B,Fuzzy_match_score
31183,buddha bal,pravi,,,,,kavrepalanchok,
31184,buddha bal unnati,avi,buddha bal unnati,buddha bal unaiti,pravi,pravi,kavrepalanchok,
31185,buddha balbikas kendra,,buddha,,,pravi,dhading,
31186,buddha,avi,buddha,,,pravi,ramechhap,
31187,buddha,avi,buddha,,,pravi,kavrepalanchok,
31188,buddha,avi,buddha,,,pravi,lalitpur,
31189,buddha bhagwan,mavi,buddha bhagwan,,,mavi,lalitpur,
31190,buddha bhawani  makadum,mavi,buddha bhawani,,,mavi,ramechhap,
31191,buddha dharma,avi,buddha dharma,,,avi,makwanpur,
31192,buddha jyoti academy,,buddha jyoti ebs,,,,kathmandu,
31193,buddha jyoti bal udhyan,avi,buddha jyoti bal udhyan,,,avi,kathmandu,
31194,buddha jyoti,avi,buddha jyoti,,,pravi,dolakha,
31195,buddha jyoti,avi,buddha jyoti,,,pravi,dhading,
31196,buddha jyoti english school,,buddha jyoti ebs,,,,chitwan,
31197,buddha jyoti,pravi,,,,,sindhupalchok,
31198,buddha kiran,avi,buddha kiran,,,pravi,kavrepalanchok,
31199,buddha koltung,avi,buddha koltung,,,nimavi,kavrepalanchok,
31200,buddha,mavi,buddha,,,mavi,makwanpur,
31201,buddha,mavi,buddha,,,mavi,makwanpur,
31202,buddha nagar,avi,buddha nagar,,,avi,kathmandu,
31203,buddha namuna baikalpik school,,,,,,kathmandu,
31204,buddha,nimavi,,,,,makwanpur,
31205,buddha pashupati ebs,,,,,,kathmandu,
31206,buddha,pravi,,,,,ramechhap,
31207,buddha,pravi,,,,,dolakha,
31208,buddha,pravi,,,,,dolakha,
31209,buddha,pravi,,,,,kavrepalanchok,
31210,buddha,pravi,,,,,dhading,
31211,buddha,pravi,,,,,makwanpur,
31212,buddha,pravi,buddha,,,pravi,makwanpur,
31213,buddha sansari,avi,buddha sansari,sansari,pravi,avi,ramechhap,
31214,buddha,mavi,buddha,buddha,mavi,mavi,lalitpur,
31215,buddha,mavi,shree buddha,buddha,mavi,mavi,lalitpur,
31216,buddha shanti,mavi,,,,,chitwan,
31217,buddha sharan,avi,thandapani bal vikas kendra,,,,nuwakot,
31218,buddha sharan,pravi,,,,,nuwakot,
31219,buddha vision,,buddha vision academy,buddha vision,,,dhading,
31220,buddhalaya,avi,buddhalaya,,,pravi,ramechhap,
31221,buddheshwori,avi,buddheshwori,,,nimavi,ramechhap,
31222,buddhodaya,avi,buddhodaya,,,pravi,ramechhap,
31223,buddhodaya bidyashram,,,,,,bhaktapur,
31224,budha bhimsen,mavi,budha bhimsen,,,mavi,dolakha,
31225,budhanilkantha ashram school,,budanilkantha ashram school,,,,kathmandu,
31226,budhanilkantha,avi,budhanilkantha,,,pravi,kavrepalanchok,
31227,budhanilkantha bed bidhyashram,,,,,,kathmandu,
31228,budhanilkantha kids montessori academy,,,,,,kathmandu,
31229,budhanilkantha kindergarden,,,,,,kathmandu,
31230,budhanilkantha mahila vidyalaya,,,,,,kathmandu,
31231,budhanilkantha model community academy,,budanilkantha community academy,,,,kathmandu,
31232,budhanilkantha school,,budha nllkantha aavashiya ebs,,,,kathmandu,
31233,budhanilkantha,mavi,budanilkantha,,,mavi,kathmandu,
31234,budhi chandika,avi,budhi chandika,,,pravi,dolakha,
31235,budhi gandaki,pravi,,,,,dhading,
31236,budhi siddhi basic schhol,,budhi siddhi,,,pravi,makwanpur,
31237,buds montessori,,,,,,lalitpur,
31238,bulungkhani,avi,bulungkhani,,,pravi,dolakha,
31239,bungmati bal bikas kendra bfn,,bungmati bbk,,,,lalitpur,
31240,busti,avi,,,,,dolakha,
31241,cambridge ebs,,,,,,kathmandu,
31242,cambridge international boarding,mavi,cambridge international ebs,,,,kathmandu,
31243,camellia ebs,,cameliya ebs,,,,kathmandu,
31244,campion academy,,,,,,lalitpur,
31245,campion ebs,,campaign ebs,,,,lalitpur,
31246,campion kathmandu school,,,,,,kathmandu,
31247,candid career,mavi,candid english academy,,,,bhaktapur,
31248,canvas basanta ritu ebs,,basanta ritu ebs,,,,kathmandu,
31249,canvas ebs,,,,,,kathmandu,
31250,canvas international,mavi,,,,,kathmandu,
31251,capital city academy,,bishnu budhanilkantha english school,capital city academy,,,kathmandu,
31252,capital,mavi,,,,,kathmandu,
31253,capitol hill academy,,,,,,kathmandu,
31254,capitol hill academy,mavi,capitol hill academy,capitol hill ebs,,,kathmandu,
31255,cardinal international boarding,mavi,cardinal international ebs,,,,kathmandu,
31256,care english boarding school,,care ebs,,,,kathmandu,
31257,career building international academy,,carrier building int academy,,,,kathmandu,
31258,caribbean,mavi,caribbean school,,,,lalitpur,
31259,carina international academy,,,,,,kathmandu,
31260,caspian valley,mavi,caspian academy,,,,lalitpur,
31261,centennial,mavi,santenial ebs,,,,kathmandu,
31262,center for leadership & entrepreneurship,mavi,,,,,lalitpur,
31263,central english boarding school bharatpur,,central ebs,,,,chitwan,
31264,central public boarding school,,central public school,,,,kathmandu,
31265,chachulaidevi,avi,chachulai devi,,,pravi,sindhuli,
31266,chadaha kamala sangam  ruchani,pravi,chadaha kamalas angam,,,pravi,sindhuli,
31267,chadani babike,,,,,,sindhupalchok,
31268,chahare,pravi,,,,,dolakha,
31269,chainpur community child development centre,,,,,,dhading,
31270,chaitanya multiple campus,,chaitanya campus,,,,kavrepalanchok,
31271,chaitanya,avi,,,,,bhaktapur,
31272,chaitanya,mavi,chaitanya,,,mavi,kavrepalanchok,
31273,chakra devi,avi,chakra devi,,,pravi,dhading,
31274,chakra devi,avi,chakra devi,,,nimavi,dhading,
31275,chakra devi national  syaklang,avi,chakra devi,,,pravi,chitwan,
31276,chakra devi,pravi,,,,,kavrepalanchok,
31277,chakra devi,pravi,,,,,nuwakot,
31278,chakra devi,pravi,,,,,nuwakot,
31279,chakra kali,pravi,,,,,nuwakot,
31280,chakra kali,pravi,,,,,makwanpur,
31281,chakra mahakali,avi,chakra mahakali,,,pravi,dhading,
31282,chakradevi,avi,chakradevi,,,pravi,dhading,
31283,chakradevi,avi,chakradevi,,,nimavi,chitwan,
31284,chakrajyoti,mavi,chakra jyoti,,,mavi,kavrepalanchok,
31285,chakrani  kharkhola,nimavi,,,,,sindhuli,
31286,chakreshwor,avi,chakreshwor,,,pravi,nuwakot,
31287,chakreshwori,avi,chakreshwori,,,nimavi,dhading,
31288,chalantar,avi,chalantar,,,pravi,kathmandu,
31289,chalnakhel,avi,chalnakhel,chalnakhel,avi,avi,kathmandu,
31290,chameli devi piya  bharatpur,mavi,chameli devi piya,,,nimavi,chitwan,
31291,champa devi,pravi,,,,,ramechhap,
31292,champa sikhar,avi,champa sikhar,,,pravi,kathmandu,
31293,champadevi,mavi,champa devi,,,mavi,kathmandu,
31294,champak binayak,avi,champak binayak,,,pravi,kathmandu,
31295,champak vdhyapeeth,,,,,,bhaktapur,
31296,champeshwor,avi,champeshwor,,,avi,makwanpur,
31297,champha devi,avi,champha devi,chamfa devi,pravi,pravi,kavrepalanchok,
31298,champs world,avi,,,,,kathmandu,
31299,chamuna devi,avi,chamuna devi,,,avi,sindhupalchok,
31300,chamunda alternative school,,,,,,kathmandu,
31301,chamunda ebs,,,,,,kathmandu,
31302,chamunda,mavi,chamunda,,,mavi,kathmandu,
31303,chanabhume,avi,chana bhume,chana bhume,pravi,avi,nuwakot,
31304,chanakya,mavi,chanakya ebs,,,,bhaktapur,
31305,chanaute,avi,,,,,dolakha,
31306,chanbhume,avi,chanbhume,,,pravi,nuwakot,
31307,chanda devi,mavi,chanda devi,,,mavi,nuwakot,
31308,chandani,mavi,chadani ebs,,,,lalitpur,
31309,chandbagh school,,,,,,kathmandu,
31310,chandeni,mavi,chandeni,chandeni,mavi,mavi,kavrepalanchok,
31311,chandeshwari,mavi,chandeshwori,chandeshwori,mavi,mavi,kavrepalanchok,
31312,chandeshwari,mavi,chandeshwori  vidyalaya,,,mavi,kathmandu,
31313,chandeshwari rastriya  syandgi,avi,chandeshwari,,,pravi,chitwan,
31314,chandeshwari,mavi,chandeshwori,,,mavi,ramechhap,
31315,chandeshwori,mavi,chandeshwori,chandeshwori,mavi,mavi,ramechhap,
31316,chandeshwori  chainpur,avi,chandeshwori,,,pravi,sindhuli,
31317,chandeshwori bal sadan,pravi,,,,,kavrepalanchok,
31318,chandeshwori,avi,chandeshwori,,,nimavi,ramechhap,
31319,chandeshwori,avi,chandeshwori,,,pravi,sindhupalchok,
31320,chandeshwori,avi,chandeshwori,,,mavi,lalitpur,
31321,chandeshwori,avi,chandeshwori,,,avi,bhaktapur,
31322,chandeshwori,avi,chandeshwori,chandeshwori,avi,pravi,nuwakot,
31323,chandeshwori,avi,chandeshwori,,,pravi,nuwakot,
31324,chandeshwori,avi,chandeshwori,,,pravi,nuwakot,
31325,chandeshwori,avi,chandeshwori,,,nimavi,dhading,
31326,chandeshwori bbk,,,,,,dhading,
31327,chandeshwori ebs,,,,,,sindhupalchok,
31328,chandeshwori,pravi,,,,,dolakha,
31329,chandeshwori,pravi,,,,,nuwakot,
31330,chandeshwori,mavi,chandeshwori,,,mavi,dhading,
31331,chandeshwori  dadhi,mavi,chandeshwori,,,mavi,sindhuli,
31332,chandeswary,avi,chandreshwori,chandreshwori,pravi,avi,dhading,
31333,chandeswory,avi,chandeshwory,chandeshwori,pravi,avi,dhading,
31334,chandeswory,mavi,shree chandeswory,chandreshwori,mavi,mavi,nuwakot,
31335,chandevi,pravi,,,,,lalitpur,
31336,chandi,avi,chandi,,,avi,nuwakot,
31337,chandi bhairab,mavi,shree chandi bhairab,chandi bhairab,mavi,mavi,kathmandu,
31338,chandi devi,avi,chandi devi,,,nimavi,dhading,
31339,chandi devi,pravi,,,,,lalitpur,
31340,chandi devi,pravi,chandi devi,,,pravi,dolakha,
31341,chandi,mavi,chandi,,,mavi,nuwakot,
31342,chandibhumi,avi,chandi bhumi,,,pravi,dhading,
31343,chandidevi,avi,chandi devi,chandi devi,pravi,avi,dhading,
31344,chandika,mavi,chandika,chandika,mavi,mavi,makwanpur,
31345,chandika,avi,chandika,chandika,pravi,pravi,dolakha,
31346,chandika devi,pravi,,,,,makwanpur,
31347,chandika devi,mavi,chandika devi,,,mavi,kathmandu,
31348,chandika samudayik,pravi,,,,,dhading,
31349,chandika,mavi,chandika,,,mavi,sindhupalchok,
31350,chandikashwori english,mavi,chandikashwori english,chandi keshari ebs,,mavi,kathmandu,
31351,chandra,avi,chandra,chandra,pravi,avi,makwanpur,
31352,chandra bindu international ebs,,,,,,kathmandu,
31353,chandra devi,avi,chandra devu,,,avi,nuwakot,
31354,chandra devi,avi,chandra devi,,,pravi,dhading,
31355,chandra devibasic school,,chandra devi,,,pravi,dhading,
31356,chandra jyoti,avi,chandra jyoti,,,pravi,nuwakot,
31357,chandra jyoti,mavi,chandra jyoti,,,mavi,nuwakot,
31358,chandra kanya  nagi,pravi,chandra kanya,,,pravi,sindhuli,
31359,chandra nayan,pravi,,,,,nuwakot,
31360,chandra prabha,pravi,,,,,nuwakot,
31361,chandra surya,avi,chandra surya,,,pravi,kavrepalanchok,
31362,chandra surya,pravi,,,,,ramechhap,
31363,chandradevi  sirudanda,avi,sirudanda,,,avi,sindhuli,
31364,chandrajyoti ecd center,,,,,,kavrepalanchok,
31365,chandrajyoti english boarding school,,chandrajyoti ebs,,,,sindhuli,
31366,chandrasuryodaya,avi,,,,,bhaktapur,
31367,chandrawati,avi,chandrawati,,,pravi,sindhupalchok,
31368,chandrawati,avi,chandrawati,,,pravi,kavrepalanchok,
31369,chandreshwori,avi,chandreshwori,,,pravi,lalitpur,
31370,chandrodaya,avi,chandrodaya,,,pravi,kavrepalanchok,
31371,chandrodaya,mavi,,,,,dhading,
31372,changu narayan,pravi,,,,,bhaktapur,
31373,changu narayan,mavi,changu narayan  vidyalaya,changu narayan,mavi,mavi,bhaktapur,
31374,chantal mauduit academy,,chantal manduit academy,,,,lalitpur,
31375,chapabot,mavi,,,,,kathmandu,
31376,chapakharka,pravi,,,,,lalitpur,
31377,chapbote,avi,chapbote,,,pravi,nuwakot,
31378,charanwati,avi,charnawoti,,,avi,dolakha,
31379,charkhandi bidya mandir,,,,,,bhaktapur,
31380,charles darwin academy,,,,,,kathmandu,
31381,chatra pal,avi,,,,,nuwakot,
31382,chaturadevi,avi,chaturadevi,,,pravi,dhading,
31383,chaturmukhi english boarding school,,,,,,chitwan,
31384,chaturmukhi,mavi,chuturmukhi,,,mavi,chitwan,
31385,chaughada progressive english school,,,,,,nuwakot,
31386,chaula ganga,pravi,,,,,kavrepalanchok,
31387,chaulaganga,pravi,chula ganga,,,pravi,ramechhap,
31388,chaulanarayan,avi,chail narayan,,,pravi,kathmandu,
31389,chaura,avi,,,,,makwanpur,
31390,chaura thakur,avi,chaura thakur,,,pravi,makwanpur,
31391,chauri khola,pravi,,,,,kavrepalanchok,
31392,chayal devi,pravi,,,,,kavrepalanchok,
31393,cheery kids home,,cherry kids,,,,kathmandu,
31394,chelsea world school,,vidhya sanskar school,chelsea international academy,,,kathmandu,
31395,chepang,pravi,,,,,makwanpur,
31396,chepang pragati,pravi,,,,,makwanpur,
31397,cherdung,pravi,,,,,dolakha,
31398,chetana,avi,,,,,bhaktapur,
31399,chetana,avi,chetana,,,pravi,bhaktapur,
31400,chetana,avi,shree chetana,chetana,pravi,avi,nuwakot,
31401,chetana mahila viddhalaya,,,,,,kathmandu,
31402,chetana sadan,mavi,chetana sadan ebs,,,,kathmandu,
31403,chetanshil,pravi,chetanshil,,,pravi,dolakha,
31404,chhabhaktishwor,avi,chhabhaktishwor,chhabhaktishwar,pravi,pravi,kavrepalanchok,
31405,chhahari school kathmandu,,chhahari ebs,,,,kathmandu,
31406,chhahari shikshya sadan,,,,,,kathmandu,
31407,chhatre pipal,pravi,,,,,kavrepalanchok,
31408,chhaude,avi,chhaude,,,avi,dolakha,
31409,chhaya devi,pravi,,,,,nuwakot,
31410,chhepang,mavi,chepang ni,,,nimavi,dhading,
31411,chhesakhare,avi,chhesakhare,chesakhare,avi,avi,dolakha,
31412,chhetrapal,mavi,chhetrapal,,,mavi,nuwakot,
31413,chhita devi,avi,chhita devi,,,pravi,ramechhap,
31414,chilaune,avi,,,,,sindhupalchok,
31415,chilaune,avi,chilaune,,,pravi,nuwakot,
31416,child care ebs,,,,,,dhading,
31417,child development and research center,,,,,,chitwan,
31418,children garden school,,,,,,kathmandu,
31419,children garden academy,,,,,,lalitpur,
31420,children heaven ebs,,,,,,kathmandu,
31421,children herald english school,,children herald ebs,,,,kathmandu,
31422,children park sec boarding school,,children park,children park s b school,,mavi,dhading,
31423,children's eternal academy,,children internal academy,,,,kathmandu,
31424,children’s light school,,,,,,kavrepalanchok,
31425,chimchok,mavi,chimchok,chimchowk,nimavi,avi,dhading,
31426,chipi gaun,pravi,,,,,sindhupalchok,
31427,chipleti,avi,chipleti,,,pravi,rasuwa,
31428,chipling,avi,chipling,,,pravi,sindhupalchok,
31429,chiran milan bishwashanti school,,,,,,kathmandu,
31430,chiringe,pravi,,,,,ramechhap,
31431,chirkunthan namuna,avi,chirkunthan namuna,,,pravi,dolakha,
31432,chiryu educational academy,,chirayu educational academy,chiryu educational academy,,,kathmandu,
