school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
370,dharma,avi,tanahun,
371,udaya,pravi,tanahun,
372,bhairava,avi,tanahun,
373,janajagrriti,pravi,tanahun,
374,shiva,mavi,nawalparasi,
375,satyavati,mavi,tanahun,
376,bhavani rashtriya,mavi,kailali,
377,galkota,mavi,syangja,
378,barahi,pravi,tanahun,
379,vidya niku~nja,mavi,tanahun,
380,sarasvati,mavi,tanahun,
381,dipaka,pravi,tanahun,
382,parvati,mavi,tanahun,
383,nirmala,mavi,tanahun,
384,chandi devi,avi,tanahun,
385,adarsha shiksha pra,mavi,tanahun,
386,shahida gamga,mavi,tanahun,
387,bhashkara,pravi,tanahun,
388,kalyana devi,pravi,tanahun,
389,pragati,nimavi,nawalparasi,
390,janajyoti,mavi,nawalparasi,
391,gadibha~njya,pravi,tanahun,
392,a.ndi barahi,pravi,tanahun,
393,chabdi varahi,avi,tanahun,
394,janasevika,pravi,tanahun,
395,ravichandra,pravi,tanahun,
396,vedavyasa,pravi,tanahun,
397,mahendrajyoti,pravi,tanahun,
398,rashtriya,mavi,tanahun,
399,aruna,pravi,tanahun,
400,shiva sarasvati,mavi,tanahun,
401,janapriya,avi,tanahun,
402,rama,pravi,tanahun,
403,vasanta,avi,tanahun,
404,harpanakota,mavi,kaski,
405,deurali,pravi,tanahun,
406,mardasha,pravi,tanahun,
407,balika,pravi,tanahun,
408,kusmavati,pravi,tanahun,
409,bala mandira,mavi,tanahun,
410,sarvajyoti,nimavi,tanahun,
411,buddha,pravi,tanahun,
412,bajrayogani,mavi,tanahun,
413,kalika,avi,tanahun,
414,rameshvari,mavi,kaski,
415,pa~nchakanya,avi,tanahun,
416,gogana,mavi,kaski,
417,tamu~na,pravi,tanahun,
418,pasale,avi,tanahun,
419,aruna,mavi,tanahun,
420,sarasvati,avi,tanahun,
421,kotakalika,pravi,tanahun,
422,sarvajyoti,pravi,tanahun,
423,kalika,mavi,tanahun,
424,bhanu samskrrita,mavi,tanahun,
425,kalika,mavi,kaski,
426,chandi,pravi,tanahun,
427,rishithuma,pravi,tanahun,
428,shramika,pravi,tanahun,
429,ganosha,pravi,tanahun,
430,bhirkota,avi,tanahun,
431,bala vikasa,mavi,tanahun,
432,tatopani,pravi,tanahun,
433,a.nbu,pravi,tanahun,
434,shiva sundara,pravi,tanahun,
435,amarajyoti,mavi,tanahun,
436,kalpeshvara,avi,kathmandu,
437,jala devi,mavi,tanahun,
438,mamgala,mavi,lamjung,
439,pa~nchajyoti,pravi,tanahun,
440,shahida krrishna,mavi,tanahun,
441,himalaya,mavi,kaski,
442,nara,pravi,tanahun,
443,dipendra,avi,nawalparasi,
444,bala vikasa,pravi,tanahun,
445,bala naketana,nimavi,tanahun,
446,janapremi,mavi,tanahun,
447,arunodaya,pravi,tanahun,
448,sahavira,avi,tanahun,
449,gau.npharkodaya,mavi,tanahun,
450,udaya,avi,bhaktapur,
451,vishvashanti,pravi,syangja,
452,rashtiya,avi,tanahun,
453,jaladevi,avi,tanahun,
454,ramashaha,mavi,tanahun,
455,janakalyana,mavi,tanahun,
456,mahadevasthana,avi,gorkha,
457,vishvajyoti khota~na,,khotang,
458,varahi,mavi,tanahun,
459,rashtriya,avi,kathmandu,
460,mahasyakanya,nimavi,tanahun,
461,chandeshvari,avi,tanahun,
462,shanti varsha,pravi,tanahun,
463,navajyoti,pravi,kaski,
464,talabesi,mavi,tanahun,
465,amarajyoti gau.npharka,mavi,kaski,
466,lakshmi adarsha,mavi,kaski,
467,janasahayogi,pravi,tanahun,
468,guheshvari,nimavi,kathmandu,
469,shukla,mavi,tanahun,
470,kanya debi,pravi,tanahun,
471,chabdi,mavi,tanahun,
472,khaireni,mavi,tanahun,
473,dila,pravi,tanahun,
474,masrya~ngadi,avi,tanahun,
475,shahida krrishna,mavi,tanahun,
476,bhanu,mavi,tanahun,
477,simana,pravi,tanahun,
478,rajapura,mavi,tanahun,
479,kalika,mavi,kaski,
480,rajasthala,pravi,tanahun,
481,adharabhuta,mavi,tanahun,
482,maheshvari,mavi,kaski,
483,janajagrriti j~nana rashmi,mavi,kathmandu,
484,chandi debi,pravi,tanahun,
485,ratna rajya lakshmi kanya,avi,tanahun,
486,suryodaya,avi,tanahun,
487,arunodaya,mavi,chitwan,
488,bhavanikalika,mavi,kaski,
489,balamiteri,mavi,bhojpur,
490,balavikasa,pravi,dang,
491,a.ndi barahi,avi,tanahun,
492,janashrama,pravi,rolpa,
493,,nimavi,jhapa,
494,,mavi,dang,
495,krrishna,avi,rolpa,
496,,nimavi,rolpa,
497,janata samskrrita,mavi,dang,
498,,pravi,dang,
499,,pravi,kailali,
500,ganesha,avi,dhanusha,
501,tribhuvana jana,mavi,salyan,
502,yugavodha,avi,bajura,
503,ratri,avi,saptari,
504,chaudhare,nimavi,dang,
505,,mavi,makwanpur,
506,,pravi,gorkha,
507,,pravi,dang,
508,nepala rashtiya,mavi,bardiya,
509,,pravi,dang,
510,,avi,dang,
511,vela deukhuri,nimavi,dang,
512,,pravi,dang,
513,sadharana namuna,mavi,dang,
514,sarasvati,pravi,ilam,
515,maure pipala,pravi,ilam,
516,mahendrodaya,avi,ilam,
517,sharada,pravi,ilam,
518,pamcha kanya,pravi,khotang,
519,gura.nsa,avi,khotang,
520,pilada.nda khota~na,,khotang,
521,janaka,mavi,ilam,
522,jhamkala,mavi,ilam,
523,tomane,nimavi,khotang,
524,janata,pravi,siraha,
525,janachetana,pravi,khotang,
526,balakalyana,pravi,khotang,
527,janata,mavi,siraha,
528,sarashvaranatha,mavi,siraha,
529,kuhu.nda.nda,mavi,khotang,
530,janata,mavi,saptari,
531,vidyajyoti,pravi,ilam,
532,kuhuda.nda,mavi,khotang,
533,janata,mavi,siraha,
534,damli,mavi,khotang,
535,pam~nchavati,avi,khotang,
536,lakshmi,mavi,khotang,
537,dudhakoshi,pravi,khotang,
538,malupokhari,avi,ilam,
539,janajyoti,avi,khotang,
540,vidhodaya,pravi,khotang,
541,,mavi,jumla,
542,nepala rashtriya,avi,mahottari,
543,uma maheshvara,nimavi,ilam,
544,chisopani,mavi,ilam,
545,vinaa,pravi,khotang,
546,buddha,avi,ilam,
547,chandrakala,pravi,ilam,
548,dikuva,avi,khotang,
549,kalika,pravi,khotang,
550,shanti,nimavi,khotang,
551,namasali~na,mavi,ilam,
552,maipokhari samskrrita,mavi,ilam,
553,himalaya,mavi,ilam,
554,sarasvati,mavi,ilam,
