school_id,school,school_1,School_level,School_name,Location,Matched_district
56,"आदरणीय निम्न माध्यमिक विधालय, इलाम",आदरणीय निमावि इलाम,निमावि,आदरणीय,इलाम,इलाम
57,"जनकल्याण्ा प्रा॰वि॰दोकानडाँडा, इलाम",जनकल्याण्ा प्रावि दोकानडाँडा इलाम,प्रावि,जनकल्याण्ा,दोकानडाँडा इलाम,इलाम
58,"मिल्लाचोक नि॰ मा॰बी, इलाम",मिल्लाचोक निमावि इलाम,निमावि,मिल्लाचोक,इलाम,इलाम
59,जनकल्याण प्राथमिक विधालय आम्तेक भोजपुर,जनकल्याण प्रावि आम्तेक भोजपुर,प्रावि,जनकल्याण,आम्तेक भोजपुर,भोजपुर
60,"शिक्षाक्षमाकन्या प्रा॰वि, भोजपुर",शिक्षाक्षमाकन्या प्रावि भोजपुर,प्रावि,शिक्षाक्षमाकन्या,भोजपुर,भोजपुर
61,"बालमितेरी माध्यमिक विद्यालय, भोजपुर",बालमितेरी मावि भोजपुर,मावि,बालमितेरी,भोजपुर,भोजपुर
62,"कृष्ण प्राथमिक विद्यालय लेटाङ, मोरङ",कृष्ण प्रावि लेटाङ मोरङ,प्रावि,कृष्ण,लेटाङ मोरङ,मोरङ
63,अकला आधारभूत विद्यालय तनहुँ,अकला आवि तनहुँँ,आवि,अकला,तनहुँँ,तनहुँ
64,"श्री माध्यमिक विद्यालय, लंकू बाह्घरे, चितवन",श्री मावि लंकू बाह्घरे चितवन,मावि,श्री,लंकू बाह्घरे चितवन,चितवन
65,"खार्तन्छा नि॰मा॰वि॰, भोजपुर",खार्तन्छा निमावि भोजपुर,निमावि,खार्तन्छा,भोजपुर,भोजपुर
66,"धापखर्क प्रा वि, भोजपुर",धापखर्क प्रावि भोजपुर,प्रावि,धापखर्क,भोजपुर,भोजपुर
67,"पञ्चकन्या प्राथमिक विद्यालय पौवादुङमा गा॰पा॰, भोजपुर",पञ्चकन्या प्रावि पौवादुङमा गा पा भोजपुर,प्रावि,पञ्चकन्या,पौवादुङमा गा पा भोजपुर,भोजपुर
68,"अमर ज्योती प्राथमिक विद्यालय, क्यामुनडाँडा झिरुबास, तनहुँ",अमर ज्योती प्रावि क्यामुनडाँडा झिरुबास तनहुँँ,प्रावि,अमर ज्योती,क्यामुनडाँडा झिरुबास तनहुँँ,तनहुँ
69,"जन कल्याण आधारभूत विद्यालय, लक्ष्मीपुर -५, इलाम",जन कल्याण आवि लक्ष्मीपुर इलाम,आवि,जन कल्याण,लक्ष्मीपुर इलाम,इलाम
70,"विद्याधरी प्राथमिक विद्यालय रामप्रसादराई गा॰पा॰, भोजपुर",विद्याधरी प्रावि रामप्रसादराई गा पा भोजपुर,प्रावि,विद्याधरी,रामप्रसादराई गा पा भोजपुर,भोजपुर
71,देवीथान माध्यमिक विधालय आम्तेक भोजपुर,देवीथान मावि आम्तेक भोजपुर,मावि,देवीथान,आम्तेक भोजपुर,भोजपुर
72,"अमरज्योति प्राथमिक विद्यालय, शुक्लागन्डकी, तनहुं",अमरज्योति प्रावि शुक्लागन्डकी तनहुँं,प्रावि,अमरज्योति,शुक्लागन्डकी तनहुँं,तनहुँ
73,"वरभन्ज्या नि॰मा॰वि॰, इलाम",वरभन्ज्या निमावि इलाम,निमावि,वरभन्ज्या,इलाम,इलाम
74,"नल देवी प्रा बि, तनहु",नल देवी प्रावि तनहुँ,प्रावि,नल देवी,तनहुँ,तनहुँ
75,"धर्म माध्यमिक विधालय भिमाद, तनहुँ",धर्म मावि भिमाद तनहुँँ,मावि,धर्म,भिमाद तनहुँँ,तनहुँ
76,"मिक्लाचो मा॰वि॰, इलाम",मिक्लाचो मावि इलाम,मावि,मिक्लाचो,इलाम,इलाम
77,"बुद्ध माध्यमिक विद्यालय, इलाम",बुद्ध मावि इलाम,मावि,बुद्ध,इलाम,इलाम
78,"रत्न देवी आधारभूत विद्यालय, गजुरमुखी, ईलाम",रत्न देवी आवि गजुरमुखी ईलाम,आवि,रत्न देवी,गजुरमुखी ईलाम,इलाम
79,"गजुरमुखी आधारभूत विद्यालय, इलाम",गजुरमुखी आवि इलाम,आवि,गजुरमुखी,इलाम,इलाम
80,"जालपा प्राथमिक विद्यालय अरुण, भोजपुर",जालपा प्रावि अरुण भोजपुर,प्रावि,जालपा,अरुण भोजपुर,भोजपुर
81,"सिंहेश्वरी आधारभूत विद्यालय, इलाम",सिंहेश्वरी आवि इलाम,आवि,सिंहेश्वरी,इलाम,इलाम
82,"सिद्धि विनायक प्राथमिक विधालय, सुम्बेक इलाम",सिद्धि विनायक प्रावि सुम्बेक इलाम,प्रावि,सिद्धि विनायक,सुम्बेक इलाम,इलाम
83,"दोभान प्रा॰वि॰, इलाम",दोभान प्रावि इलाम,प्रावि,दोभान,इलाम,इलाम
84,"देवी प्रा॰वि॰, इलाम",देवी प्रावि इलाम,प्रावि,देवी,इलाम,इलाम
85,"इरौंटार आधारभूत विद्यालय रोङ गा॰पा॰, इलाम",इरौंटार आवि रोङ गा पा इलाम,आवि,इरौंटार,रोङ गा पा इलाम,इलाम
86,"विद्या प्रा॰वि॰, इलाम",विद्या प्रावि इलाम,प्रावि,विद्या,इलाम,इलाम
87,"महेश्वरा प्राथमिक विद्यालय, निन्दाखु, साेयाक, इलाम",महेश्वरा प्रावि निन्दाखु साेयाक इलाम,प्रावि,महेश्वरा,निन्दाखु साेयाक इलाम,इलाम
88,"बिक्री प्रा॰ बी ॰, इलाम",विक्री प्रावि इलाम,प्रावि,विक्री,इलाम,इलाम
89,"भगवती माध्यमिक विद्यालय, गोलाखर्क, इलाम",भगवती मावि गोलाखर्क इलाम,मावि,भगवती,गोलाखर्क इलाम,इलाम
90,"देउराली प्रा॰वि॰, जितपुर, इलाम",देउराली प्रावि जितपुर इलाम,प्रावि,देउराली,जितपुर इलाम,इलाम
91,"आदर्श प्रा॰वि॰, फिक्कल, इलाम",आदर्श प्रावि फिक्कल इलाम,प्रावि,आदर्श,फिक्कल इलाम,इलाम
92,"आदर्श माध्यमिक विद्यालय, इलाम",आदर्श मावि इलाम,मावि,आदर्श,इलाम,इलाम
93,"नेपालटार माध्यमिक विद्यालय साखेजुङ, इलाम",नेपालटार मावि साखेजुङ इलाम,मावि,नेपालटार,साखेजुङ इलाम,इलाम
94,"दृपादवी प्रा॰वि॰, इलाम",दृपादवी प्रावि इलाम,प्रावि,दृपादवी,इलाम,इलाम
95,"पशुपति कन्या मन्दिर माध्यमिक विधालय, दोलखा",पशुपति कन्या मन्दिर मावि दोलखा,मावि,पशुपति कन्या मन्दिर,दोलखा,दोलखा
96,"नव ज्योती आधारभूत विद्यालय, इलाम",नव ज्योती आवि इलाम,आवि,नव ज्योती,इलाम,इलाम
97,"भगवती माध्यमिक विद्यालय, इलाम",भगवती मावि इलाम,मावि,भगवती,इलाम,इलाम
98,भगवती उ॰ माध्यमिक विधालय धुसेनी-६ इलाम,भगवती मावि धुसेनी इलाम,मावि,भगवती,धुसेनी इलाम,इलाम
99,"हिमाली माध्यमिक विद्यालय पृथ्वीनगर, झापा",हिमाली मावि पृथ्वीनगर झापा,मावि,हिमाली,पृथ्वीनगर झापा,झापा
100,"महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा",महेन्द्र रत्न मावि विर्तामोड झापा,मावि,महेन्द्र रत्न,विर्तामोड झापा,झापा
101,"कालीका मा बि, तनहु",कालीका मावि तनहुँ,मावि,कालीका,तनहुँ,तनहुँ
102,"सिद्धमहाकाली माध्यमिक विद्यालय, तनहुँ",सिद्धमहाकाली मावि तनहुँँ,मावि,सिद्धमहाकाली,तनहुँँ,तनहुँ
103,"लक्ष्मी नारायण्ा प्रा वि, भोजपुर",लक्ष्मी नारायण्ा प्रावि भोजपुर,प्रावि,लक्ष्मी नारायण्ा,भोजपुर,भोजपुर
104,"रचना प्रा वि, भोजपुर",रचना प्रावि भोजपुर,प्रावि,रचना,भोजपुर,भोजपुर
105,जाल्पा प्राथमिक विधालय सानेदुम्मा भोजपुर,जाल्पा प्रावि सानेदुम्मा भोजपुर,प्रावि,जाल्पा,सानेदुम्मा भोजपुर,भोजपुर
106,कटका माध्यमिक विधालय याङपाङ भोजपुर,कटका मावि याङपाङ भोजपुर,मावि,कटका,याङपाङ भोजपुर,भोजपुर
107,"पारवती मा बि, तनहु",पारवती मावि तनहुँ,मावि,पारवती,तनहुँ,तनहुँ
108,"ज्योति प्रा वि, भोजपुर",ज्योति प्रावि भोजपुर,प्रावि,ज्योति,भोजपुर,भोजपुर
109,सिंहदेवी माध्यमिक विधालय हलौछा भोजपुर ।,सिंहदेवी मावि हलौछा भोजपुर,मावि,सिंहदेवी,हलौछा भोजपुर,भोजपुर
110,"लक्ष्मी उ॰ माध्यमिक विधालय, थुमपोखरा स्याङजा",लक्ष्मी मावि थुमपोखरा स्याङजा,मावि,लक्ष्मी,थुमपोखरा स्याङजा,स्याङ्गजा
111,"आनन्द आधारभूत विद्यालय रातामाटे, मधुवन, बर्दिया",आनन्द आवि रातामाटे मधुवन बर्दिया,आवि,आनन्द,रातामाटे मधुवन बर्दिया,बर्दिया
112,"जयनेपाल प्रा वि, तनहु",जयनेपाल प्रावि तनहुँ,प्रावि,जयनेपाल,तनहुँ,तनहुँ
113,"राष्ट्रिय आधारभूत विद्यालय, तनहुँ",राष्ट्रिय आवि तनहुँँ,आवि,राष्ट्रिय,तनहुँँ,तनहुँ
114,"शंकर माध्यमिक विद्यालय, तनहुँ",शंकर मावि तनहुँँ,मावि,शंकर,तनहुँँ,तनहुँ
115,"जनक माध्यमिक विद्यालय गैंडाकोट, व॰सु॰पूर्व नवलपरासी",जनक मावि गैंडाकोट व सु पूर्व नवलपरासी,मावि,जनक,गैंडाकोट व सु पूर्व नवलपरासी,पूर्व नवलपरासी
116,"सरस्वती आधारभूत विद्यालय भानु न॰पा, तनहुँ",सरस्वती आवि भानु न पा तनहुँँ,आवि,सरस्वती,भानु न पा तनहुँँ,तनहुँ
117,"जिवनज्याेति आधारभूत विद्यालय, भरतपुर, चितवन",जिवनज्याेति आवि भरतपुर चितवन,आवि,जिवनज्याेति,भरतपुर चितवन,चितवन
118,"दुर्गा शेषकान्त अधिकारी माध्यमिक विद्यालय, विजयनगर, चितवन",दुर्गा शेषकान्त अधिकारी मावि विजयनगर चितवन,मावि,दुर्गा शेषकान्त अधिकारी,विजयनगर चितवन,चितवन
119,महेन्द्र ज्योती माध्यमिक विद्यालय तनहुँ,महेन्द्र ज्योती मावि तनहुँँ,मावि,महेन्द्र ज्योती,तनहुँँ,तनहुँ
120,"कृष्ण माध्यमिक विद्यालय घिरिङ, तनहुँ",कृष्ण मावि घिरिङ तनहुँँ,मावि,कृष्ण,घिरिङ तनहुँँ,तनहुँ
121,"गुदी फच्याङ आधारभूत विद्यालय, तनहुँ",गुदी फच्याङ आवि तनहुँँ,आवि,गुदी फच्याङ,तनहुँँ,तनहुँ
122,"माहेन्द्री माध्यमिक विद्यालय व्यास, तनहुँ",माहेन्द्री मावि व्यास तनहुँँ,मावि,माहेन्द्री,व्यास तनहुँँ,तनहुँ
123,"बाराही प्राथमिक विद्यालय ऋषिङ गा॰पा॰, तनहुँ",बाराही प्रावि ऋषिङ गा पा तनहुँँ,प्रावि,बाराही,ऋषिङ गा पा तनहुँँ,तनहुँ
124,"दिपक मा बि, तनहु",दिपक मावि तनहुँ,मावि,दिपक,तनहुँ,तनहुँ
125,कुस्मावती प्राथमिक विद्यालय तनहुँ,कुस्मावती प्रावि तनहुँँ,प्रावि,कुस्मावती,तनहुँँ,तनहुँ
126,"कृष्ण गण्डकी प्राथमिक विद्यालय, बेलस्वाँरा, तनहुँ",कृष्ण गण्डकी प्रावि बेलस्वाँरा तनहुँँ,प्रावि,कृष्ण गण्डकी,बेलस्वाँरा तनहुँँ,तनहुँ
127,"श्री आधारभूत विद्यालय सिसावास, पर्साबजार, चितवन",श्री आवि सिसावास पर्साबजार चितवन,आवि,श्री,सिसावास पर्साबजार चितवन,पर्सा
128,कालिगण्डकी प्रा वि,कालिगण्डकी प्रावि,प्रावि,कालिगण्डकी,,
129,"अरनिको उ॰ माध्यमिक विधालय मिर्लुङ, तनहुँ",अरनिको मावि मिर्लुङ तनहुँँ,मावि,अरनिको,मिर्लुङ तनहुँँ,तनहुँ
130,"मुकुन्देश्वरी प्रा वि, तनहु",मुकुन्देश्वरी प्रावि तनहुँ,प्रावि,मुकुन्देश्वरी,तनहुँ,तनहुँ
131,जनता प्राथमिक विधालय व्यास तनुहुँ,जनता प्रावि व्यास तनहुँ,प्रावि,जनता,व्यास तनहुँ,तनहुँ
132,नवदुर्गा माध्यमिक विधालय रामपुर पाल्पा,नवदुर्गा मावि रामपुर पाल्पा,मावि,नवदुर्गा,रामपुर पाल्पा,पाल्पा
133,"चन्द्रज्योती मा बि, तनहु",चन्द्रज्योती मावि तनहुँ,मावि,चन्द्रज्योती,तनहुँ,तनहुँ
134,"चन्द्र ज्योती माध्यमिक विद्यालय, तनहुँ",चन्द्र ज्योती मावि तनहुँँ,मावि,चन्द्र ज्योती,तनहुँँ,तनहुँ
135,"संगम माध्यमिक विद्यालय अन्पूर्ण गा॰पा, कास्की",संगम मावि अन्पूर्ण गा पा कास्की,मावि,संगम,अन्पूर्ण गा पा कास्की,कास्की
136,"पोखरी प्रा॰वि॰, इलाम",पोखरी प्रावि इलाम,प्रावि,पोखरी,इलाम,इलाम
137,"आदर्श माध्यमिक विद्यालय, सानोठिमी, भक्तपुर",आदर्श मावि सानोठिमी भक्तपुर,मावि,आदर्श,सानोठिमी भक्तपुर,भक्तपुर
138,"बालमण्डल माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम",बालमण्डल मावि इलाम न पा इलाम,मावि,बालमण्डल,इलाम न पा इलाम,इलाम
139,"श्री कालिका देवी प्राथमिक विद्यालय, आमचोक, रातमाटे।इलाम",श्री कालिका देवी प्रावि आमचोक रातमाटे इलाम,प्रावि,श्री कालिका देवी,आमचोक रातमाटे इलाम,इलाम
