school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
1,12428,janapriya,jana priya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
3,11716,gograha,gograha,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
9,11513,durgeshvari,durgeshwori,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
10,42934,pavitra,pabitra,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
11,42659,mitrata,mitrata,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
12,42659,mitrata,mitrata,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
13,15242,saleva,salewa,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
15,1393,balakanya,bal kanya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
16,12252,jalpa,jalpa,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
17,12119,jagadishvari,jagadishwary,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
18,34887,pa~nchakanya,panchakanya,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
19,31055,virendra adarsha,birendra adarsha,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
21,14458,pa~nchakanya,pancha kanya,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
22,11146,chinta~na devi,chhintangdevi,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
23,1758,bhimeshvari,bhimeshwori,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
24,15543,sarasvati,saraswati,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
25,41719,janajyoti,jana jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
26,42297,kyaminakota,kyaminkot,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
27,4545,bhavani,bhawani,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
29,11069,chandi,chandi,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
30,12169,jalapa,jalapa,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
33,32558,jagrriti,jagriti,mavi,mavi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
34,42906,nirmala,nirmal,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
35,4140,annapurna,annapurna,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
37,15302,sa~ngarumba,sangrumba,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
38,12862,jivanajyoti,jiwan jyoti,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
40,16573,simhadevi,siddha devi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
41,1834,vijaya,bijaya,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
42,13015,kalika,kalika,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
45,12911,jyoti,jyoti,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
46,12911,jyati,jyoti,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
49,14424,pa~nchakanya,pancha kanya,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
51,4900,chimkeshvari,chimkeshwori,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
55,12131,jalakanya,jal kanya,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
57,12395,janakalyana,jana kalyan,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
59,12405,janakalyana,jana kalyan,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
62,13270,krrishna,krishna,pravi,pravi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
63,437,akala,akala,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
66,11356,dhapakharka,dhap kharka,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
67,14464,pa~nchakanya,pancha kanya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
68,475,amara jyoti,amar jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
69,12386,jana kalyana,jana kalyan,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
71,11331,devithana,devithan,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
72,478,amarajyoti,amar jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
74,41602,nala devi,jal devi,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
75,41059,dharma,dharma,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
76,13942,miklacho,miklachong,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
77,1994,buddha,buddha,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
78,11640,ratna devi,ganga devi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
79,11605,gajuramukhi,gajurmukhi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
80,12258,jalapa,jalpa,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
82,16666,siddhi vinayaka,siddhi binayak,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
84,11321,devi,devi,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
89,1652,bhagavati,bhagawati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
92,167,adarsha,adarsha,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
93,14275,nepalatara,nepaltar,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
95,34943,pashupati kanya mandira,pashupati kanya mandir,mavi,mavi,dolakha,dolakha,3.0,"District: complete, School level: complete, Root name: complete"
96,12360,nava jyoti,jana jyoti,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
97,1665,bhagavati,bhagawati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
98,1665,bhagavati,bhagawati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
99,11996,himali,himali,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
100,13743,mahendra ratna,mahendra ratna,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
101,42131,kalika,kalika,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
105,12259,jalpa,jalpa,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
106,13150,kataka,kataka,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
107,42992,paravati,parbati,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
112,41995,jayanepala,jaya nepal,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
113,43225,rashtriya,rastriya,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
114,43597,shamkara,shankar,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
116,43400,sarasvati,saraswati,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
118,31762,durga sheshakanta adhikari,durga sheshkanta adhikari  bharatpur,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
119,4839,mahendra jyoti,chandra jyoti,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
120,42258,krrishna,krishna,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
121,41385,gudi phachya~na,gundi phachyang,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
122,42522,mahendri,mahendra,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
123,4397,barahi,barahi,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
124,41120,dipaka,dipak,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
129,4155,araniko,araniko,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
132,53908,navadurga,nawadurga,mavi,mavi,palpa,palpa,3.0,"District: complete, School level: complete, Root name: complete"
134,42504,chandra jyoti,mahendra jyoti,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
138,1496,balamandala,balmandal,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
142,41822,janashakti,jana shakti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
144,13721,mahendrodaya,mahendra,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
150,140,adarsha,adarsha,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
152,41827,jana shishu kalyana,jana shishukalyan,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
153,32742,janaprabhata,jana prabhat,mavi,mavi,kathmandu,kathmandu,3.0,"District: complete, School level: complete, Root name: complete"
154,14896,puvamai,puwamai,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
155,14142,nanda,nanda,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
156,1974,buddha ardasha,buddha adarsha,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
158,13665,mahadeva,mahadev,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
159,14145,nara,nar,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
160,11910,hattitara,hattitar,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
162,14203,nepala jyoti,nawa jyoti,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
165,15519,sarasvati,saraswati,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
166,12713,janata,janata,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
