school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
9816,14424,पञ्चकन्या उच्च माध्यमिक विधालय भुल्के भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
9827,14424,पञ्चकन्या माध्यमिक विधालय बोखीम भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
9914,14424,पञ्चकन्या निम्न माध्यमिक विधालय गुप्तेश्वर भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
18965,14424,"पंचकन्या मा वि, भोजपुर",pancha kanya aavi,पंचकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
18975,14424,पञ्चकन्या माध्यमिक विधालय वासिङथर्पु भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
19017,14424,पन्चकन्या उ॰ माध्यमिक विद्यालय भोजपुर,pancha kanya aavi,पन्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
21564,14424,पञ्चकन्या माध्यमिक विद्यालय च्याङग्रे भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
24100,14424,पञ्चकन्या माध्यमिक विधालय हसनपुर भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
31,15850,"शितलादेवी प्रा वि, भोजपुर",shitala devi basic school,शितलादेवी,भोजपुर,1,bhojpur,1,koshi province,99,pauwadungma,pauwadungma rural municipality
39,15850,"सितला देवी प्रा॰वि॰ तिवारी भञ्जाङ, भोजपुर",shitala devi basic school,सितला देवी,भोजपुर,1,bhojpur,1,koshi province,99,pauwadungma,pauwadungma rural municipality
21414,15850,"शितला देवी प्रा॰वि, भोजपुर",shitala devi basic school,शितला देवी,भोजपुर,1,bhojpur,1,koshi province,99,pauwadungma,pauwadungma rural municipality
32,16712,"सिंह बाहिनी प्राथमिक विद्यालय भोजपुर न॰पा॰, भोजपुर",singha bahini basic school,सिंह बाहिनी,भोजपुर,1,bhojpur,1,koshi province,97,gharasime,bhojpur municipality
10750,16712,"सिंह बाहिनी उ॰ माध्यमिक विद्यालय, शनिश्चरे भोजपुर",singha bahini basic school,सिंह बाहिनी,भोजपुर,1,bhojpur,1,koshi province,97,gharasime,bhojpur municipality
38,12360,"जीवनज्योति माध्यमिक विद्यालय, इलाम",jana jyoti basic school,जीवनज्योति,इलाम,3,ilam,1,koshi province,244,pachewa,phakphokthum rural municipality
19155,12360,"जन्ज्योती प्रा॰वि॰, इलाम",jana jyoti basic school,जन्ज्योती,इलाम,3,ilam,1,koshi province,244,pachewa,phakphokthum rural municipality
24160,12360,"जनज्योती प्रा॰वि॰, इलाम",jana jyoti basic school,जनज्योती,इलाम,3,ilam,1,koshi province,244,pachewa,phakphokthum rural municipality
26471,12360,"जीवनज्योती प्रा॰वि॰, इलाम",jana jyoti basic school,जीवनज्योती,इलाम,3,ilam,1,koshi province,244,pachewa,phakphokthum rural municipality
42,12973,कालिका माध्यमिक विधालय हेलौछा भोजपुर,kalika basic school,कालिका,भोजपुर,1,bhojpur,1,koshi province,102,shadananda municipality,shadananda municipality
18970,12973,"कालिका माध्यमिक विद्यालय ओख्रे, भोजपुर",kalika basic school,कालिका,भोजपुर,1,bhojpur,1,koshi province,102,shadananda municipality,shadananda municipality
44,42006,"झारगाउ प्रा वि, तनहु",jhargaun basic school,झारगाउ,तनहुँ,46,tanahun,4,gandaki province,747,"bandipur - 5, jhargaun",bandipur rural municipality
13851,42006,"झारगाउँ प्राथमिक विद्यालय, तनहुँ",jhargaun basic school,झारगाउँ,तनहुँँ,46,tanahun,4,gandaki province,747,"bandipur - 5, jhargaun",bandipur rural municipality
52,4900,"छिम्केश्वरी नि मा वि, तनहु",chimkeshwori pra v,छिम्केश्वरी,तनहुँ,46,tanahun,4,gandaki province,746,aanbookhaireni,aanbookhaireni rural municipality
26365,4900,"छिम्केश्वरी माध्यमिक विद्यालय, भाँगे, तनहुँ",chimkeshwori pra v,छिम्केश्वरी,तनहुँँ,46,tanahun,4,gandaki province,746,aanbookhaireni,aanbookhaireni rural municipality
53,15028,"राष्टि्य निम्न माध्यमिक विधालय सोयाङ, इलाम",rastriya basic school,राष्टि्य,इलाम,3,ilam,1,koshi province,250,jamuna,sandakpur rural municipality
10247,15028,"राष्ट्रिय माध्यमिक विद्यालय, इलाम",rastriya basic school,राष्ट्रिय,इलाम,3,ilam,1,koshi province,250,jamuna,sandakpur rural municipality
22797,15028,"राष्ट्रिय माध्यमिक विद्यालय, फाकाफोकथुम, इलाम",rastriya basic school,राष्ट्रिय,इलाम,3,ilam,1,koshi province,250,jamuna,sandakpur rural municipality
60,16676,"शिक्षाक्षमाकन्या प्रा॰वि, भोजपुर",siksha kshamakanya secondary school,शिक्षाक्षमाकन्या,भोजपुर,1,bhojpur,1,koshi province,95,bayang,aamchowk rural municipality
18974,16676,"शिक्षा क्षमाकन्या माध्यमिक विद्यालय आमचोक, भोजपुर",siksha kshamakanya secondary school,शिक्षा क्षमाकन्या,भोजपुर,1,bhojpur,1,koshi province,95,bayang,aamchowk rural municipality
77,1583,"बुद्ध माध्यमिक विद्यालय, इलाम",bauddha basic school,बुद्ध,इलाम,3,ilam,1,koshi province,247,chitrre danda,maijogmai rural municipality
86,1816,"विद्या प्रा॰वि॰, इलाम",bidya basic school,विद्या,इलाम,3,ilam,1,koshi province,245,tilkeni,ilam municipality
19176,1816,"बिद्या प्राथमिक विद्यालय, इलाम",bidya basic school,विद्या,इलाम,3,ilam,1,koshi province,245,tilkeni,ilam municipality
87,13775,"महेश्वरा प्राथमिक विद्यालय, निन्दाखु, साेयाक, इलाम",maheshwara basic school,महेश्वरा,इलाम,3,ilam,1,koshi province,245,nindakhu,ilam municipality
178,13775,"महेश्वरा निम्न माध्यमिक विधालय, सोयाक इलाम",maheshwara basic school,महेश्वरा,इलाम,3,ilam,1,koshi province,245,nindakhu,ilam municipality
89,1634,"भगवती माध्यमिक विद्यालय, गोलाखर्क, इलाम",bhagawati basic school,भगवती,इलाम,3,ilam,1,koshi province,251,suryodaya municipality,suryodaya municipality
97,1634,"भगवती माध्यमिक विद्यालय, इलाम",bhagawati basic school,भगवती,इलाम,3,ilam,1,koshi province,251,suryodaya municipality,suryodaya municipality
98,1634,भगवती उ॰ माध्यमिक विधालय धुसेनी-६ इलाम,bhagawati basic school,भगवती,इलाम,3,ilam,1,koshi province,251,suryodaya municipality,suryodaya municipality
19085,1634,"भगवती नि॰मा॰वि॰, जितपुर, इलाम",bhagawati basic school,भगवती,इलाम,3,ilam,1,koshi province,251,suryodaya municipality,suryodaya municipality
22541,1634,"भगवती माध्यमिक विद्यालय, जमुना, इलाम",bhagawati basic school,भगवती,इलाम,3,ilam,1,koshi province,251,suryodaya municipality,suryodaya municipality
22911,1634,"भगवती माध्यमिक विधालय महमाई, इलाम",bhagawati basic school,भगवती,इलाम,3,ilam,1,koshi province,251,suryodaya municipality,suryodaya municipality
91,140,"आदर्श प्रा॰वि॰, फिक्कल, इलाम",adarsha basic school,आदर्श,इलाम,3,ilam,1,koshi province,246,soktim,mai municipality
92,140,"आदर्श माध्यमिक विद्यालय, इलाम",adarsha basic school,आदर्श,इलाम,3,ilam,1,koshi province,246,soktim,mai municipality
3183,140,"आदर्श निम्न माध्यमिक विधालय, कजनी इलाम",adarsha basic school,आदर्श,इलाम,3,ilam,1,koshi province,246,soktim,mai municipality
94,11463,"दृपादवी प्रा॰वि॰, इलाम",dripa devi basic school,दृपादवी,इलाम,3,ilam,1,koshi province,245,barbhaiya,ilam municipality
95,34943,"पशुपति कन्या मन्दिर माध्यमिक विधालय, दोलखा",pashupati kanya mandir secondary school,पशुपति कन्या मन्दिर,दोलखा,32,dolakha,3,bagamati province,187,charikot,bhimeshwor municipality
100,13743,"महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा",mahendra ratna secondary school,महेन्द्र रत्न,झापा,4,jhapa,1,koshi province,262,birtamod,birtamod municipality
927,13743,"महेन्द्र रत्न माध्यमिक विद्यालय, कमल, झापा",mahendra ratna secondary school,महेन्द्र रत्न,झापा,4,jhapa,1,koshi province,262,birtamod,birtamod municipality
2276,13743,"महेन्द्र रत्न माध्यमिक विधालय, केचरा-२, झापा",mahendra ratna secondary school,महेन्द्र रत्न,झापा,4,jhapa,1,koshi province,262,birtamod,birtamod municipality
2844,13743,"महेन्द्र रत्न माध्यमिक विद्यालय कमल, झापा",mahendra ratna secondary school,महेन्द्र रत्न,झापा,4,jhapa,1,koshi province,262,birtamod,birtamod municipality
16503,13743,"महेन्द्र रत्न माध्यमिक विद्यालय अनारमनी, बिर्तामोड, झापा",mahendra ratna secondary school,महेन्द्र रत्न,झापा,4,jhapa,1,koshi province,262,birtamod,birtamod municipality
26473,13743,"महेन्द्र रत्न माध्यमिक विद्यालय केचना, झापा",mahendra ratna secondary school,महेन्द्र रत्न,झापा,4,jhapa,1,koshi province,262,birtamod,birtamod municipality
101,42082,"कालीका मा बि, तनहु",kalika basic school,कालीका,तनहुँ,46,tanahun,4,gandaki province,747,"bandipur-5, thumka",bandipur rural municipality
322,42082,"कालिका माध्यमिक विद्यालय, भानु न॰पा॰, तनहुँ",kalika basic school,कालिका,तनहुँँ,46,tanahun,4,gandaki province,747,"bandipur-5, thumka",bandipur rural municipality
423,42082,"कालिका माध्यमिक विद्यालय, पुर्कोट, तनहुँ",kalika basic school,कालिका,तनहुँँ,46,tanahun,4,gandaki province,747,"bandipur-5, thumka",bandipur rural municipality
13866,42082,"कालिका माध्यमिक विद्यालय, तनहुँ",kalika basic school,कालिका,तनहुँँ,46,tanahun,4,gandaki province,747,"bandipur-5, thumka",bandipur rural municipality
20394,42082,"कालिका माध्यमिक विद्यालय, देवघाट, तनहुँ",kalika basic school,कालिका,तनहुँँ,46,tanahun,4,gandaki province,747,"bandipur-5, thumka",bandipur rural municipality
103,13390,"लक्ष्मी नारायण्ा प्रा वि, भोजपुर",laxmi narayan basic school,लक्ष्मी नारायण्ा,भोजपुर,1,bhojpur,1,koshi province,99,bastim,pauwadungma rural municipality
104,14905,"रचना प्रा वि, भोजपुर",rachana basic school,रचना,भोजपुर,1,bhojpur,1,koshi province,96,deurali,arun rural municipality
107,42990,"पारवती मा बि, तनहु",parbati basic school,पारवती,तनहुँ,46,tanahun,4,gandaki province,753,manahari,myagde rural municipality
382,42990,"पार्वती माध्यमिक विद्यालय देवघाट, तनहुँ",parbati basic school,पार्वती,तनहुँँ,46,tanahun,4,gandaki province,753,manahari,myagde rural municipality
12893,42990,"पार्वती माध्यमिक विद्यालय, तनहुँ",parbati basic school,पार्वती,तनहुँँ,46,tanahun,4,gandaki province,753,manahari,myagde rural municipality
13147,42990,"पार्वती नि मा वि, तनहु",parbati basic school,पार्वती,तनहुँ,46,tanahun,4,gandaki province,753,manahari,myagde rural municipality
25748,42990,"पार्वती माध्यमिक विद्यालय, भिमाद, तनहुँ",parbati basic school,पार्वती,तनहुँँ,46,tanahun,4,gandaki province,753,manahari,myagde rural municipality
109,13670,सिंहदेवी माध्यमिक विधालय हलौछा भोजपुर ।,mahadevi basic  school,सिंहदेवी,भोजपुर,1,bhojpur,1,koshi province,99,sanodumma -supla,pauwadungma rural municipality
9606,13670,सिंहदेवी माध्यमिक विधालय लेखर्क भोजपुर,mahadevi basic  school,सिंहदेवी,भोजपुर,1,bhojpur,1,koshi province,99,sanodumma -supla,pauwadungma rural municipality
9955,13670,सिंहदेवी निम्न माध्यमिक विधालय वोया भोजपुर,mahadevi basic  school,सिंहदेवी,भोजपुर,1,bhojpur,1,koshi province,99,sanodumma -supla,pauwadungma rural municipality
21558,13670,"सिंहदेवी मा वि, भोजपुर",mahadevi basic  school,सिंहदेवी,भोजपुर,1,bhojpur,1,koshi province,99,sanodumma -supla,pauwadungma rural municipality
21629,13670,सिंहदेवी माध्यमिक विद्यालय भोजपु्र,mahadevi basic  school,सिंहदेवी,भोजपु्र,1,bhojpur,1,koshi province,99,sanodumma -supla,pauwadungma rural municipality
24113,13670,"सिंहदेवी उ॰ माध्यमिक विधालय, लेर्खक भोजपुर",mahadevi basic  school,सिंहदेवी,भोजपुर,1,bhojpur,1,koshi province,99,sanodumma -supla,pauwadungma rural municipality
114,43595,"शंकर माध्यमिक विद्यालय, तनहुँ",shankar pra v,शंकर,तनहुँँ,46,tanahun,4,gandaki province,754,ruptar,rishing rural municipality
115,52252,"जनक माध्यमिक विद्यालय गैंडाकोट, व॰सु॰पूर्व नवलपरासी",janaki basic school,जनक,नवलपरासी,48,nawalparasi,5,lumbini province,438,lagunaha,bardaghat municipality
8027,52252,"जनक माध्यमिक विद्यालय, गैडाकोट, नवलपरासी",janaki basic school,जनक,नवलपरासी,48,nawalparasi,5,lumbini province,438,lagunaha,bardaghat municipality
9880,52252,"जनक उच्च मा॰, िनवलपरासी",janaki basic school,जनक,विनवलपरासी,48,nawalparasi,5,lumbini province,438,lagunaha,bardaghat municipality
26756,52252,"जनक माध्यमिक विद्यालय, नवलपरासी",janaki basic school,जनक,नवलपरासी,48,nawalparasi,5,lumbini province,438,lagunaha,bardaghat municipality
119,4842,महेन्द्र ज्योती माध्यमिक विद्यालय तनहुँ,chandra jyoti primary school,महेन्द्र ज्योती,तनहुँँ,46,tanahun,4,gandaki province,754,dadhiban,rishing rural municipality
133,4842,"चन्द्रज्योती मा बि, तनहु",chandra jyoti primary school,चन्द्रज्योती,तनहुँ,46,tanahun,4,gandaki province,754,dadhiban,rishing rural municipality
276,4842,"महेन्द्र ज्योती माध्यमिक विद्यालय, शिशाघाट, तनहुँ",chandra jyoti primary school,महेन्द्र ज्योती,तनहुँँ,46,tanahun,4,gandaki province,754,dadhiban,rishing rural municipality
120,42261,"कृष्ण माध्यमिक विद्यालय घिरिङ, तनहुँ",krishna pra v,कृष्ण,तनहुँँ,46,tanahun,4,gandaki province,754,"rishing, najung",rishing rural municipality
265,42261,"कृष्ण उ॰ माध्यमिक विधालय, गजरकोट तनहुँ",krishna pra v,कृष्ण,तनहुँँ,46,tanahun,4,gandaki province,754,"rishing, najung",rishing rural municipality
125,42293,कुस्मावती प्राथमिक विद्यालय तनहुँ,kushmawati basic school,कुस्मावती,तनहुँँ,46,tanahun,4,gandaki province,755,seratar,shuklagandaki municipality
408,42293,"कुस्मावति प्रा॰ वी॰, तनहु",kushmawati basic school,कुस्मावति,तनहुँ,46,tanahun,4,gandaki province,755,seratar,shuklagandaki municipality
126,42255,"कृष्ण गण्डकी प्राथमिक विद्यालय, बेलस्वाँरा, तनहुँ",krishna ganga adharbhut vidyalaya,कृष्ण गण्डकी,तनहुँँ,46,tanahun,4,gandaki province,752,umse,ghiring rural municipality
336,42255,"कृष्णगंगा निम्न माध्यमिक विधालय, राम्जाकोट -९ तनहुँ",krishna ganga adharbhut vidyalaya,कृष्णगंगा,तनहुँँ,46,tanahun,4,gandaki province,752,umse,ghiring rural municipality
26532,42255,"कृष्ण्ागंगा प्रा बि, तनहु",krishna ganga adharbhut vidyalaya,कृष्ण्ागंगा,तनहुँ,46,tanahun,4,gandaki province,752,umse,ghiring rural municipality
132,53862,नवदुर्गा माध्यमिक विधालय रामपुर पाल्पा,navadurga pra v,नवदुर्गा,पाल्पा,52,palpa,5,lumbini province,495,jukiya,tansen municipality
134,4839,"चन्द्र ज्योती माध्यमिक विद्यालय, तनहुँ",chandra jyoti ma vi,चन्द्र ज्योती,तनहुँँ,46,tanahun,4,gandaki province,752,sundhara,ghiring rural municipality
136,14762,"पोखरी प्रा॰वि॰, इलाम",pokhari basic school,पोखरी,इलाम,3,ilam,1,koshi province,245,golbasti,ilam municipality
139,13006,"श्री कालिका देवी प्राथमिक विद्यालय, आमचोक, रातमाटे।इलाम",kalika devi basic school,श्री कालिका देवी,इलाम,3,ilam,1,koshi province,243,singalapa,deumai municipality
10176,13006,"मालीका देवि प्रा॰ वि ॰, इलाम",kalika devi basic school,मालीका देवि,इलाम,3,ilam,1,koshi province,243,singalapa,deumai municipality
140,16975,सुभद्रा प्राथमिक विधालय फाकफोक इलाम,subhadra basic school,सुभद्रा,इलाम,3,ilam,1,koshi province,244,saptin,phakphokthum rural municipality
149,16646,"सिद्देश्वरी प्रा॰वि॰, बरबोटे, इलाम",siddheshwari basic school,सिद्देश्वरी,इलाम,3,ilam,1,koshi province,245,ilam municipality,ilam municipality
153,32742,"जनप्रभात माध्यमिक विद्यालय, काठमाडौं",jana prabhat ma v,जनप्रभात,काठमाडौं,23,kathmandu,3,bagamati province,333,kalimati,kathmandu metropolitan city
949,32742,"जन प्रभात माध्यमिक विद्यालय, काठमाडौं",jana prabhat ma v,जन प्रभात,काठमाडौं,23,kathmandu,3,bagamati province,333,kalimati,kathmandu metropolitan city
11548,32742,"जन प्रभात माध्यमिक विद्यालय, कालिमाटी काठमाडौं",jana prabhat ma v,जन प्रभात,काठमाडौं,23,kathmandu,3,bagamati province,333,kalimati,kathmandu metropolitan city
170,14869,"पूर्णस्मारक माध्यमिक विद्यालय, इलाम",punya smarika basic school,पूर्णस्मारक,इलाम,3,ilam,1,koshi province,251,tinghare,suryodaya municipality
22790,14869,"पुर्णस्मारक माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम",punya smarika basic school,पुर्णस्मारक,इलाम,3,ilam,1,koshi province,251,tinghare,suryodaya municipality
172,15386,"सरस्वती उ॰ माध्यमिक विद्यालय, वतासे, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
554,15386,"सरस्वती उ॰ माध्यमिक विद्यालय, ल्क्ष्मीपुर इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
1058,15386,"सरस्वती माध्यमिक विद्यालय, सोयाङ, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
19122,15386,"सरस्वती माध्यमिक विद्यालय सू॰न॰पा॰, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
19129,15386,"सरस्वती निम्न माध्यमिक विधालय बाझो, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
19136,15386,"सरस्वती मा॰वि॰, सुलुबुङ, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
22061,15386,"सरस्वती माध्यमिक विद्यालय, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
22381,15386,"सरस्वती माध्यमिक विद्यालय रोङ गा॰पा॰, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
22795,15386,"सरस्वती माध्यमिक विद्यालय सन्दकपुर, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
25376,15386,"सरस्वती माध्यमिक विद्यालय भालुटार, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
25689,15386,"सरस्वती मा॰वि॰, लक्ष्मीपुर, इलाम",saraswati  basic school,सरस्वती,इलाम,3,ilam,1,koshi province,247,maijogmai,maijogmai rural municipality
191,12637,"जनता माध्यमिक विद्यालय माई नगरपालिका, इलाम",janata basic school,जनता,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
521,12637,"जनक माध्यमिक विद्यालय, श्रीअन्तु, इलाम",janata basic school,जनक,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
11587,12637,"जनता माध्यमिक विद्यालय, चुलाचुली, इलाम",janata basic school,जनता,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
12915,12637,"जनता नि मा वि, इलाम",janata basic school,जनता,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
17994,12637,"जनक मा॰वि॰, इलाम",janata basic school,जनक,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
19084,12637,"जनक नि॰मा॰वि॰, इलाम",janata basic school,जनक,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
19144,12637,"जनता निम्न माध्यमिक विधालय, साङ्गरुम्बा -९ इलाम",janata basic school,जनता,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
19616,12637,"जनता माध्यमिक विद्यालय, इलाम",janata basic school,जनता,इलाम,3,ilam,1,koshi province,243,barbote,deumai municipality
197,16606,"सिद्धदेउमाई निम्न माध्यमिक विधालय चयैता, इलाम",siddhadevi basic school,सिद्धदेउमाई,इलाम,3,ilam,1,koshi province,251,suryodaya mu,suryodaya municipality
203,16573,"सिंहदेवी माध्यमिक विद्यालय, इलाम",siddha devi basic school,सिंहदेवी,इलाम,3,ilam,1,koshi province,245,ramite,ilam municipality
14059,16573,"सिंहदेवी माध्यमिक विद्यालय, फाकफोकथुम, इलाम",siddha devi basic school,सिंहदेवी,इलाम,3,ilam,1,koshi province,245,ramite,ilam municipality
14095,16573,"सिंहदेवी माध्यमिक विद्यालय सूर्योदय, इलाम",siddha devi basic school,सिंहदेवी,इलाम,3,ilam,1,koshi province,245,ramite,ilam municipality
23273,16573,"सिंहदेवी उ॰ माध्यमिक विद्यालय, आमचोक -३, इलाम",siddha devi basic school,सिंहदेवी,इलाम,3,ilam,1,koshi province,245,ramite,ilam municipality
25453,16573,"सिंहदेवी उ॰ माध्यमिक विद्यालय, एकतप्पा, ईलाम",siddha devi basic school,सिंहदेवी,ईलाम,3,ilam,1,koshi province,245,ramite,ilam municipality
25460,16573,"सिंहदेवी माध्यमिक विद्यालय, फुएतप्पा इलाम",siddha devi basic school,सिंहदेवी,इलाम,3,ilam,1,koshi province,245,ramite,ilam municipality
207,41703,"जीवन ज्योति माध्यमिक विद्यालय, काफलडाँडा, गोरखा",jana jyoti basic school,जीवन ज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
1726,41703,"ज्ञानज्योति माध्यमिक विद्यालय, गोरखा",jana jyoti basic school,ज्ञानज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
16000,41703,"ज्ञानज्योती मा॰वि आरुचनौट, गोर्खा",jana jyoti basic school,ज्ञानज्योती,गोर्खा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
16015,41703,जीवनज्योती माध्यमिक विधालय हंसपुर गाेरखा,jana jyoti basic school,जीवनज्योती,गाेरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
16064,41703,"जनज्योती माध्यमिक विद्यालय, गोरखा",jana jyoti basic school,जनज्योती,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
17086,41703,"ज्ञान ज्योति माध्यमिक विद्यालय, हंसपुर, लप्सीबोट, गोरखा",jana jyoti basic school,ज्ञान ज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
17505,41703,"जनज्योति माध्यमिक विद्यालय, गोरखा",jana jyoti basic school,जनज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
24240,41703,"जनज्योति उ॰ माध्यमिक विधालय, गोरखा",jana jyoti basic school,जनज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
25147,41703,"ज्ञान ज्योति माध्यमिक विद्यालय, गोरखा",jana jyoti basic school,ज्ञान ज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
26264,41703,"जीवन ज्योति माध्यमिक विद्यालय पालुङ्टार न॰पा॰, गोरखा",jana jyoti basic school,जीवन ज्योति,गोरखा,37,gorkha,4,gandaki province,221,siranchwok,siranchowk rural municipality
