school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
25433,51155,"दाउन्ने देवी माध्यमिक विद्यालय, व॰सु॰पश्चिम नवलपरासी",Daunne Devi Primary School,दाउन्ने देवी मावि,नवलपरासी,48,Nawalparasi,5,Lumbini,438,Buddhabasti,Bardaghat Municipality
9636,17019,"सुनवती प्रा॰ वि॰, ओखलढुगा",Sunawati Basic School,सुनवती प्रावि,ओखलढुगा,7,Okhaldhunga,1,Koshi,484,Aahaldanda,Molung Rural Municipality
9646,22761,"ने॰ रा॰ प्रा॰ वि॰, पर्सा",Ne Ra Basic School,ने रा प्रावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
10169,22761,"ने॰रा॰ प्राथमिक विद्यालय विसुनपुरवा, पर्सा",Ne Ra Basic School,ने रा प्रावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
10198,22761,"ने॰रा॰ प्राथमिक विद्यालय, सुगौलि, पर्सा",Ne Ra Basic School,ने रा प्रावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
10208,22761,"ने॰रा॰ प्राथमिक विधालय, बसन्तपुर, पर्सा",Ne Ra Basic School,ने रा प्रावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
11102,22761,"ने रा प्रा बि हरीहरपुर पसा, पर्सा",Ne Ra Basic School,ने रा प्रावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
11138,22761,"ने॰ रा॰ नि॰ मा॰ वि॰, पर्सा",Ne Ra Basic School,ने रा निमावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
11470,22761,"नेरा नि मा वि ओडार, पर्सा",Ne Ra Basic School,नेरा निमावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
11471,22761,"ने॰रा॰प्रा॰वि॰ मोसतसर, पर्सा",Ne Ra Basic School,ने रा प्रावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
11472,22761,"ने॰रा॰नि॰मा॰वि॰ सुखचैना, पर्सा",Ne Ra Basic School,ने रा निमावि,पर्सा,15,Parsa,2,Madhesh,520,Shyampur Bhelha Lahawar Thakari,Pakahamainpur Rural Municipality
