school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
11867,1278,sarvapriya,atmara,pravi,pravi,nawalparasi,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
11869,36540,kalika,kalika,mavi,mavi,nawalparasi,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
11868,16087,jagrriti,jagrit,mavi,pravi,bhaktapur,panchthar,2.0,"District: no match, School level: no match, Root name: complete"
11870,12138,jalakanya devi,jal kanya devi,pravi,pravi,mugu,dhankuta,2.5,"District: no match, School level: complete, Root name: complete"
11871,1733,paripatle,bharati,pravi,pravi,dhankuta,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
11872,31213,samsari,sansari,avi,pravi,kavrepalanchok,ramechhap,2.0,"District: no match, School level: no match, Root name: complete"
11874,15040,krrishaka ardasha,rastriya  bagaha,mavi,mavi,rupandehi,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
11876,3152,amara,amar,mavi,mavi,makwanpur,chitwan,2.5,"District: no match, School level: complete, Root name: complete"
11878,36245,araniko,swara,pravi,pravi,makwanpur,makwanpur,2.0,"District: complete, School level: complete, Root name: partial"
11880,33072,kalika devi,kalika devi,pravi,pravi,kalikot,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
11879,143,pragati rashtriya,adarsha,pravi,pravi,makwanpur,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
11886,16395,sarvajanika,sarbajanik,nimavi,pravi,nawalparasi,morang,2.0,"District: no match, School level: no match, Root name: complete"
11887,63059,bhavani,bhawani,nimavi,avi,nawalparasi,kalikot,2.0,"District: no match, School level: no match, Root name: complete"
11890,4593,thumki,bhume,avi,avi,makwanpur,baglung,1.5,"District: no match, School level: complete, Root name: partial"
11891,15644,siddhartha,sautha,mavi,mavi,makwanpur,morang,1.5,"District: no match, School level: complete, Root name: partial"
11892,22,,,pravi,,rautahat,rautahat,2.5,"District: complete, School level: no match, Root name: complete"
11893,1352,mahenddha jyoti,bal jyoti,pravi,pravi,nawalparasi,solukhumbu,1.5,"District: no match, School level: complete, Root name: partial"
11894,55569,mahendra,mahendra,pravi,pravi,nawalparasi,kapilbastu,2.5,"District: no match, School level: complete, Root name: complete"
11896,327,,,pravi,,makwanpur,makwanpur,2.5,"District: complete, School level: no match, Root name: complete"
11898,24264,virendra,birendra,nimavi,avi,nawalparasi,rautahat,2.0,"District: no match, School level: no match, Root name: complete"
11897,15662,bedagau.n,bardanga,mavi,mavi,nawalparasi,morang,1.5,"District: no match, School level: complete, Root name: partial"
11900,52062,j~nanajyoti,jana jyoti,mavi,mavi,nawalparasi,rolpa,2.5,"District: no match, School level: complete, Root name: complete"
11899,52452,janajyoti namuna,janata  devgau,mavi,mavi,nawalparasi,nawalparasi,2.0,"District: complete, School level: complete, Root name: partial"
11903,4399,barahi,barahi,mavi,pravi,bara,tanahun,2.0,"District: no match, School level: no match, Root name: complete"
11902,143,dadabajara,adarsha,pravi,pravi,panchthar,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
11905,16515,trivani,triveni,mavi,mavi,chitwan,sankhuwasabha,2.5,"District: no match, School level: complete, Root name: complete"
11908,12488,sarasvati bala bodhini,janajyoti  okhreni,nimavi,nimavi,bara,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
11910,24496,durga tulasi rashtriya,nawa durga  radhapur,avi,avi,dhanusha,dhanusha,2.0,"District: complete, School level: complete, Root name: partial"
11909,11936,shri,him,mavi,mavi,makwanpur,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
11911,36540,kalika,kalika,mavi,mavi,kalikot,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
11913,36348,chandika,chandika,mavi,mavi,makwanpur,sindhuli,2.5,"District: no match, School level: complete, Root name: complete"
11917,11107,chandrrodaya,chandrodaya,mavi,avi,kailali,morang,2.0,"District: no match, School level: no match, Root name: complete"
11915,11038,devaki,champadevi,mavi,mavi,makwanpur,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
11918,327,,,pravi,,makwanpur,makwanpur,2.5,"District: complete, School level: no match, Root name: complete"
11919,24565,sharadapura,haradaspur,mavi,pravi,bhaktapur,parsa,2.0,"District: no match, School level: no match, Root name: complete"
11923,22,,,pravi,,rautahat,rautahat,2.5,"District: complete, School level: no match, Root name: complete"
11921,3114,ajadeshvara balavodha,ajadeshwor bal bodh,pravi,pravi,makwanpur,makwanpur,2.0,"District: complete, School level: complete, Root name: partial"
11924,22,,,mavi,,rautahat,rautahat,2.5,"District: complete, School level: no match, Root name: complete"
11925,13196,lakshmi,kheti,pravi,pravi,kailali,khotang,1.5,"District: no match, School level: complete, Root name: partial"
11926,43900,janajagrriti,jana jagriti,avi,avi,doti,kaski,2.5,"District: no match, School level: complete, Root name: complete"
11927,15789,sharada,sharada,mavi,mavi,kailali,sankhuwasabha,2.5,"District: no match, School level: complete, Root name: complete"
